"Nom du circuit,""Lien du circuit"",""Lieu"",""Courses"",""Années d'activité"",""Nombre de Grands Prix"""
"Circuit urbain d'Adélaïde,""https://fr.wikipedia.org/wiki/Circuit_urbain_d%27Ad%C3%A9la%C3%AFde"",""Adélaïde"",""Grand Prix d'Australie"",""1985-1995"",""11"""
"Circuit d'Ain-Diab,""https://fr.wikipedia.org/wiki/Circuit_d%27Ain-Diab"",""Casablanca"",""Grand Prix du Maroc"",""1958"",""1"""
"Circuit urbain de Bakou,""https://fr.wikipedia.org/wiki/Circuit_urbain_de_Bakou"",""Bakou"",""Grand Prix d'Europe, Grand Prix d'Azerbaïdjan"",""2016-2019-2025"",""8"""
"Circuit d'Aintree,""https://fr.wikipedia.org/wiki/Circuit_d%27Aintree"",""Liverpool"",""Grand Prix de Grande-Bretagne"",""1955, 1957...(1955, 1957, 1959, 1961, 1962)"",""5"""
"Circuit de l'Albert Park,""https://fr.wikipedia.org/wiki/Circuit_de_l%27Albert_Park"",""Albert Park"",""Grand Prix d'Australie"",""1996-2019,2022-2025"",""28"""
"Circuit des Amériques,""https://fr.wikipedia.org/wiki/Circuit_des_Am%C3%A9riques"",""Austin"",""Grand Prix des États-Unis"",""2012-2019,2021-2025"",""13"""
"AVUS,""https://fr.wikipedia.org/wiki/Automobil-Verkehrs-_und_%C3%9Cbungs-Stra%C3%9Fe_GmbH"",""Berlin-Ouest"",""Grand Prix d'Allemagne"",""1959"",""1"""
"Circuit international de Sakhir,""https://fr.wikipedia.org/wiki/Circuit_international_de_Sakhir"",""Sakhir"",""Grand Prix de Bahreïn, Grand Prix de Sakhir"",""2004-2010 ...(2004-2010, 2012-2025, Sakhir 2020)"",""22"""
"Circuit de Boavista,""https://fr.wikipedia.org/wiki/Circuit_de_Boavista"",""Porto"",""Grand Prix du Portugal"",""1958, 1960"",""2"""
"Circuit de Brands Hatch,""https://fr.wikipedia.org/wiki/Circuit_de_Brands_Hatch"",""Longfield"",""Grand Prix de Grande-Bretagne, Grand Prix d'Europe"",""1964, 1966...(1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982-1986)"",""14"""
"Circuit de Bremgarten,""https://fr.wikipedia.org/wiki/Circuit_de_Bremgarten"",""Bremgarten bei Bern"",""Grand Prix de Suisse"",""1950-1954"",""5"""
"Circuit Bugatti,""https://fr.wikipedia.org/wiki/Circuit_Bugatti"",""Le Mans"",""Grand Prix de France"",""1967"",""1"""
"Circuit international Buddh,""https://fr.wikipedia.org/wiki/Circuit_international_Buddh"",""Greater Noida"",""Grand Prix d'Inde"",""2011-2013"",""3"""
"Circuit du Caesars Palace,""https://fr.wikipedia.org/wiki/Circuit_du_Caesars_Palace"",""Las Vegas"",""Grand Prix de Las Vegas"",""1981, 1982, 2023-2025"",""5"""
"Circuit de Catalogne,""https://fr.wikipedia.org/wiki/Circuit_de_Catalogne"",""Montmeló"",""Grand Prix d'Espagne"",""1991-2025"",""35"""
"Circuit de Charade,""https://fr.wikipedia.org/wiki/Circuit_de_Charade"",""Saint-Genès-Champanelle"",""Grand Prix de France"",""1965, 1969...(1965, 1969, 1970, 1972)"",""4"""
"Circuit de la corniche de Djeddah,""https://fr.wikipedia.org/wiki/Circuit_de_la_corniche_de_Djeddah"",""Djeddah"",""Grand Prix automobile d'Arabie saoudite"",""2021-2025"",""5"""
"Circuit urbain de Détroit,""https://fr.wikipedia.org/wiki/Circuit_urbain_de_D%C3%A9troit"",""Détroit"",""Grand Prix des États-Unis"",""1982-1988"",""7"""
"Circuit de Dijon-Prenois,""https://fr.wikipedia.org/wiki/Circuit_de_Dijon-Prenois"",""Prenois"",""Grand Prix de France, Grand Prix de Suisse"",""1974, 1977...(1974, 1977, 1979, 1981, 1982, 1984)"",""6"""
"Circuit de Donington Park,""https://fr.wikipedia.org/wiki/Circuit_de_Donington_Park"",""Castle Donington"",""Grand Prix d'Europe"",""1993"",""1"""
"Circuit Enzo et Dino Ferrari,""https://fr.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari"",""Imola"",""Grand Prix de Saint-Marin, Grand Prix d'Italie, Grand Prix d'Émilie-Romagne"",""1980-2021...(1980-2006, 2020-2022, 2024-2025)"",""31"""
"Circuit d'Estoril,""https://fr.wikipedia.org/wiki/Circuit_d%27Estoril"",""Estoril"",""Grand Prix du Portugal"",""1984-1996"",""13"""
"Circuit de Fair Park,""https://fr.wikipedia.org/wiki/Circuit_de_Fair_Park"",""Dallas"",""Grand Prix des États-Unis"",""1984"",""1"""
"Circuit du Mont Fuji,""https://fr.wikipedia.org/wiki/Fuji_Speedway"",""Oyama"",""Grand Prix du Japon"",""1976, 1977...(1976, 1977, 2007-2008)"",""4"""
"Circuit Gilles-Villeneuve,""https://fr.wikipedia.org/wiki/Circuit_Gilles-Villeneuve"",""Montréal"",""Grand Prix du Canada"",""1978-1986...(1978-1986, 1988-2008, 2010-2019-2024)"",""54"""
"Circuit des frères Rodriguez,""https://fr.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez"",""Mexico"",""Grand Prix du Mexique"",""1963-1970...(1963-1970, 1986-1992, 2015-2019,2021-2025)"",""25"""
"Circuit d'Hockenheim,""https://fr.wikipedia.org/wiki/Circuit_d%27Hockenheim"",""Hockenheim"",""Grand Prix d'Allemagne"",""1970...(1970, 1977-1984, 1986-2006, 2008, 2010, 2012, 2014, 2016, 2018, 2019)"",""37"""
"Hungaroring,""https://fr.wikipedia.org/wiki/Hungaroring"",""Mogyoród"",""Grand Prix de Hongrie"",""1986-2020-2025"",""40"""
"Circuit routier d'Indianapolis,""https://fr.wikipedia.org/wiki/Indianapolis_Motor_Speedway"",""Indianapolis"",""Indianapolis 500, Grand Prix des États-Unis"",""1950-1960 2000-2007"",""19"""
"Circuit d'Istanbul Park,""https://fr.wikipedia.org/wiki/Circuit_d%27Istanbul_Park"",""Tuzla"",""Grand Prix de Turquie"",""2005-2011-2020-2021"",""9"""
"Circuit Nelson Piquet de Jacarepagua,""https://fr.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet"",""Rio de Janeiro"",""Grand Prix du Brésil"",""1978...(1978, 1981-1989)"",""10"""
"Circuit Permanent du Jarama,""https://fr.wikipedia.org/wiki/Circuit_Permanent_du_Jarama"",""San Sebastián de los Reyes"",""Grand Prix d'Espagne"",""1968, 1970...(1968, 1970, 1972, 1974, 1976-1979, 1981)"",""9"""
