"Constructeur","URL du Constructeur","Nationalité","Victoires","Période d'activité","Première victoire","Dernière victoire"
"Ferrari","https://fr.wikipedia.org/wiki/Scuderia_Ferrari","Italie","249","1950--","Grande-Bretagne 1951","Monza 2024"
"McLaren","https://fr.wikipedia.org/wiki/McLaren_Racing","Royaume-Uni","200","1966--","Belgique 1968","Pays-Bas 2024"
"Mercedes","https://fr.wikipedia.org/wiki/Mercedes_Grand_Prix","Allemagne","127","1954--1955, 2010--","France 1954","Belgique 2024"
"Red Bull","https://fr.wikipedia.org/wiki/Red_Bull_Racing","Autriche","117","2005--","Chine 2009","Espagne 2024"
"Williams","https://fr.wikipedia.org/wiki/Williams_F1","Royaume-Uni","114","1978--","Grande-Bretagne 1979","Espagne 2012"
"Team Lotus","https://fr.wikipedia.org/wiki/Team_Lotus","Royaume-Uni","79","1958--1994","Monaco 1960","Détroit 1987"
"Alpine/Renault","https://fr.wikipedia.org/wiki/Alpine_F1_Team","France","36","1977--1985, 2002--2011, 2016--","France 1979","Hongrie 2021"
"Brabham","https://fr.wikipedia.org/wiki/Brabham_Racing_Organisation","Royaume-Uni","35","1962--1987, 1989--1992","France 1964","France 1985"
"Benetton","https://fr.wikipedia.org/wiki/Benetton_Formula","Royaume-Uni, Italie","27","1986--2001","Mexique 1986","Allemagne 1997"
"Tyrrell","https://fr.wikipedia.org/wiki/Tyrrell_Racing","Royaume-Uni","23","1970--1998","Espagne 1971","États-Unis Est 1983"
"BRM","https://fr.wikipedia.org/wiki/British_Racing_Motors","Royaume-Uni","17","1951, 1956--1977","Pays-Bas 1959","Monaco 1972"
"Cooper","https://fr.wikipedia.org/wiki/Cooper_Car_Company","Royaume-Uni","16","1950, 1952--1969","Argentine 1958","Afrique du Sud 1967"
"Alfa Romeo","https://fr.wikipedia.org/wiki/Alfa_Romeo_(Formule_1)","Italie","10","1950--1951, 1979--1985, 2019--","Grande-Bretagne 1950","Espagne 1951"
"Maserati","https://fr.wikipedia.org/wiki/Officine_Alfieri_Maserati","Italie","9","1950--1960","Italie 1953","Allemagne 1957"
"Vanwall","https://fr.wikipedia.org/wiki/Vanwall","Royaume-Uni","9","1954--1960","Grande-Bretagne 1957","Maroc 1958"
"Matra","https://fr.wikipedia.org/wiki/Matra_Sports","France","9","1967--1972","Pays-Bas 1968","Italie 1969"
"Ligier","https://fr.wikipedia.org/wiki/Ligier","France","9","1976--1996","Suède 1977","Monaco 1996"
"Brawn","https://fr.wikipedia.org/wiki/Brawn_GP","Royaume-Uni","8","2009","Australie 2009","Italie 2009"
"Kurtis Kraft","https://fr.wikipedia.org/wiki/Kurtis_Kraft","États-Unis","5","1950--1960","Indianapolis 1950","Indianapolis 1955"
"Jordan","https://fr.wikipedia.org/wiki/Jordan_Grand_Prix","Irlande","4","1991--2005","Belgique 1998","Brésil 2003"
"Watson","https://fr.wikipedia.org/wiki/A._J._Watson","États-Unis","3","1950--1953, 1956--1960","Indianapolis 1956","Indianapolis 1960"
"March","https://fr.wikipedia.org/wiki/March_Engineering","Royaume-Uni","3","1970--1977, 1981--1982, 1987--1989, 1992","Espagne 1970","Italie 1976"
"Wolf","https://fr.wikipedia.org/wiki/Walter_Wolf_Racing","Canada","3","1977--1979","Argentine 1977","Canada 1977"
"Honda","https://fr.wikipedia.org/wiki/Honda_Racing_F1_Team","Japon","3","1964--1968, 2006--2008","Mexique 1965","Hongrie 2006"
"Epperly","https://fr.wikipedia.org/wiki/Epperly","États-Unis","2","1955, 1957--1960","Indianapolis 1957","Indianapolis 1958"
"AlphaTauri/Toro Rosso","https://fr.wikipedia.org/wiki/Scuderia_AlphaTauri","Italie","2","2006--","Italie 2008","Italie 2020"
"Lotus F1","https://fr.wikipedia.org/wiki/Lotus_F1_Team","Royaume-Uni","2","2012--2015","Abou Dabi 2012","Australie 2013"
"Kuzma","https://fr.wikipedia.org/wiki/Kuzma","États-Unis","1","1951--1960","Indianapolis 1955",""
"Porsche","https://fr.wikipedia.org/wiki/Porsche_Team","Allemagne","1","1957--1964","France 1962",""
"Eagle","https://fr.wikipedia.org/wiki/Anglo_American_Racers","États-Unis","1","1966--1969","Belgique 1967",""
"Hesketh","https://fr.wikipedia.org/wiki/Hesketh_Racing","Royaume-Uni","1","1974--1978","Pays-Bas 1975",""
"Penske","https://fr.wikipedia.org/wiki/Penske_Racing","États-Unis","1","1974--1977","Autriche 1976",""
"Shadow","https://fr.wikipedia.org/wiki/Shadow_Racing_Cars","Royaume-Uni","1","1973--1980","Autriche 1977",""
"Stewart","https://fr.wikipedia.org/wiki/Stewart_Grand_Prix","Royaume-Uni","1","1997--1999","Europe 1999",""
"BMW Sauber","https://fr.wikipedia.org/wiki/BMW_Sauber_F1_Team","Allemagne","1","1993--2018","Canada 2008",""
"Racing Point","https://fr.wikipedia.org/wiki/Racing_Point_F1_Team","Royaume-Uni","1","2019--2020","Sakhir 2020",""
