"Constructor Name","Constructor URL","Engine Manufacturer","Licensed In Country","Base Country","Seasons Active","Wins"
"Alpine","https://en.wikipedia.org/wiki/Alpine_F1_Team","Mercedes","France","United Kingdom","2021–present","1"
"Aston Martin","https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One","Honda","United Kingdom","United Kingdom","1959–1960, 2021–present","0"
"Audi","https://en.wikipedia.org/wiki/Audi_in_Formula_One","Audi","Germany","Germany","2026–present","0"
"Cadillac","https://en.wikipedia.org/wiki/Cadillac_in_Formula_One","Ferrari","USA","USA","2026–present","0"
"Ferrari","https://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italy","Italy","1950–present","248"
"Haas","https://en.wikipedia.org/wiki/Haas_F1_Team","Ferrari","United States","United States","2016–present","0"
"McLaren","https://en.wikipedia.org/wiki/McLaren","Mercedes","United Kingdom","United Kingdom","1966–present","203"
"Mercedes","https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","Germany","United Kingdom","1954–1955, 2010–present","131"
"Racing Bulls","https://en.wikipedia.org/wiki/Racing_Bulls","Red Bull Ford","Italy","Italy","2024–present","0"
"Red Bull Racing","https://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull Ford","Austria","United Kingdom","2005–present","130"
"Williams","https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Mercedes","United Kingdom","United Kingdom","1978–present","114"
"Alex von Falkenhausen Motorenbau","https://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau","","Germany","","1952–1953","0"
"Automobiles Gonfaronnaises Sportives","https://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives","","France","","1986–1991","0"
"Alfa Romeo","https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One","","Italy","","1950–1951, 1979–1985, 2019–2023","10"
"Alfa Special","https://en.wikipedia.org/wiki/Alfa_Special","","South Africa","","1963, 1965","0"
"AlphaTauri","https://en.wikipedia.org/wiki/Scuderia_AlphaTauri","","Italy","","2020–2023","1"
"Alta","https://en.wikipedia.org/wiki/Alta_Car_and_Engineering_Company","","United Kingdom","","1950–1952","0"
"Amon","https://en.wikipedia.org/wiki/Amon_(Formula_One_team)","","New Zealand","","1974","0"
"Andrea Moda","https://en.wikipedia.org/wiki/Andrea_Moda_Formula","","Italy","","1992","0"
"Apollon","https://en.wikipedia.org/wiki/Apollon_(Formula_One)","","Switzerland","","1977","0"
"Arrows","https://en.wikipedia.org/wiki/Arrows_Grand_Prix_International","","United Kingdom","","1978–2002","0"
"Arzani-Volpini","https://en.wikipedia.org/wiki/Arzani-Volpini","","Italy","","1955","0"
"Aston Butterworth","https://en.wikipedia.org/wiki/Aston_Butterworth","","United Kingdom","","1952","0"
"Automobili Turismo e Sport","https://en.wikipedia.org/wiki/Automobili_Turismo_e_Sport","","Italy","","1963","0"
"Auto Technisches Spezialzubehör","https://en.wikipedia.org/wiki/ATS_(wheels)","","Germany","","1977–1984","0"
"British American Racing","https://en.wikipedia.org/wiki/British_American_Racing","","United Kingdom","","1999–2005","0"
"Behra-Porsche","https://en.wikipedia.org/wiki/Behra-Porsche","","Germany","","1959–1960","0"
"Bellasi","https://en.wikipedia.org/wiki/Bellasi","","Switzerland","","1970–1971","0"
"Benetton","https://en.wikipedia.org/wiki/Benetton_Formula","","United Kingdom","","1986–2001","27"
"Boro","https://en.wikipedia.org/wiki/Boro_(Formula_One)","","Netherlands","","1976–1977","0"
"Brabham","https://en.wikipedia.org/wiki/Brabham","","United Kingdom","","1962–1987, 1989–1992","35"
"Brawn GP","https://en.wikipedia.org/wiki/Brawn_GP","","United Kingdom","","2009","8"
"British Racing Motors","https://en.wikipedia.org/wiki/British_Racing_Motors","","United Kingdom","","1951, 1956–1977","17"
"British Racing Partnership","https://en.wikipedia.org/wiki/British_Racing_Partnership","","United Kingdom","","1963–1964","0"
"Bugatti","https://en.wikipedia.org/wiki/Bugatti","","France","","1956","0"
"Caterham","https://en.wikipedia.org/wiki/Caterham_F1","","Malaysia","","2012–2014","0"
"Cisitalia","https://en.wikipedia.org/wiki/Cisitalia","","Italy","","1952","0"
"Coloni","https://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems","","Italy","","1987–1991","0"
"Connaught","https://en.wikipedia.org/wiki/Connaught_Engineering","","United Kingdom","","1952–1959","0"
"Connew","https://en.wikipedia.org/wiki/Connew","","United Kingdom","","1972","0"
"Cooper Car Company","https://en.wikipedia.org/wiki/Cooper_Car_Company","","United Kingdom","","1950, 1952–1969","16"
"Dallara","https://en.wikipedia.org/wiki/Dallara","","Italy","","1988–1992","0"
"De Tomaso","https://en.wikipedia.org/wiki/De_Tomaso","","Italy","","1961–1963, 1970","0"
"Eagle","https://en.wikipedia.org/wiki/All_American_Racers","","United States","","1966–1969","1"
"Eifelland","https://en.wikipedia.org/wiki/Eifelland","","Germany","","1972","0"
"Emeryson","https://en.wikipedia.org/wiki/Emeryson","","United Kingdom","","1956, 1961–1962","0"
"Eisenacher Motorenwerk","https://en.wikipedia.org/wiki/Eisenacher_Motorenwerk","","East Germany","","1953","0"
"Ecurie Nationale Belge","https://en.wikipedia.org/wiki/Ecurie_Nationale_Belge","","Belgium","","1962","0"
"Ensign","https://en.wikipedia.org/wiki/Ensign_(racing_team)","","United Kingdom","","1973–1982","0"
"English Racing Automobiles","https://en.wikipedia.org/wiki/English_Racing_Automobiles","","United Kingdom","","1950–1952","0"
"EuroBrun","https://en.wikipedia.org/wiki/EuroBrun","","Italy","","1988–1990","0"
"Ferguson Research Ltd.","https://en.wikipedia.org/wiki/Ferguson_Research_Ltd.","","United Kingdom","","1961","0"
"FIRST","https://en.wikipedia.org/wiki/FIRST_(constructor)","","Italy","","1989","0"
"Fittipaldi Automotive","https://en.wikipedia.org/wiki/Fittipaldi_Automotive","","Brazil","","1975–1982","0"
"Fondmetal","https://en.wikipedia.org/wiki/Fondmetal","","Italy","","1991–1992","0"
"Force India","https://en.wikipedia.org/wiki/Force_India","","India","","2008–2018","0"
"Forti","https://en.wikipedia.org/wiki/Forti","","Italy","","1995–1996","0"
"Frank Williams Racing Cars","https://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars","","United Kingdom","","1972–1976","0"
