Race name,Circuit,Date,Formula,Winning driver,Constructor,Report
XI Grande Prêmio Cidade do Rio de Janeiro,Gávea,20 January,Formula Libre[16],José Froilán González,Ferrari,Report
II Gran Premio di Siracusa,Syracuse,16 March,Formula Two[17],Alberto Ascari,Ferrari,Report
VI Gran Premio del Valentino,Valentino Park,6 April,Formula One[17],Luigi Villoresi,Ferrari,Report
IV Richmond Trophy,Goodwood,14 April,Formula One[18],José Froilán González,Ferrari,Report
IV Lavant Cup,Goodwood,14 April,Formula Two[19],Mike Hawthorn,Cooper-Bristol,Report
XIII Pau Grand Prix,Pau,14 April,Formula Two[17],Alberto Ascari,Ferrari,Report
I Ibsley Grand Prix,Ibsley,19 April,Formula Two[20],Mike Hawthorn,Cooper-Bristol,Report
X Grand Prix de Marseille,Marseille,27 April,Formula Two[17],Alberto Ascari,Ferrari,Report
I Aston Martin Owners Club Formula 2 Race,Snetterton,3 May,Formula Two[21],Dickie Stoop,Frazer Nash-Bristol[21],Report
IV BRDC International Trophy,Silverstone,10 May,Formula Two[17],Lance Macklin,HWM-Alta,Report
XIV Eläintarhanajot,Eläintarharata,11 May,Formula One[22],Roger Laurent,Talbot-Lago,Report
V Gran Premio di Napoli,Posillipo,11 May,Formula Two[17],Giuseppe Farina,Ferrari,Report
XVI Internationales ADAC Eifelrennen,Nürburgring,25 May,Formula Two[17],Rudi Fischer,Ferrari,Report
VI Grand Prix de Paris,Montlhéry,25 May,Formula Two[17],Piero Taruffi,Ferrari,Report
XIV Grand Prix de l'Albigeois,Albi (Les Planques),1 June,Formula One[17],Louis Rosier,Ferrari,Report
XXII Grand Prix des Frontières,Chimay,1 June,Formula Two[17],Paul Frère,HWM-Alta,Report
VI Ulster Trophy,Dundrod,7 June,Formula One[17],Piero Taruffi,Ferrari,Report
V Gran Premio dell'Autodromo di Monza,Monza,8 June,Formula Two[17],Giuseppe Farina,Ferrari,Report
IV Aix les Bains Circuit du Lac,Aix-les-Bains,8 June,Formula Two[17],Jean Behra,Gordini,Report
I West Essex CC Race,Boreham,21 June,Formula Two[23],Reg Parnell,Cooper-Bristol,Report
XVI Grand Prix de la Marne,Reims,29 June,Formula Two[24],Jean Behra,Gordini,Report
II Grand Prix de Sables d'Olonne,Sables,13 July,Formula Two[17],Luigi Villoresi,Ferrari,Report
I Grand Prix de Caen,Caen,27 July,Formula Two[25],Maurice Trintignant,Gordini,Report
II Daily Mail Trophy,Boreham,2 August,Formula Two[17],Luigi Villoresi,Ferrari,Report
XVI Grand Prix de Comminges,Comminges,10 August,Formula Two[17],André Simon  Alberto Ascari,Ferrari,Report
I National Trophy,Turnberry,23 August,Formula Two[26],Mike Hawthorn,Connaught,Report
XI Grand Prix de la Baule,La Baule,24 August,Formula Two[17],Alberto Ascari,Ferrari,Report
III Gran Premio di Modena,Modena,14 September,Formula Two[17],Luigi Villoresi,Ferrari,Report
IV Circuit de Cadours,Cadours,14 September,Formula Two[17],Louis Rosier,Ferrari,Report
II Skarpnäcksloppet,Skarpnäck,14 September,Formula One[22],Gunnar Carlsson,Mercury,Report
V Madgwick Cup,Goodwood,27 September,Formula Two[27],Ken Downing,Connaught,Report
VIII Internationales Avusrennen,AVUS,28 September,Formula Two[17],Rudi Fischer,Ferrari,Report
I Joe Fry Memorial Trophy,Castle Combe,4 October,Formula Two[28],Roy Salvadori,Ferrari,Report
I Newcastle Journal Trophy,Charterhall,11 October,Formula Two[29],Dennis Poore,Connaught,Report
XII Grande Prêmio Cidade do Rio de Janeiro,Gávea,14 December,Formula Libre[16],Henrique Casini,Ferrari,Report
