Race name,Circuit,Date,Formula,Winning driver,Constructor,Report
VII Gran Premio Ciudad de Buenos Aires,Autódromo Oscar y Juan Gálvez,1 February,Formula Libre,Giuseppe Farina,Ferrari,Report
III Gran Premio di Siracusa,Syracuse,22 March,Formula Two,Toulo de Graffenried,Maserati,Report
XIV Pau Grand Prix,Pau,6 April,Formula Two,Alberto Ascari,Ferrari,Report
V Lavant Cup,Goodwood,6 April,Formula Two,Toulo de Graffenried,Maserati,Report
II Aston Martin Owners Club Formula 2 Race,Snetterton,18 April,Formula Two,Eric Thompson,Connaught-Lea Francis,Report
II Grand Prix de Bordeaux,Bordeaux,3 May,Formula Two,Alberto Ascari,Ferrari,Report
V BRDC International Trophy,Silverstone,9 May,Formula Two,Mike Hawthorn,Ferrari,Report
XV Eläintarhanajot,Eläintarharata,10 May,Formula One,Rodney Nuckey,Cooper-Bristol,Report
VI Gran Premio di Napoli,Posillipo,10 May,Formula Two,Giuseppe Farina,Ferrari,Report
VII Ulster Trophy,Dundrod,16 May,Formula Two,Mike Hawthorn,Ferrari,Report
I Winfield JC Formula 2 Race,Charterhall,23 May,Formula Two,Ken Wharton,Cooper-Bristol,Report
XXIII Grand Prix des Frontières,Chimay,24 May,Formula Two,Maurice Trintignant,Gordini,Report
III Coronation Trophy,Crystal Palace,25 May,Formula Two,Tony Rolt,Connaught-Lea Francis,Report
I Snetterton Coronation Trophy,Snetterton,30 May,Formula Two,Tony Rolt,Connaught-Lea Francis,Report
XVII Internationales ADAC Eifelrennen,Nürburgring,31 May,Formula Two,Toulo de Graffenried,Maserati,Report
XV Grand Prix de l'Albigeois,Albi (Les Planques),31 May,Formula Two,Louis Rosier,Ferrari,Report
I Coupe de Printemps,Montlhéry,31 May,Formula Two,Marcel Balsa,BMW,Report
II West Essex CC Race,Snetterton,27 June,Formula Two,Kenneth McAlpine,Connaught-Lea Francis,Report
I Midlands MECC Race,Silverstone,27 June,Formula Two,Tony Crook,Cooper-Alta,Report
III Grand Prix de Rouen-les-Essarts,Rouen-Les-Essarts,28 June,Formula One,Giuseppe Farina,Ferrari,Report
I Crystal Palace Trophy,Crystal Palace,11 July,Formula Two,Tony Rolt,Connaught-Lea Francis,Report
IX Internationales Avusrennen,AVUS,12 July,Formula Two,Jacques Swaters,Ferrari,Report
II United States Air Force Trophy,Snetterton,25 July,Formula Two,Tony Rolt,Connaught-Lea Francis,Report
V Circuit du Lac,Aix-les-Bains,26 July,Formula Two,Élie Bayol,OSCA,Report
I Bristol MC & LCC Race,Thruxton,3 August,Formula Two,Tony Rolt,Connaught-Lea Francis,Report
I Mid-Cheshire MC Race,Oulton Park,8 August,Formula Two,Tony Rolt,Connaught-Lea Francis,Report
III Grand Prix de Sables d'Olonne,Les Sables-d'Olonne,9 August,Formula Two,Louis Rosier,Ferrari,Report
II Newcastle Journal Trophy,Charterhall,15 August,Formula Two,Ken Wharton,Cooper-Bristol,Report
V Circuit de Cadours,Cadours,30 August,Formula Two,Maurice Trintignant,Gordini,Report
I RedeX Trophy,Snetterton,12 September,Formula Two,Eric Thompson,Connaught-Lea Francis,Report
III Skarpnäcksloppet,Skarpnäck,13 September,Formula One,Erik Lundgren,Ford,Report
I London Trophy,Crystal Palace,19 September,Formula Two,Stirling Moss,Cooper-Alta,Report
IV Gran Premio di Modena,Modena,20 September,Formula Two,Juan Manuel Fangio,Maserati,Report
VI Madgwick Cup,Goodwood,26 September,Formula Two,Roy Salvadori,Connaught-Lea Francis,Report
II Joe Fry Memorial Trophy,Castle Combe,3 October,Formula Two,Bob Gerard,Cooper-Bristol,Report
I Curtis Trophy,Snetterton,17 October,Formula Two,Bob Gerard,Cooper-Bristol,Report
