Pos.,Driver,ARG,500‡,NED,BEL,FRA,GBR,GER,SUI,ITA,Pts.
1,Alberto Ascari,1PF,,1P,(1),(4)P,1PF*,8P†/ (RetF)†,1F,RetP,34.5 (46.5)
2,Juan Manuel Fangio,Ret,,Ret,RetP/ Ret†,2F,2,2,(4P†) / Ret†,1F,28 (29.5)
3,Nino Farina,Ret,,2,Ret,(5),(3),1,2,2,26 (32)
4,Mike Hawthorn,4,,(4),6,1,(5),3,3,(4),19 (27)
5,Luigi Villoresi,2,,RetF,2,6,Ret,8† / Ret†,6,3,17
6,José Froilán González,3,,3† / Ret,(RetF),3,4F*,,,,13.5 (14.5)
7,Bill Vukovich,,1PF,,,,,,,,9
8,Toulo de Graffenried,,,5,4,7,Ret,5,Ret,Ret,7
9,Felice Bonetto,Ret,,3†,,Ret,6,4,4† / Ret†,Ret,6.5
10,Art Cross,,2,,,,,,,,6
11,Onofre Marimón,,,,3,9,Ret,Ret,Ret,Ret,4
12,Maurice Trintignant,7†,,6,5,Ret,Ret,Ret,Ret,5,4
13,Sam Hanks,,3†,,,,,,,,2
14,Duane Carter,,3†,,,,,,,,2
15,Óscar Alfredo Gálvez,5,,,,,,,,,2
16,Jack McGrath,,5,,,,,,,,2
17,Hermann Lang,,,,,,,,5,,2
18,Fred Agabashian,,4†,,,,,,,,1.5
19,Paul Russo,,4†,,,,,,,,1.5
—,Stirling Moss,,,9,,Ret,,6,,13,0
—,Jean Behra,6,,,Ret,10,Ret,Ret,Ret,,0
—,Roberto Mieres,,,Ret,,Ret,,,,6,0
—,Jimmy Daywalt,,6,,,,,,,,0
—,Harry Schell,7†,,Ret,7,Ret,Ret,Ret,,9,0
—,Louis Rosier,,,7,8,8,10,10,Ret,16,0
—,Ken Wharton,,,Ret,,Ret,8,,7,NC,0
—,Birabongse Bhanudej,,,,,Ret,7,Ret,,11,0
—,Jacques Swaters,,,,DNS,,,7,Ret,,0
—,Jim Rathmann,,7,,,,,,,,0
—,Sergio Mantovani,,,,,,,,,7†,0
—,Luigi Musso,,,,,,,,,7†,0
—,Peter Collins,,,8,Ret,13,Ret,,,,0
—,John Barber,8,,,,,,,,,0
—,Ernie McCoy,,8,,,,,,,,0
—,Max de Terra,,,,,,,,8,,0
—,Umberto Maglioli,,,,,,,,,8,0
—,Alan Brown,9,,,,,Ret,Ret,,12,0
—,Fred Wacker,,,DNS,9,,,,DNS,,0
—,Tony Bettenhausen,,9,,,,,,,,0
—,Peter Whitehead,,,,,,9,,,,0
—,Hans Herrmann,,,,,,,9,,,0
—,Albert Scherrer,,,,,,,,9,,0
—,Louis Chiron,,,,,15,DNS,,DNS,10,0
—,Paul Frère,,,,10,,,,Ret,,0
—,Jimmy Davies,,10,,,,,,,,0
—,Duke Nalon,,11,,,,,,,,0
—,André Pilette,,,,11,,,,,,0
—,Bob Gerard,,,,,11,Ret,,,,0
—,Rodney Nuckey,,,,,,,11,,,0
—,Johnny Claes,,,NC,Ret†,12,,Ret,,Ret,0
—,Carl Scarborough,,12,,,,,,,,0
—,Theo Helfrich,,,,,,,12,,,0
—,Kenneth McAlpine,,,Ret,,,Ret,13,,NC,0
—,Manny Ayulo,,13,,,,,,,,0
—,Yves Giraud-Cabantous,,,,,14,,,,15,0
—,Hans Stuck,,,,,,,Ret,,14,0
—,Jimmy Bryan,,14,,,,,,,,0
—,Rudolf Krause,,,,,,,14,,,0
—,Bill Holland,,15,,,,,,,,0
—,Ernst Klodwig,,,,,,,15,,,0
—,Rodger Ward,,16,,,,,,,,0
—,Wolfgang Seidel,,,,,,,16,,,0
—,Walt Faulkner,,17,,,,,,,,0
—,Jack Fairman,,,,,,Ret,,,NC,0
—,Lance Macklin,,,Ret,Ret,Ret,Ret,,Ret,Ret,0
—,Roy Salvadori,,,Ret,,Ret,Ret,Ret,,Ret,0
—,Élie Bayol,,,,,Ret,,,DNS,Ret,0
—,Chico Landi,,,,,,,,Ret,Ret,0
—,Robert Manzon,Ret,,,,,,,,,0
—,Carlos Menditeguy,Ret,,,,,,,,,0
—,Pablo Birger,Ret,,,,,,,,,0
—,Adolfo Schwelm Cruz,Ret,,,,,,,,,0
—,Marshall Teague,,Ret,,,,,,,,0
—,Spider Webb,,Ret,,,,,,,,0
—,Bob Sweikert,,Ret,,,,,,,,0
—,Mike Nazaruk,,Ret,,,,,,,,0
—,Pat Flaherty,,Ret,,,,,,,,0
—,Jerry Hoyt,,Ret,,,,,,,,0
—,Johnnie Parsons,,Ret,,,,,,,,0
—,Don Freeland,,Ret,,,,,,,,0
—,Gene Hartley,,Ret,,,,,,,,0
—,Chuck Stevenson,,Ret,,,,,,,,0
—,Cal Niday,,Ret,,,,,,,,0
—,Bob Scott,,Ret,,,,,,,,0
—,Andy Linden,,Ret,,,,,,,,0
—,Johnny Thomson,,Ret,,,,,,,,0
—,Georges Berger,,,,Ret,,,,,,0
—,Arthur Legat,,,,Ret,,,,,,0
—,Jimmy Stewart,,,,,,Ret,,,,0
—,Tony Rolt,,,,,,Ret,,,,0
—,Ian Stewart,,,,,,Ret,,,,0
—,Duncan Hamilton,,,,,,Ret,,,,0
—,Tony Crook,,,,,,Ret,,,,0
—,Edgar Barth,,,,,,,Ret,,,0
—,Oswald Karch,,,,,,,Ret,,,0
—,Willi Heeks,,,,,,,Ret,,,0
—,Theo Fitzau,,,,,,,Ret,,,0
—,Kurt Adolff,,,,,,,Ret,,,0
—,Günther Bechem,,,,,,,Ret,,,0
—,Ernst Loof,,,,,,,Ret,,,0
—,Erwin Bauer,,,,,,,Ret,,,0
—,Peter Hirt,,,,,,,,Ret,,0
—,Piero Carini,,,,,,,,,Ret,0
—,John Fitch,,,,,,,,,Ret,0
—,Charles de Tornaco,,,,DNS,,,,,,0
—,Helmut Glöckler,,,,,,,DNS,,,0
Pos.,Driver,ARG,500‡,NED,BEL,FRA,GBR,GER,SUI,ITA,Pts.
