0,1,2,3,4,5,6,7,8,9
Pos. Driver ARG MON 500 BEL NED GBR ITA Pts. 1  Juan Manuel Fangio 1F (RetPF) 1F 1P 2 1P 40 (41) 2  Stirling Moss 4† / Ret 9 2 2 1PF RetF 23 3  Eugenio Castellotti Ret† 2 RetP 5 6† / Ret 3 12 4  Maurice Trintignant 2† / 3† / Ret 1 6 Ret Ret 8 11 1⁄3 5  Nino Farina 2† / 3† 4 3 DNS 10 1⁄3 6  Piero Taruffi 8† DNS 4 2 9 7  Bob Sweikert 1 8 8  Roberto Mieres 5 Ret 5† 4F Ret 7 7 9  Jean Behra 6† / Ret† / Ret 3† / Ret† 5† / Ret 6 Ret 4 6 10  Luigi Musso 7† / Ret† Ret 7 3 5 Ret 6 11  Karl Kling 4† / Ret Ret Ret 3 Ret 5 12  Jimmy Davies 3 4 13  Tony Bettenhausen 2† 3 14  Paul Russo 2† 3 15  Paul Frère 8† 4 3 16  Johnny Thomson 4 3 17  José Froilán González 2†P 2 18  Cesare Perdisa 3† / Ret† 8 2 19  Luigi Villoresi Ret† / Ret 5 DNS 2 20  Carlos Menditeguy Ret† / Ret 5 2 21  Umberto Maglioli 3† 6 1 1⁄3 22  Hans Herrmann 4† DNQ 1 23  Walt Faulkner 5† 1 24  Bill Homeier 5† 1 25  Bill Vukovich RetF 1 —  Mike Hawthorn Ret Ret 7 6† 10 0 —  Harry Schell 6† / 7† / Ret† Ret DNS 9† / Ret Ret 0 —  Louis Chiron 6 0 —  Andy Linden 6 0 —  Jacques Pollet 7 10 Ret 0 —  Al Herman 7 0 —  Mike Sparken 7 0 —  Sergio Mantovani 7† / Ret† 0 —  Hermano da Silva Ramos 8 Ret Ret 0 —  Lance Macklin DNQ 8 0 —  Pat O'Connor 8 0 —  Louis Rosier Ret 9 9 0 —  Ken Wharton 9† Ret 0 —  Jimmy Daywalt 9 0 —  John Fitch 9 0 —  Pat Flaherty 10 0 —  Duane Carter 11 0 —  Johnny Claes DNS 11 0 —  Chuck Weyant 12 0 —  Eddie Johnson 13 0 —  Jim Rathmann 14 0 —  Robert Manzon Ret Ret Ret 0 —  Horace Gould Ret Ret Ret 0 —  Alberto Ascari Ret Ret 0 —  Élie Bayol Ret Ret 0 —  André Simon Ret Ret 0 —  Peter Collins Ret Ret 0 —  Peter Walker Ret Ret† 0 —  Jesus Iglesias Ret 0 —  Pablo Birger Ret 0 —  Alberto Uría Ret 0 —  Don Freeland Ret 0 —  Cal Niday Ret 0 —  Art Cross Ret 0 —  Shorty Templeman Ret 0 —  Sam Hanks Ret 0 —  Keith Andrews Ret 0 —  Johnnie Parsons Ret 0 —  Eddie Russo Ret 0 —  Ray Crawford Ret 0 —  Jimmy Bryan Ret 0 —  Jack McGrath Ret 0 —  Al Keller Ret 0 —  Johnny Boyd Ret 0 —  Ed Elisian Ret 0 —  Rodger Ward Ret 0 —  Jerry Hoyt RetP 0 —  Jimmy Reece Ret 0 —  Fred Agabashian Ret 0 —  Kenneth McAlpine Ret 0 —  Jack Brabham Ret 0 —  Roy Salvadori Ret 0 —  Leslie Marr Ret 0 —  Jean Lucas Ret 0 —  Clemar Bucci Ret† 0 —  Tony Rolt Ret† 0 —  Ted Whiteaway DNQ 0 —  Jack Fairman DNS 0 —  Luigi Piotti DNS 0 Pos. Driver ARG MON 500 BEL NED GBR ITA Pts.,"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,
Pos.,Driver,ARG,MON,500,BEL,NED,GBR,ITA,Pts.
1,Juan Manuel Fangio,1F,(RetPF),,1F,1P,2,1P,40 (41)
2,Stirling Moss,4† / Ret,9,,2,2,1PF,RetF,23
3,Eugenio Castellotti,Ret†,2,,RetP,5,6† / Ret,3,12
4,Maurice Trintignant,2† / 3† / Ret,1,,6,Ret,Ret,8,11 1⁄3
5,Nino Farina,2† / 3†,4,,3,,,DNS,10 1⁄3
6,Piero Taruffi,,8†,,DNS,,4,2,9
7,Bob Sweikert,,,1,,,,,8
8,Roberto Mieres,5,Ret,,5†,4F,Ret,7,7
