Pos.,Driver,ARG,MON,NED,500,BEL,FRA,GBR,GER,POR,ITA,MOR,Pts.[26]
1,Mike Hawthorn,(3),(RetF),(5),,2PF,1PF,2F,RetP,2F,2,2P,42 (49)
2,Stirling Moss,1,Ret,1F,,Ret,2,RetP,RetF,1P,RetP,1F,41
3,Tony Brooks,,RetP,Ret,,1,Ret,7,1,Ret,1,Ret,24
4,Roy Salvadori,,Ret,4,,8,11,3,2,9,5,7,15
5,Peter Collins,Ret,3,Ret,,Ret,5,1,Ret,,,,14
=,Harry Schell,6,5,2,,5,Ret,5,Ret,6,Ret,5,14
7,Maurice Trintignant,,1,9,,7,Ret,8,3,8,Ret,Ret,12
=,Luigi Musso,2,2,7,,Ret,Ret,,,,,,12
9,Stuart Lewis-Evans,,Ret,RetP,,3,Ret,4,,3,Ret,Ret,11
10,Phil Hill,,,,,,7,,91,,3F,3,9
=,Jean Behra,5,Ret,3,,Ret,Ret,Ret,Ret,4,Ret,Ret,9
=,Wolfgang von Trips,,Ret,,,,3,Ret,4,5,Ret,,9
13,Jimmy Bryan,,,,1,,,,,,,,8
14,Juan Manuel Fangio,4PF,,,DNQ,,4,,,,,,7
15,George Amick,,,,2,,,,,,,,6
16,Johnny Boyd,,,,3,,,,,,,,4
=,Tony Bettenhausen,,,,4F,,,,,,,,4
18,Jack Brabham,,4,8,,Ret,6,6,Ret1,7,Ret,111,3
=,Cliff Allison,,6,6,,4,Ret,Ret,10,Ret,7,10,3
=,Jo Bonnier,,Ret,10,,9,8,Ret,Ret,Ret,Ret,4,3
21,Jim Rathmann,,,,5,,,,,,,,2
—,Masten Gregory,,,Ret,,Ret,,,,,4~,6,0
—,Carroll Shelby,,,,,,Ret,9,,Ret,4~ / Ret,,0
—,Graham Hill,,Ret,Ret,,Ret,Ret,Ret,Ret1,Ret,6,16,0
—,Olivier Gendebien,,,,,6,,,,,Ret,Ret,0
—,Jimmy Reece,,,,6,,,,,,,,0
—,Carlos Menditeguy,7,,,,,,,,,,,0
—,Don Freeland,,,,7,,,,,,,,0
—,Paco Godia,8,DNQ,,,Ret,Ret,,,,,,0
—,Jack Fairman,,,,,,,Ret,,,,8,0
—,Jud Larson,,,,8,,,,,,,,0
—,Gerino Gerini,,DNQ,,,,9,Ret,,,Ret,12,0
—,Hans Herrmann,,,,,,,,Ret,,Ret,9,0
—,Horace Gould,9,DNQ,DNS,,,,,,,,,0
—,Eddie Johnson,,,,9,,,,,,,,0
—,Maria Teresa de Filippis,,DNQ,,,10,,,,Ret,Ret,,0
—,Troy Ruttman,,,,DNQ,,10,,DNS,,,,0
—,Bill Cheesbourg,,,,10,,,,,,,,0
—,Carel Godin de Beaufort,,,11,,,,,Ret1,,,,0
—,Al Keller,,,,11,,,,,,,,0
—,Johnnie Parsons,,,,12,,,,,,,,0
—,Johnnie Tolan,,,,13,,,,,,,,0
—,Ian Burgess,,,,,,,Ret,71,,,,0
—,Ivor Bueb,,,,,,,Ret,111,,,,0
—,Wolfgang Seidel,,,,,Ret,,,Ret1,,,Ret,0
—,Giorgio Scarlatti,,Ret,Ret,,,,,,,,,0
—,Giulio Cabianca,,DNQ,,,,,,,,Ret,,0
—,Ron Flockhart,,DNQ,,,,,,,,,Ret,0
—,Bob Christie,,,,Ret,,,,,,,,0
—,Dempsey Wilson,,,,Ret,,,,,,,,0
—,A. J. Foyt,,,,Ret,,,,,,,,0
—,Paul Russo,,,,Ret,,,,,,,,0
—,Shorty Templeman,,,,Ret,,,,,,,,0
—,Rodger Ward,,,,Ret,,,,,,,,0
—,Billy Garrett,,,,Ret,,,,,,,,0
—,Eddie Sachs,,,,Ret,,,,,,,,0
—,Johnny Thomson,,,,Ret,,,,,,,,0
—,Chuck Weyant,,,,Ret,,,,,,,,0
—,Jack Turner,,,,Ret,,,,,,,,0
—,Bob Veith,,,,Ret,,,,,,,,0
—,Dick Rathmann,,,,RetP,,,,,,,,0
—,Ed Elisian,,,,Ret,,,,,,,,0
—,Pat O'Connor,,,,Ret,,,,,,,,0
—,Paul Goldsmith,,,,Ret,,,,,,,,0
—,Jerry Unser,,,,Ret,,,,,,,,0
—,Len Sutton,,,,Ret,,,,,,,,0
—,Art Bisch,,,,Ret,,,,,,,,0
—,Alan Stacey,,,,,,,Ret,,,,,0
—,Mike Magill,,,,DSQ,,,,,,,,0
—,Ken Kavanagh,,DNQ,,,DNS,,,,,,,0
—,Bruce Kessler,,DNQ,,,,,,,,,,0
—,Paul Emery,,DNQ,,,,,,,,,,0
—,André Testut,,DNQ,,,,,,,,,,0
—,Luigi Piotti,,DNQ,,,,,,,,,,0
—,Bernie Ecclestone,,DNQ,,,,,DNP,,,,,0
—,Luigi Taramazzo,,DNQ,,,,,,,,,,0
—,Louis Chiron,,DNQ,,,,,,,,,,0
Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars,Drivers ineligible for Formula One points because they drove with Formula Two cars
—,Bruce McLaren,,,,,,,,5,,,13,
—,Edgar Barth,,,,,,,,6,,,,
—,Tony Marsh,,,,,,,,8,,,,
—,Robert La Caze,,,,,,,,,,,14,
—,André Guelfi,,,,,,,,,,,15,
—,Christian Goethals,,,,,,,,Ret,,,,
—,Dick Gibson,,,,,,,,Ret,,,,
—,Brian Naylor,,,,,,,,Ret,,,,
—,François Picard,,,,,,,,,,,Ret,
—,Tom Bridger,,,,,,,,,,,Ret,
Pos.,Driver,ARG,MON,NED,500,BEL,FRA,GBR,GER,POR,ITA,MOR,Pts.
