Pos.,Manufacturer,MON,NED,FRA,GBR,GER,POR,ITA,USA,Pts.[b]
1,Cooper-Climax,1,(2),(3),1,(4),1,1,1,40 (53)
2,Ferrari,2,(5),1,,1,3,2,(3),32 (38)
3,BRM,Ret,1,6,2,5,5,7,,18
4,Lotus-Climax,Ret,4,Ret,8,Ret,Ret,Ret,5,5
—,Cooper-Maserati,6,,Ret,Ret,6,10,11,Ret,0
—,Aston Martin,,Ret,,6,,6,10,,0
—,Porsche,Ret,10,,,DNS,,,7,0
—,Maserati,DNQ,,8,Ret,WD,WD,15,DNS,0
—,Cooper-Borgward,,,,10,,,,,0
—,JBW-Maserati,,,,Ret,,,,,0
—,Vanwall,,,,Ret,,,,,0
—,Kurtis Kraft-Offenhauser,,,,,,,,Ret,0
—,Cooper-OSCA,,,,,,,,Ret,0
—,Tec-Mec-Maserati,,,,,,,,Ret,0
—,Connaught-Alta,,,,WD,,,,Ret,0
—,Behra-Porsche-Porsche,DNQ,,,,DNS,,,,0
—,Fry-Climax,,,,DNQ,,,,,0
Pos.,Manufacturer,MON,NED,FRA,GBR,GER,POR,ITA,USA,Pts.
