Entrant,Constructor,Chassis,Engine,Driver,Rounds
Camoradi International,Behra-Porsche-Porsche,RSK,Porsche 547/3 1.5 F4,Masten Gregory,1
Camoradi International,Behra-Porsche-Porsche,RSK,Porsche 547/3 1.5 F4,Fred Gamble,9
Scuderia Centro Sud,Cooper-Maserati,T51,Maserati 250S 2.5 L4,Roberto Bonomi,1
Scuderia Centro Sud,Cooper-Maserati,T51,Maserati 250S 2.5 L4,Carlos Menditeguy,1
Scuderia Centro Sud,Cooper-Maserati,T51,Maserati 250S 2.5 L4,Masten Gregory,"2, 4, 6–8"
Scuderia Centro Sud,Cooper-Maserati,T51,Maserati 250S 2.5 L4,Ian Burgess,"2, 6–7, 10"
Scuderia Centro Sud,Cooper-Maserati,T51,Maserati 250S 2.5 L4,Maurice Trintignant,"2, 4, 6, 10"
Scuderia Centro Sud,Cooper-Maserati,T51,Maserati 250S 2.5 L4,Mário de Araújo Cabral,8
Scuderia Centro Sud,Cooper-Maserati,T51,Maserati 250S 2.5 L4,Alfonso Thiele,9
Scuderia Centro Sud,Cooper-Maserati,T51,Maserati 250S 2.5 L4,Wolfgang von Trips,10
Giorgio Scarlatti,Maserati,250F,Maserati 250F1 2.5 L6,Giorgio Scarlatti,1
Nasif Estéfano,Maserati,250F,Maserati 250F1 2.5 L6,Nasif Estéfano,1
Antonio Creus,Maserati,250F,Maserati 250F1 2.5 L6,Antonio Creus,1
Gino Munaron,Maserati,250F,Maserati 250F1 2.5 L6,Gino Munaron,1
Cooper Car Company,Cooper-Climax,T51 T53,Climax FPF 2.5 L4,Bruce McLaren,"1–2, 4–8, 10"
Cooper Car Company,Cooper-Climax,T51 T53,Climax FPF 2.5 L4,Jack Brabham,"1–2, 4–8, 10"
Cooper Car Company,Cooper-Climax,T51 T53,Climax FPF 2.5 L4,Chuck Daigh,7
Cooper Car Company,Cooper-Climax,T51 T53,Climax FPF 2.5 L4,Ron Flockhart,10
Team Lotus,Lotus-Climax,18 16,Climax FPF 2.5 L4,Innes Ireland,"1–2, 4–8, 10"
Team Lotus,Lotus-Climax,18 16,Climax FPF 2.5 L4,Alan Stacey,"1–2, 4–5"
Team Lotus,Lotus-Climax,18 16,Climax FPF 2.5 L4,Alberto Rodríguez Larreta,1
Team Lotus,Lotus-Climax,18 16,Climax FPF 2.5 L4,John Surtees,"2, 7–8, 10"
Team Lotus,Lotus-Climax,18 16,Climax FPF 2.5 L4,Jim Clark,"4–8, 10"
Team Lotus,Lotus-Climax,18 16,Climax FPF 2.5 L4,Ron Flockhart,6
Scuderia Ferrari,Ferrari,246,Ferrari 155 2.4 V6,Cliff Allison,1–2
Scuderia Ferrari,Ferrari,246,Ferrari 155 2.4 V6,Phil Hill,"1–2, 4–9"
Scuderia Ferrari,Ferrari,246,Ferrari 155 2.4 V6,Wolfgang von Trips,"1–2, 4–8"
Scuderia Ferrari,Ferrari,246,Ferrari 155 2.4 V6,José Froilán González,1
Scuderia Ferrari,Ferrari,246,Ferrari 155 2.4 V6,Richie Ginther,"4, 9"
Scuderia Ferrari,Ferrari,246,Ferrari 155 2.4 V6,Willy Mairesse,"5–6, 9"
Scuderia Ferrari,Ferrari,246 P,Ferrari 171 2.4 V6,Richie Ginther,2
Scuderia Ferrari,Ferrari,246 P,Ferrari 1.5 V6,Wolfgang von Trips,9
Ecurie Bleue,Cooper-Climax,T51,Climax FPF 2.2 L4,Harry Schell,1
R.R.C. Walker Racing Team,Lotus-Climax,18,Climax FPF 2.5 L4,Stirling Moss,"2, 4–5, 8, 10"
R.R.C. Walker Racing Team,Cooper-Climax,T51,Climax FPF 2.5 L4,Stirling Moss,1
