Pos.,Driver,ARG,MON,500,NED,BEL,FRA,GBR,POR,ITA,USA,Pts.[b]
1,Jack Brabham,Ret,DSQ,,1,1PF,1PF,1P,1,,4F,43
2,Bruce McLaren,1,2F,,Ret,2,3,(4),2,,3,34 (37)
3,Stirling Moss,3† / NCPF,1P,,4PF,DNS,,,DSQ,,1P,19
4,Innes Ireland,6,9,,2,RetF,7,3,6,,2,18
5,Phil Hill,8,3,,Ret,4F,12,7,Ret,1PF,6,16
6,Olivier Gendebien,,,,,3,2,9,7,,12,10
7,Wolfgang von Trips,5,8,,5,Ret,11,6,4,5,9,10
8,Jim Rathmann,,,1F,,,,,,,,8
9,Richie Ginther,,6,,6,,DNS,,,2,,8
10,Jim Clark,,,,Ret,5,5,16,3,,16,8
11,Tony Brooks,,4,,Ret,Ret,Ret,5,5,,Ret,7
12,John Surtees,,Ret,,,,,2,RetPF,,Ret,6
13,Cliff Allison,2,DNQ,,,,,,,,,6
14,Rodger Ward,,,2,,,,,,,,6
15,Graham Hill,Ret,7,,3,Ret,Ret,RetF,Ret,,Ret,4
16,Willy Mairesse,,,,,Ret,Ret,,,3,,4
17,Paul Goldsmith,,,3,,,,,,,,4
18,Jo Bonnier,7,5,,Ret,Ret,Ret,Ret,Ret,,5,4
19,Henry Taylor,,,,7,,4,8,DNS,,14,3
20,Carlos Menditeguy,4,,,,,,,,,,3
21,Don Branson,,,4,,,,,,,,3
22,Giulio Cabianca,,,,,,,,,4,,3
23,Johnny Thomson,,,5,,,,,,,,2
24,Lucien Bianchi,,,,,6,Ret,Ret,,,,1
25,Ron Flockhart,,,,,,6,,,,Ret,1
26,Eddie Johnson,,,6,,,,,,,,1
27,Hans Herrmann,,,,,,,,,6,,1
—,Maurice Trintignant,3†,Ret,,Ret,,Ret,11,,,15,0
—,Lloyd Ruby,,,7,,,,,,,,0
—,Edgar Barth,,,,,,,,,7,,0
—,Jim Hall,,,,,,,,,,7,0
—,Roy Salvadori,,Ret,,DNS,,,Ret,,,8,0
—,Bruce Halford,,DNQ,,,,8,,,,,0
—,Bob Veith,,,8,,,,,,,,0
—,Carel Godin de Beaufort,,,,8,,,,,,,0
—,Piero Drogo,,,,,,,,,8,,0
—,Masten Gregory,12,DNQ,,DNS,,9,14,Ret,,,0
—,Alberto Rodríguez Larreta,9,,,,,,,,,,0
—,Bud Tingelstad,,,9,,,,,,,,0
—,Wolfgang Seidel,,,,,,,,,9,,0
—,Dan Gurney,,NC,,Ret,Ret,Ret,10,Ret,,Ret,0
—,Chuck Daigh,,DNQ,,DNS,Ret,DNS,Ret,,,10,0
—,Ian Burgess,,DNQ,,,,10,Ret,,,Ret,0
—,José Froilán González,10,,,,,,,,,,0
—,Bob Christie,,,10,,,,,,,,0
—,Fred Gamble,,,,,,,,,10,,0
—,Roberto Bonomi,11,,,,,,,,,,0
—,Red Amick,,,11,,,,,,,,0
—,Pete Lovely,,,,,,,,,,11,0
—,David Piper,,,,,,Ret,12,,,,0
—,Duane Carter,,,12,,,,,,,,0
—,Gino Munaron,13,,,,,Ret,15,,Ret,,0
—,Brian Naylor,,DNQ,,,,,13,,Ret,Ret,0
—,Bill Homeier,,,13,,,,,,,,0
—,Bob Drake,,,,,,,,,,13,0
—,Nasif Estéfano,14,,,,,,,,,,0
—,Gene Hartley,,,14,,,,,,,,0
—,Chuck Stevenson,,,15,,,,,,,,0
—,Bobby Grim,,,16,,,,,,,,0
—,Alan Stacey,Ret,Ret,,Ret,Ret,,,,,,0
—,Chris Bristow,,Ret,,Ret,Ret,,,,,,0
—,Giorgio Scarlatti,Ret,DNQ,,,,,,,Ret,,0
—,Lance Reventlow,,DNQ,,DNS,Ret,,DNS,,,,0
—,Harry Schell,Ret,,,,,,,,,,0
—,Ettore Chimeri,Ret,,,,,,,,,,0
—,Antonio Creus,Ret,,,,,,,,,,0
—,Shorty Templeman,,,Ret,,,,,,,,0
—,Jim Hurtubise,,,Ret,,,,,,,,0
—,Jimmy Bryan,,,Ret,,,,,,,,0
—,Troy Ruttman,,,Ret,,,,,,,,0
—,Eddie Sachs,,,RetP,,,,,,,,0
—,Don Freeland,,,Ret,,,,,,,,0
—,Tony Bettenhausen,,,Ret,,,,,,,,0
—,Wayne Weiler,,,Ret,,,,,,,,0
—,A. J. Foyt,,,Ret,,,,,,,,0
—,Eddie Russo,,,Ret,,,,,,,,0
—,Johnny Boyd,,,Ret,,,,,,,,0
—,Gene Force,,,Ret,,,,,,,,0
—,Jim McWithey,,,Ret,,,,,,,,0
—,Len Sutton,,,Ret,,,,,,,,0
—,Dick Rathmann,,,Ret,,,,,,,,0
—,Al Herman,,,Ret,,,,,,,,0
—,Dempsey Wilson,,,Ret,,,,,,,,0
—,Jack Fairman,,,,,,,Ret,,,,0
—,Keith Greene,,,,,,,Ret,,,,0
—,Mario de Araujo Cabral,,,,,,,,Ret,,,0
—,Alfonso Thiele,,,,,,,,,Ret,,0
—,Vic Wilson,,,,,,,,,Ret,,0
—,Arthur Owen,,,,,,,,,Ret,,0
—,Mike Taylor,,,,,DNS,,,,,,0
—,Horace Gould,,,,,,,,,DNS,,0
Pos.,Driver,ARG,MON,500,NED,BEL,FRA,GBR,POR,ITA,USA,Pts.
