Race Name,Circuit,Date,Winning driver,Constructor,Report
II Lombank Trophy,Snetterton,26 March,Jack Brabham,Cooper-Climax,Report
IX Glover Trophy,Goodwood,3 April,John Surtees,Cooper-Climax,Report
XXI Pau Grand Prix,Pau,3 April,Jim Clark,Lotus-Climax,Report
XIII Lavant Cup,Goodwood,3 April,Stirling Moss,Cooper-Climax,Report
III Brussels Grand Prix,Heysel,9 April,Jack Brabham,Cooper-Climax,Report
II Vienna Grand Prix,Aspern Aerodrome,16 April,Stirling Moss,Lotus-Climax,Report
VI Aintree 200,Aintree,22 April,Jack Brabham,Cooper-Climax,Report
XI Syracuse Grand Prix,Syracuse,25 April,Giancarlo Baghetti,Ferrari,Report
XIII BRDC International Trophy,Silverstone,6 May,Stirling Moss,Cooper-Climax,Report
XIX Naples Grand Prix,Posillipo,14 May,Giancarlo Baghetti,Ferrari,Report
IX London Trophy,Crystal Palace,22 May,Roy Salvadori,Cooper-Climax,Report
VI Silver City Trophy,Brands Hatch,3 June,Stirling Moss,Lotus-Climax,Report
XXIII British Empire Trophy,Silverstone,8 July,Stirling Moss,Cooper-Climax,Report
Solitude Grand Prix,Solitudering,23 July,Innes Ireland,Lotus-Climax,Report
Guards Trophy,Brands Hatch,7 August,Jack Brabham,Cooper-Climax,Report
VII Kanonloppet,Karlskoga,20 August,Stirling Moss,Lotus-Climax,Report
II Danish Grand Prix,Roskilde Ring,26–27 August,Stirling Moss,Lotus-Climax,Report
XV Modena Grand Prix,Modena,3 September,Stirling Moss,Lotus-Climax,Report
III Flugplatzrennen,Zeltweg Airfield,17 September,Innes Ireland,Lotus-Climax,Report
VIII Gold Cup,Oulton Park,23 September,Stirling Moss,Ferguson-Climax,Report
V Lewis-Evans Trophy,Brands Hatch,1 October,Tony Marsh,BRM-Climax,Report
I Coppa Italia,Vallelunga,12 October,Giancarlo Baghetti,Porsche,Report
V Rand Grand Prix,Kyalami,9 December,Jim Clark,Lotus-Climax,Report
I Natal Grand Prix,Westmead,17 December,Jim Clark,Lotus-Climax,Report
VIII South African Grand Prix,East London,26 December,Jim Clark,Lotus-Climax,Report
