0,1,2,3,4,5,6,7,8,9,10,11
Pos. Driver NED MON BEL FRA GBR GER ITA USA RSA Pts. 1  Graham Hill 1 (6) 2P 9F (4) 1F 1F (2) 1 42 (52) 2  Jim Clark 9 RetPF 1F RetP 1PF 4 RetP 1PF RetPF 30 3  Bruce McLaren RetF 1 Ret (4) 3 (5) 3 3 2 27 (32) 4  John Surtees RetP 4 5 5 2 2 Ret Ret Ret 19 5  Dan Gurney Ret Ret DNS 1 9 3P 13 5 15 6  Phil Hill 3 2 3 Ret Ret 11 DNS 14 7  Tony Maggs 5 Ret Ret 2 6 9 7 7 3 13 8  Richie Ginther Ret Ret Ret 3 13 8 2 Ret 7 10 9  Jack Brabham Ret 8 6 Ret 5 Ret 4 4 9 10  Trevor Taylor 2 Ret Ret 8 8 Ret Ret 12 Ret 6 11  Giancarlo Baghetti 4 Ret 10 5 5 12  Lorenzo Bandini 3 Ret 8 4 13  Ricardo Rodríguez Ret DNS 4 6 14 4 14  Willy Mairesse 7 Ret 4 3 15  Jo Bonnier 7 5 10 Ret 7 6 13 3 16  Innes Ireland Ret Ret Ret Ret 16 Ret 8 5 2 17  Carel Godin de Beaufort 6 DNQ 7 6 14 13 10 Ret 11 2 18  Masten Gregory Ret DNQ Ret Ret 7 12 6 1 19  Neville Lederle 6 1 —  Maurice Trintignant Ret 8 7 Ret Ret Ret 0 —  Jackie Lewis 8 DNQ Ret 10 Ret 0 —  John Love 8 0 —  Nino Vaccarella DNQ 15 9 0 —  Lucien Bianchi 9 16 0 —  Roger Penske 9 0 —  Bruce Johnstone 9 0 —  Jo Siffert DNQ 10 Ret 12 DNQ 0 —  Rob Schroeder 10 0 —  Ernie Pieterse 10 0 —  Ian Burgess 12 11 DNQ 0 —  Tony Settember 11 Ret 0 —  John Campbell-Jones 11 0 —  Hap Sharp 11 0 —  Heini Walter 14 0 —  Jay Chamberlain 15 DNQ DNQ 0 —  Wolfgang Seidel NC Ret DNQ 0 —  Roy Salvadori Ret Ret Ret Ret Ret Ret DNS Ret 0 —  Tony Shelly Ret DNQ DNQ 0 —  Keith Greene DNS Ret DNQ 0 —  Ben Pon Ret 0 —  Heinz Schiller Ret 0 —  Bernard Collomb Ret 0 —  Timmy Mayer Ret 0 —  Doug Serrurier Ret 0 —  Mike Harris Ret 0 —  Günther Seiffert DNQ 0 —  Gerry Ashmore DNQ 0 —  Ernesto Prinoth DNQ 0 —  Roberto Lippi DNQ 0 —  Nasif Estéfano DNQ 0 —  Jim Hall DNS 0 Pos. Driver NED MON BEL FRA GBR GER ITA USA RSA Pts.,"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,
Pos.,Driver,NED,MON,BEL,FRA,GBR,GER,ITA,USA,RSA,Pts.
1,Graham Hill,1,(6),2P,9F,(4),1F,1F,(2),1,42 (52)
2,Jim Clark,9,RetPF,1F,RetP,1PF,4,RetP,1PF,RetPF,30
3,Bruce McLaren,RetF,1,Ret,(4),3,(5),3,3,2,27 (32)
4,John Surtees,RetP,4,5,5,2,2,Ret,Ret,Ret,19
5,Dan Gurney,Ret,Ret,DNS,1,9,3P,13,5,,15
6,Phil Hill,3,2,3,,Ret,Ret,11,DNS,,14
7,Tony Maggs,5,Ret,Ret,2,6,9,7,7,3,13
8,Richie Ginther,Ret,Ret,Ret,3,13,8,2,Ret,7,10
9,Jack Brabham,Ret,8,6,Ret,5,Ret,,4,4,9
10,Trevor Taylor,2,Ret,Ret,8,8,Ret,Ret,12,Ret,6
11,Giancarlo Baghetti,4,,Ret,,,10,5,,,5
12,Lorenzo Bandini,,3,,,,Ret,8,,,4
13,Ricardo Rodríguez,Ret,DNS,4,,,6,14,,,4
14,Willy Mairesse,,7,Ret,,,,4,,,3
15,Jo Bonnier,7,5,,10,Ret,7,6,13,,3
16,Innes Ireland,Ret,Ret,Ret,Ret,16,,Ret,8,5,2
17,Carel Godin de Beaufort,6,DNQ,7,6,14,13,10,Ret,11,2
18,Masten Gregory,Ret,DNQ,Ret,Ret,7,,12,6,,1
19,Neville Lederle,,,,,,,,,6,1
—,Maurice Trintignant,,Ret,8,7,,Ret,Ret,Ret,,0
—,Jackie Lewis,8,DNQ,,Ret,10,Ret,,,,0
—,John Love,,,,,,,,,8,0
—,Nino Vaccarella,,DNQ,,,,15,9,,,0
—,Lucien Bianchi,,,9,,,16,,,,0
—,Roger Penske,,,,,,,,9,,0
—,Bruce Johnstone,,,,,,,,,9,0
—,Jo Siffert,,DNQ,10,Ret,,12,DNQ,,,0
