0,1,2,3,4,5,6,7,8,9,10,11,12
Pos. Driver MON BEL NED FRA GBR GER ITA USA MEX RSA Pts.[15] 1  Jim Clark 8P 1F 1PF 1PF 1P (2P) 1F (3F) 1PF (1P) 54 (73) 2  Graham Hill 1 RetP Ret 3‡ 3 Ret 16 1P 4 3 29 3  Richie Ginther 2 4 (5) Ret (4) 3 2 2 3 Ret 29 (34) 4  John Surtees 4F Ret 3 Ret 2F 1F RetP 9 DSQ Ret 22 5  Dan Gurney Ret 3 2 5 Ret Ret 14 Ret 6 2F 19 6  Bruce McLaren 3 2 Ret 12 Ret Ret 3 11 Ret 4 17 7  Jack Brabham 9 Ret Ret 4 Ret 7 5 4 2 13 14 8  Tony Maggs 5 7 Ret 2 9 Ret 6 Ret Ret 7 9 9  Innes Ireland Ret Ret 4 9 Ret Ret 4 6 10  Lorenzo Bandini 10 5 Ret Ret 5 Ret 5 6 11  Jo Bonnier 7 5 11 NC Ret 6 7 8 5 6 6 12  Gerhard Mitter Ret 4 3 13  Jim Hall Ret Ret 8 11 6 5 8 10 8 3 14  Carel Godin de Beaufort 6 9 10 Ret DNQ 6 10 10 2 15  Jo Siffert Ret Ret 7 6 Ret 9 Ret Ret 9 1 16  Trevor Taylor 6 Ret 10 13 Ret 8 Ret Ret 8 1 17  Ludovico Scarfiotti 6 DNS 1 —  Chris Amon DNS Ret Ret 7 7 Ret DNS Ret 0 —  Hap Sharp Ret 7 0 —  Peter Broeker 7 0 —  Maurice Trintignant Ret 8 9 0 —  Mike Hailwood 8 10 0 —  Tony Settember 8 Ret Ret Ret DNQ 0 —  John Love 9 0 —  Bernard Collomb DNQ 10 0 —  Phil Hill Ret Ret NC 11 Ret Ret 0 —  Masten Gregory Ret 11 Ret Ret Ret 0 —  Moisés Solana 11 0 —  Doug Serrurier 11 0 —  Bob Anderson 12 12 0 —  Trevor Blokdyk 12 0 —  John Campbell-Jones 13 0 —  Mike Spence 13 0 —  Brausch Niemann 14 0 —  Giancarlo Baghetti Ret Ret 15 Ret Ret 0 —  Willy Mairesse Ret Ret Ret 0 —  Ian Burgess Ret Ret 0 —  Pedro Rodriguez Ret Ret 0 —  Ian Raby Ret DNQ DNQ 0 —  Lucien Bianchi Ret 0 —  Mário de Araújo Cabral Ret DNS 0 —  Rodger Ward Ret 0 —  Peter de Klerk Ret 0 —  Sam Tingle Ret 0 —  Ernie Pieterse Ret 0 —  David Prophet Ret 0 —  André Pilette DNQ DNQ 0 —  Tim Parnell DNQ 0 —  Kurt Kuhnke DNQ 0 —  Roberto Lippi DNQ 0 —  Ernesto Brambilla DNQ 0 —  Frank Dochnal DNQ 0 —  Peter Arundell DNS 0 —  Paddy Driver DNS 0 Pos. Driver MON BEL NED FRA GBR GER ITA USA MEX RSA Pts.[15],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,,
Pos.,Driver,MON,BEL,NED,FRA,GBR,GER,ITA,USA,MEX,RSA,Pts.[15]
1,Jim Clark,8P,1F,1PF,1PF,1P,(2P),1F,(3F),1PF,(1P),54 (73)
2,Graham Hill,1,RetP,Ret,3‡,3,Ret,16,1P,4,3,29
3,Richie Ginther,2,4,(5),Ret,(4),3,2,2,3,Ret,29 (34)
4,John Surtees,4F,Ret,3,Ret,2F,1F,RetP,9,DSQ,Ret,22
5,Dan Gurney,Ret,3,2,5,Ret,Ret,14,Ret,6,2F,19
6,Bruce McLaren,3,2,Ret,12,Ret,Ret,3,11,Ret,4,17
7,Jack Brabham,9,Ret,Ret,4,Ret,7,5,4,2,13,14
8,Tony Maggs,5,7,Ret,2,9,Ret,6,Ret,Ret,7,9
9,Innes Ireland,Ret,Ret,4,9,Ret,Ret,4,,,,6
10,Lorenzo Bandini,,,,10,5,Ret,Ret,5,Ret,5,6
11,Jo Bonnier,7,5,11,NC,Ret,6,7,8,5,6,6
12,Gerhard Mitter,,,Ret,,,4,,,,,3
13,Jim Hall,Ret,Ret,8,11,6,5,8,10,8,,3
14,Carel Godin de Beaufort,,6,9,,10,Ret,DNQ,6,10,10,2
15,Jo Siffert,Ret,Ret,7,6,Ret,9,Ret,Ret,9,,1
16,Trevor Taylor,6,Ret,10,13,Ret,8,,Ret,Ret,8,1
