Pos.,Manufacturer,MON,BEL,FRA,GBR,NED,GER,ITA,USA,MEX,Pts.[a]
1,Brabham-Repco,Ret,(4),1,1,1,1,(3),Ret,2,42 (49)
2,Ferrari,2,1,2,,6,(6),1,Ret,,31 (32)
3,Cooper-Maserati,NC,2,4,(5),7,2,(4),2,1,30 (35)
4,BRM,1,Ret,Ret,3,2,4,7,Ret,Ret,22
5,Lotus-BRM,Ret,Ret,Ret,Ret,5,12,5,1,7,13
6,Lotus-Climax,Ret,Ret,Ret,4,3,Ret,9,6,Ret,8
7,Eagle-Climax,,NC,5,Ret,Ret,7,DNQ,DSQ,5,4
8,Honda,,,,,,,Ret,NC,4,3
9,McLaren-Ford,Ret,Ret,,,,,,5,Ret,2
10,Brabham-Climax,Ret,Ret,7,7,Ret,Ret,6,,,1
=,Brabham-BRM,Ret,,6,8,8,Ret,DNQ,,,1
=,McLaren-Serenissima,,DNS,,6,DNS,,,,,1
—,Cooper-Ferrari,,,,11,,Ret,,,,0
—,Eagle-Weslake,,,,,,,Ret,Ret,Ret,0
—,Shannon-Climax,,,,Ret,,,,,,0
Pos.,Manufacturer,MON,BEL,FRA,GBR,NED,GER,ITA,USA,MEX,Pts.
