Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Brabham Racing Organisation,Brabham-Repco,BT20,Repco 620 3.0 V8,G,Jack Brabham,1
Brabham Racing Organisation,Brabham-Repco,BT20,Repco 620 3.0 V8,G,Denny Hulme,1–3
Brabham Racing Organisation,Brabham-Repco,BT19,Repco 620 3.0 V8,G,Denny Hulme,4
Brabham Racing Organisation,Brabham-Repco,BT19,Repco 740 3.0 V8,G,Jack Brabham,2–3
Brabham Racing Organisation,Brabham-Repco,BT24,Repco 740 3.0 V8,G,Jack Brabham,4–10
Brabham Racing Organisation,Brabham-Repco,BT24,Repco 740 3.0 V8,G,Denny Hulme,5–10
Cooper Car Company,Cooper-Maserati,T81,Maserati 9/F1 3.0 V12,F,Pedro Rodríguez,1–7
Cooper Car Company,Cooper-Maserati,T81,Maserati 9/F1 3.0 V12,F,Alan Rees,6
Cooper Car Company,Cooper-Maserati,T81,Maserati 9/F1 3.0 V12,F,Jochen Rindt,"1–2, 8"
Cooper Car Company,Cooper-Maserati,T81B,Maserati 9/F1 3.0 V12,F,Jochen Rindt,3
Cooper Car Company,Cooper-Maserati,T81B,Maserati 10/F1 3.0 V12,F,Jochen Rindt,"4–5, 10"
Cooper Car Company,Cooper-Maserati,T81B,Maserati 10/F1 3.0 V12,F,Richard Attwood,8
Cooper Car Company,Cooper-Maserati,T81B,Maserati 10/F1 3.0 V12,F,Pedro Rodríguez,11
Cooper Car Company,Cooper-Maserati,T81B,Maserati 10/F1 3.0 V12,F,Jacky Ickx,9
Cooper Car Company,Cooper-Maserati,T86,Maserati 10/F1 3.0 V12,F,Jacky Ickx,10
Cooper Car Company,Cooper-Maserati,T86,Maserati 10/F1 3.0 V12,F,Jochen Rindt,"6–7, 9"
Owen Racing Organisation,BRM,P83,BRM P75 3.0 H16,G,Mike Spence,All
Owen Racing Organisation,BRM,P83,BRM P75 3.0 H16,G,Jackie Stewart,"1, 3–4, 6"
Owen Racing Organisation,BRM,P115,BRM P75 3.0 H16,G,Jackie Stewart,7–11
Owen Racing Organisation,BRM,P261,BRM P60 2.1 V8,G,Jackie Stewart,"2, 5"
Team Lotus,Lotus-BRM,33,BRM P60 2.1 V8,F,Graham Hill,2
Team Lotus,Lotus-BRM,43,BRM P75 3.0 H16,F,Graham Hill,1
Team Lotus,Lotus-BRM,43,BRM P75 3.0 H16,F,Jim Clark,1
Team Lotus,Lotus-Climax,33,Climax FWMV 2.0 V8,F,Jim Clark,2
Team Lotus,Lotus-Ford,49,Ford Cosworth DFV 3.0 V8,F,Jim Clark,3–11
Team Lotus,Lotus-Ford,49,Ford Cosworth DFV 3.0 V8,F,Graham Hill,3–11
Team Lotus,Lotus-Ford,49,Ford Cosworth DFV 3.0 V8,F,Eppie Wietzes,8
Team Lotus,Lotus-Ford,49,Ford Cosworth DFV 3.0 V8,F,Giancarlo Baghetti,9
Team Lotus,Lotus-Ford,49,Ford Cosworth DFV 3.0 V8,F,Moisés Solana,10–11
Team Lotus,Lotus-Ford,48,Ford Cosworth FVA 1.6 L4,F,Jackie Oliver,7
Anglo American Racers,Eagle-Climax,T1F,Climax FPF 2.8 L4,G,Dan Gurney,1
Anglo American Racers,Eagle-Weslake,T1G,Weslake 58 3.0 V12,G,Dan Gurney,2–11
Anglo American Racers,Eagle-Weslake,T1G,Weslake 58 3.0 V12,G,Richie Ginther,2
Anglo American Racers,Eagle-Weslake,T1G,Weslake 58 3.0 V12,G,Bruce McLaren,5–7
Anglo American Racers,Eagle-Weslake,T1G,Weslake 58 3.0 V12,G,Ludovico Scarfiotti,9
Honda Racing,Honda,RA273,Honda RA273E 3.0 V12,F,John Surtees,"1–4, 6–7"
Honda Racing,Honda,RA300,Honda RA273E 3.0 V12,F,John Surtees,9–11
Rob Walker/Jack Durlacher Racing Team,Cooper-Maserati,T81,Maserati 9/F1 3.0 V12,F,Jo Siffert,All
DW Racing Enterprises,Brabham-Climax,BT11,Climax FPF 2.8 L4,F,Bob Anderson,"1–4, 6"
DW Racing Enterprises,Brabham-Climax,BT11,Climax FPF 2.8 L4,D,Bob Anderson,5
Joakim Bonnier Racing Team,Cooper-Maserati,T81,Maserati 9/F1 3.0 V12,F,Jo Bonnier,"1, 4, 6–11"
Reg Parnell Racing,Lotus-BRM,25,BRM P60 2.1 V8,F,Piers Courage,1
Reg Parnell Racing,Lotus-BRM,25,BRM P60 2.1 V8,F,Chris Irwin,3
Reg Parnell Racing,BRM,P261,BRM P60 2.1 V8,F,Piers Courage,2
Reg Parnell Racing,BRM,P261,BRM P66 3.0 H16,F,Piers Courage,6
Reg Parnell Racing,BRM,P261,BRM P66 3.0 H16,F,Chris Irwin,"4, 6"
Reg Parnell Racing,BRM,P83,BRM P75 3.0 H16,F,Chris Irwin,"5, 7–11"
John Love,Cooper-Climax,T79,Climax FPF 2.8 L4,D,John Love,1
Sam Tingle,LDS-Climax,Mk 3,Climax FPF 2.8 L4,D,Sam Tingle,1
Scuderia Scribante,Brabham-Climax,BT11,Climax FPF 2.8 L4,F,Dave Charlton,1
Luki Botha,Brabham-Climax,BT11,Climax FPF 2.8 L4,D,Luki Botha,1
Matra Sports,Matra-Ford,MS5,Ford Cosworth FVA 1.6 L4,D,Johnny Servoz-Gavin,2
Matra Sports,Matra-Ford,MS5,Ford Cosworth FVA 1.6 L4,D,Jean-Pierre Beltoise,2
Matra Sports,Matra-Ford,MS7,Ford Cosworth FVA 1.6 L4,G,Jean-Pierre Beltoise,10–11
Bruce McLaren Motor Racing,McLaren-BRM,M4B,BRM P111 2.1 V8,G,Bruce McLaren,2–3
Bruce McLaren Motor Racing,McLaren-BRM,M5A,BRM P101 3.0 V12,G,Bruce McLaren,8–11
Scuderia Ferrari SpA SEFAC,Ferrari,312/67,Ferrari 242 3.0 V12,F,Lorenzo Bandini,2
Scuderia Ferrari SpA SEFAC,Ferrari,312/67,Ferrari 242 3.0 V12,F,Chris Amon,2–11
Scuderia Ferrari SpA SEFAC,Ferrari,312/67,Ferrari 242 3.0 V12,F,Jonathan Williams,11
Scuderia Ferrari SpA SEFAC,Ferrari,312/67,Ferrari 242 3.0 V12,F,Ludovico Scarfiotti,3–4
Scuderia Ferrari SpA SEFAC,Ferrari,312,Ferrari 242 3.0 V12,F,Mike Parkes,3–4
Guy Ligier,Cooper-Maserati,T81,Maserati 9/F1 3.0 V12,F,Guy Ligier,4–5
Guy Ligier,Brabham-Repco,BT20,Repco 620 3.0 V8,F,Guy Ligier,"6–7, 9–11"
Bernard White Racing,BRM,P261,BRM P60 2.1 V8,G,David Hobbs,"6, 8"
Charles Vögele Racing,Cooper-ATS,T77,ATS 2.7 V8,D,Silvio Moser,6
Bayerische Motoren Werke AG,Lola-BMW,T100,BMW M10 2.0 L4,D,Hubert Hahne,7
Gerhard Mitter,Brabham-Ford,BT23,Ford Cosworth FVA 1.6 L4,D,Gerhard Mitter,7
Roy Winkelmann Racing,Brabham-Ford,BT23,Ford Cosworth FVA 1.6 L4,F,Alan Rees,7
Ecurie Ford-France,Matra-Ford,MS5,Ford Cosworth FVA 1.6 L4,F,Jo Schlesser,7
Ron Harris Racing Team,Protos-Ford,F2,Ford Cosworth FVA 1.6 L4,F,Brian Hart,7
Ron Harris Racing Team,Protos-Ford,F2,Ford Cosworth FVA 1.6 L4,F,Kurt Ahrens Jr.,7
Lola Cars,Lola-BMW,T100,BMW M10 2.0 L4,F,David Hobbs,7
David Bridges,Lola-Ford,T100,Ford Cosworth FVA 1.6 L4,D,Brian Redman,7
Tyrrell Racing Organisation,Matra-Ford,MS5,Ford Cosworth FVA 1.6 L4,D,Jacky Ickx,7
Mike Fisher,Lotus-BRM,33,BRM P60 2.1 V8,F,Mike Fisher,"8, 11"
Castrol Oils Ltd,Eagle-Climax,T1F,Climax FPF 2.8 L4,G,Al Pease,8
Tom Jones,Cooper-Climax,T82,Climax FWMV 2.0 V8,F,Tom Jones,8
