Round,Grand Prix,Circuit,Date
1,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",2 January
2,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",7 May
3,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",4 June
4,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",18 June
5,French Grand Prix,"Bugatti Circuit, Le Mans",2 July
6,British Grand Prix,"Silverstone Circuit, Silverstone",15 July
7,German Grand Prix,"Nürburgring, Nürburg",6 August
8,Canadian Grand Prix,"Mosport Park, Bowmanville",27 August
9,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",10 September
10,United States Grand Prix,"Watkins Glen International, New York",1 October
11,Mexican Grand Prix,"Magdalena Mixhuca, Mexico City",22 October
