Pos.,Driver,RSA,ESP,MON,BEL,NED,FRA,Unnamed: 8,GBR,GER,ITA,CAN,USA,MEX,Pts.
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,Graham Hill,2,1,1P,Ret,9,Ret,RetP,2,Ret,4,2,1,48,
2,Jackie Stewart,Ret,,,4,1,3,6,1F,Ret,6,1F,7,36,
3,Denny Hulme,5,2,5,Ret,Ret,5,4,7,1,1,Ret,Ret,33,
4,Jacky Ickx,Ret,Ret,,3,4,1,3,4P,3,DNS,,Ret,27,
5,Bruce McLaren,,Ret,Ret,1,Ret,8,7,13,Ret,2,6,2,22,
6,Pedro Rodríguez,Ret,Ret,Ret,2,3,NCF,Ret,6,Ret,3,Ret,4,18,
7,Jo Siffert,7,Ret,Ret,7,Ret,11,1F,Ret,Ret,RetF,5,6PF,12,
8,John Surtees,8,Ret,Ret,RetF,Ret,2,5,Ret,RetP,Ret,3,Ret,12,
9,Jean-Pierre Beltoise,6,5F,Ret,8,2F,9,Ret,Ret,5,Ret,Ret,Ret,11,
10,Chris Amon,4,RetP,,RetP,6P,10,2,Ret,Ret,Ret,Ret,Ret,10,
11,Jim Clark,1PF,,,,,,,,,,,,9,
12,Jochen Rindt,3,Ret,Ret,Ret,Ret,RetP,Ret,3,Ret,RetP,Ret,Ret,8,
13,Richard Attwood,,,2F,Ret,7,7,Ret,14,,,,,6,
14,Johnny Servoz-Gavin,,,Ret,,,Ret,,,2,Ret,,Ret,6,
15,Jackie Oliver,,,Ret,5,NC,DNS,Ret,11,RetF,Ret,DNS,3,6,
16,Ludovico Scarfiotti,Ret,4,4,,,,,,,,,,6,
17,Lucien Bianchi,,,3,6,Ret,,,Ret,,NC,NC,Ret,5,
18,Vic Elford,,,,,,4,Ret,Ret,Ret,5,Ret,8,5,
19,Brian Redman,Ret,3,,Ret,,,,,,,,,4,
20,Piers Courage,,Ret,Ret,Ret,Ret,6,8,8,4,Ret,Ret,Ret,4,
21,Dan Gurney,Ret,,Ret,,Ret,,Ret,9,Ret,Ret,4,Ret,3,
22,Jo Bonnier,Ret,,DNQ,Ret,8,,Ret,,6,Ret,NC,5,3,
23,Jack Brabham,Ret,DNS,Ret,Ret,Ret,Ret,Ret,5,Ret,Ret,Ret,10,2,
24,Silvio Moser,,,DNQ,,5,,NC,DNS,DNQ,,,,2,
—,Henri Pescarolo,,,,,,,,,,Ret,DNS,9,0,
—,John Love,9,,,,,,,,,,,,0,
—,Hubert Hahne,,,,,,,,10,,,,,0,
—,Kurt Ahrens Jr.,,,,,,,,12,,,,,0,
—,Jackie Pretorius,NC,,,,,,,,,,,,0,
—,Derek Bell,,,,,,,,,Ret,,Ret,,0,
—,Mario Andretti,,,,,,,,,DNS,,RetP,,0,
—,Bobby Unser,,,,,,,,,DNS,,Ret,,0,
—,Andrea de Adamich,Ret,,,,,,,,,,,,0,
—,Dave Charlton,Ret,,,,,,,,,,,,0,
—,Mike Spence,Ret,,,,,,,,,,,,0,
—,Basil van Rooyen,Ret,,,,,,,,,,,,0,
—,Sam Tingle,Ret,,,,,,,,,,,,0,
—,Jo Schlesser,,,,,,Ret,,,,,,,0,
—,Robin Widdows,,,,,,,Ret,,,,,,0,
—,David Hobbs,,,,,,,,,Ret,,,,0,
—,Bill Brack,,,,,,,,,,Ret,,,0,
—,Moisés Solana,,,,,,,,,,,,Ret,0,
—,Al Pease,,,,,,,,,,DNS,,,0,
—,Frank Gardner,,,,,,,,,DNQ,,,,0,
Pos.,Driver,RSA,ESP,MON,BEL,NED,FRA,GBR,GER,ITA,CAN,USA,MEX,Pts.,
