Pos.,Manufacturer,RSA,ESP,MON,NED,FRA,GBR,Unnamed: 8,GER,ITA,CAN,USA,MEX,Pts.
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Matra-Ford,1,1,Ret,1,1,1,2,1,4,NC,4,66,
2,Brabham-Ford,Ret,6,2,5,3,2,1,(5),1,2,2,49 (51),
3,Lotus-Ford,2,Ret,1,2,6,4,4,2,3,1,9,47,
4,McLaren-Ford,3,2,(5),4,4,3,3,4,5,Ret,1,38 (40),
5,BRM,7,5,Ret,9,,Ret,Ret,NC,NC,3,6,7,
6,Ferrari,Ret,Ret,Ret,3,Ret,Ret,,6,Ret,5,7,7,
—,Cooper-Maserati,,,7,,,,,,WD,,,0,
—,Brabham-Repco,8,,,,,,,,,,,0,
—,Brabham-Climax,,,,,,,,,Ret,,,0,
—,Eagle-Climax,,,,,,,,,DSQ,,,0,
Pos.,Manufacturer,RSA,ESP,MON,NED,FRA,GBR,GER,ITA,CAN,USA,MEX,Pts.,
