Round,Grand Prix,Circuit,Date
1,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",7 March
2,Spanish Grand Prix,"Circuito Permanente Del Jarama, Madrid",19 April
3,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",10 May
4,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",7 June
5,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",21 June
6,French Grand Prix,"Charade Circuit, Clermont-Ferrand",5 July
7,British Grand Prix,"Brands Hatch, West Kingsdown",18 July
8,German Grand Prix,"Hockenheimring, Hockenheim[a]",2 August
9,Austrian Grand Prix,"Österreichring, Spielberg",16 August
10,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",6 September
11,Canadian Grand Prix,"Circuit Mont-Tremblant, Mont-Tremblant",20 September
12,United States Grand Prix,"Watkins Glen International, New York",4 October
13,Mexican Grand Prix,"Magdalena Mixhuca, Mexico City",25 October
