Pos.,Driver,RSA,ESP,MON,BEL,NED,FRA,GBR,Unnamed: 9,GER,AUT,ITA,CAN,USA,MEX,Pts.[26]
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,Jochen Rindt†,13,Ret,1,Ret,1,1,1,1,Ret,DNS†,,,,45,
2,Jacky Ickx,Ret,Ret,Ret,8,3,Ret,Ret,2,1,Ret,1,4,1,40,
3,Clay Regazzoni,,,,,4,,4,Ret,2,1,2,13,2,33,
4,Denny Hulme,2,Ret,4,,,4,3,3,Ret,4,Ret,7,3,27,
5,Jackie Stewart,3,1,Ret,Ret,2,9,Ret,Ret,Ret,2,Ret,Ret,Ret,25,
6,Jack Brabham,1,Ret,2,Ret,11,3,2,Ret,13,Ret,Ret,10,Ret,25,
7,Pedro Rodríguez,9,Ret,6,1,10,Ret,Ret,Ret,4,Ret,4,2,6,23,
8,Chris Amon,Ret,Ret,Ret,2,Ret,2,5,Ret,8,7,3,5,4,23,
9,Jean-Pierre Beltoise,4,Ret,Ret,3,5,13,Ret,Ret,6,3,8,Ret,5,16,
10,Emerson Fittipaldi,,,,,,,8,4,15,DNS,,1,Ret,12,
11,Rolf Stommelen,Ret,Ret,DNQ,5,DNQ,7,DNS,5,3,5,Ret,12,Ret,10,
12,Henri Pescarolo,7,Ret,3,6,8,5,Ret,6,14,Ret,7,8,9,8,
13,Graham Hill,6,4,5,Ret,NC,10,6,Ret,,DNS,NC,Ret,Ret,7,
14,Bruce McLaren,Ret,2,Ret,,,,,,,,,,,6,
15,Reine Wisell,,,,,,,,,,,,3,NC,4,
16,Mario Andretti,Ret,3,,,,,Ret,Ret,Ret,,,,,4,
17,Ignazio Giunti,,,,4,,14,,,7,Ret,,,,3,
18,John Surtees,Ret,Ret,Ret,,6,,Ret,9,Ret,Ret,5,Ret,8,3,
19,John Miles,5,DNQ,DNQ,Ret,7,8,Ret,Ret,Ret,DNS,,,,2,
20,Jackie Oliver,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,5,Ret,NC,Ret,7,2,
21,Johnny Servoz-Gavin,Ret,5,DNQ,,,,,,,,,,,2,
22,François Cevert,,,,,Ret,11,7,7,Ret,6,9,Ret,Ret,1,
23,Peter Gethin,,,,,Ret,,,Ret,10,NC,6,14,Ret,1,
24,Dan Gurney,,,,,Ret,6,Ret,,,,,,,1,
25,Derek Bell,,,,Ret,,,,,,,,6,,1,
—,Jo Siffert,10,DNQ,8,7,Ret,Ret,Ret,8,9,Ret,Ret,9,Ret,0,
—,Ronnie Peterson,,,7,NC,9,Ret,9,Ret,,Ret,NC,11,,0,
—,Andrea de Adamich,,DNQ,DNQ,,DNQ,NC,DNS,DNQ,12,8,Ret,DNQ,,0,
—,John Love,8,,,,,,,,,,,,,0,
—,George Eaton,Ret,DNQ,DNQ,,Ret,12,Ret,,11,Ret,10,Ret,,0,
—,Peter de Klerk,11,,,,,,,,,,,,,0,
—,Dave Charlton,12,,,,,,,,,,,,,0,
—,Piers Courage‡,Ret,DNS,NC,Ret,Ret‡,,,,,,,,,0,
—,Tim Schenken,,,,,,,,,Ret,Ret,NC,Ret,,0,
—,Pete Lovely,,,,,DNQ,DNQ,NC,,,,,DNQ,,0,
—,Silvio Moser,,,,,DNQ,DNQ,,DNQ,Ret,DNQ,,,,0,
—,Jo Bonnier,,,,,,,,,,DNQ,,Ret,,0,
—,Gus Hutchison,,,,,,,,,,,,Ret,,0,
—,Alex Soler-Roig,,DNQ,,DNS,,DNQ,,,,,,,,0,
—,Brian Redman,,,,,,,DNS,DNQ,,,,,,0,
—,Hubert Hahne,,,,,,,,DNQ,,,,,,0,
—,Nanni Galli,,,,,,,,,,DNQ,,,,0,
—,Peter Westbury,,,,,,,,,,,,DNQ,,0,
Pos.,Driver,RSA,ESP,MON,BEL,NED,FRA,GBR,GER,AUT,ITA,CAN,USA,MEX,Pts.,
