Pos.,Manufacturer,RSA,ESP,MON,BEL,NED,FRA,GBR,Unnamed: 9,GER,AUT,ITA,CAN,USA,MEX,Pts.[27]
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,Lotus-Ford,5,4,1,Ret,1,1,1,1,15,DNS,NC,1,NC,59,
2,Ferrari,Ret,Ret,Ret,4,3,14,4,2,1,1,1,(4),1,52 (55),
3,March-Ford,3,1,7,2,2,2,5,7,8,2,3,5,4,48,
4,Brabham-Ford,1,Ret,2,5,11,3,2,5,3,5,Ret,10,Ret,35,
5,McLaren-Ford,2,2,4,,6,4,3,3,10,4,6,7,3,35,
6,BRM,9,Ret,6,1,10,12,Ret,Ret,4,Ret,4,2,6,23,
7,Matra,4,Ret,3,3,5,5,Ret,6,6,3,7,8,5,23,
8,Surtees-Ford,,,,,,,Ret,9,Ret,Ret,5,6,8,3,
—,McLaren-Alfa Romeo,,DNQ,DNQ,,DNQ,NC,DNS,DNQ,12,8,Ret,DNQ,,0,
—,De Tomaso-Ford,Ret,DNS,NC,Ret,Ret,,DNS,DNQ,Ret,Ret,NC,Ret,,0,
—,Tyrrell-Ford,,,,,,,,,,DNS,Ret,Ret,Ret,0,
—,Bellasi-Ford,,,,,DNQ,DNQ,,DNQ,Ret,DNQ,,,,0,
Pos.,Manufacturer,RSA,ESP,MON,BEL,NED,FRA,GBR,GER,AUT,ITA,CAN,USA,MEX,Pts.,
