Pos.,Manufacturer,RSA,ESP,MON,NED,FRA,GBR,Unnamed: 8,GER,AUT,ITA,CAN,USA,Pts.[10]
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Tyrrell-Ford,2,1,1,11,1,1,1,Ret,3,1,1,73,
2,BRM,Ret,4,9,2,4,8,11,1,1,9,2,36,
3,Ferrari,1,2,3,1,Ret,Ret,3,Ret,Ret,8,6,33,
4,March-Ford,10,Ret,2,4,13,2,5,(6),2,2,3,33 (34),
5,Lotus-Ford,4,NC,5,DSQ,3,3,8,2,,5,NC,21,
6,McLaren-Ford,6,5,4,12,9,Ret,Ret,9,7,3,10,10,
7,Matra,5,3,Ret,9,5,7,Ret,,6,10,8,9,
8,Surtees-Ford,7,11,6,5,8,5,7,7,4,11,15,8,
9,Brabham-Ford,9,9,10,10,12,12,6,3,Ret,Ret,7,5,
—,Lotus-Pratt & Whitney,,,,Ret,,NC,,,8,,,0,
—,March-Alfa Romeo,13,Ret,DNQ,Ret,Ret,NC,12,12,Ret,,11,0,
—,Bellasi-Ford,,,,,,,,,Ret,,,0,
Pos.,Manufacturer,RSA,ESP,MON,NED,FRA,GBR,GER,AUT,ITA,CAN,USA,Pts.,
