Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,South African Grand Prix,Jackie Stewart,Mario Andretti,Mario Andretti,Ferrari,F,Report
2,Spanish Grand Prix,Jacky Ickx,Jacky Ickx,Jackie Stewart,Tyrrell-Ford,G,Report
3,Monaco Grand Prix,Jackie Stewart,Jackie Stewart,Jackie Stewart,Tyrrell-Ford,G,Report
4,Dutch Grand Prix,Jacky Ickx,Jacky Ickx,Jacky Ickx,Ferrari,F,Report
5,French Grand Prix,Jackie Stewart,Jackie Stewart,Jackie Stewart,Tyrrell-Ford,G,Report
6,British Grand Prix,Clay Regazzoni,Jackie Stewart,Jackie Stewart,Tyrrell-Ford,G,Report
7,German Grand Prix,Jackie Stewart,François Cevert,Jackie Stewart,Tyrrell-Ford,G,Report
8,Austrian Grand Prix,Jo Siffert,Jo Siffert,Jo Siffert,BRM,F,Report
9,Italian Grand Prix,Chris Amon,Henri Pescarolo,Peter Gethin,BRM,F,Report
10,Canadian Grand Prix,Jackie Stewart,Denny Hulme,Jackie Stewart,Tyrrell-Ford,G,Report
11,United States Grand Prix,Jackie Stewart,Jacky Ickx,François Cevert,Tyrrell-Ford,G,Report
