Pos.,Driver,RSA,ESP,MON,NED,FRA,GBR,GER,AUT,ITA,CAN,USA,Pts.[9]
1,Jackie Stewart,2,1,1,11,1,1,1,Ret,Ret,1,5,62
2,Ronnie Peterson,10,Ret,2,4,Ret,2,5,8,2,2,3,33
3,François Cevert,Ret,7,Ret,Ret,2,10,2,Ret,3,6,1,26
4,Jacky Ickx,8,2,3,1,Ret,Ret,Ret,Ret,Ret,8,Ret,19
5,Jo Siffert,Ret,Ret,Ret,6,4,9,DSQ,1,9,9,2,19
6,Emerson Fittipaldi,Ret,Ret,5,,3,3,Ret,2,8,7,NC,16
7,Clay Regazzoni,3,Ret,Ret,3,Ret,Ret,3,Ret,Ret,Ret,6,13
8,Mario Andretti,1,Ret,DNQ,Ret,,,4,,,13,DNS,12
9,Peter Gethin,Ret,8,Ret,NC,9,Ret,Ret,10,1,14,9,9
10,Pedro Rodríguez,Ret,4,9,2,Ret,,,,,,,9
11,Chris Amon,5,3,Ret,Ret,5,Ret,Ret,,6,10,12,9
12,Reine Wisell,4,NC,Ret,DSQ,6,NC,8,4,,5,Ret,9
13,Denny Hulme,6,5,4,12,Ret,Ret,Ret,Ret,,4,Ret,9
14,Tim Schenken,,9,10,Ret,12,12,6,3,Ret,Ret,Ret,5
15,Howden Ganley,Ret,10,DNQ,7,10,8,Ret,Ret,5,DNS,4,5
16,Mark Donohue,,,,,,,,,,3,DNS,4
17,Henri Pescarolo,11,Ret,8,NC,Ret,4,Ret,6,Ret,DNS,Ret,4
18,Mike Hailwood,,,,,,,,,4,,15,3
19,John Surtees,Ret,11,7,5,8,6,7,Ret,Ret,11,17,3
20,Rolf Stommelen,12,Ret,6,DSQ,11,5,10,7,DNS,Ret,,3
21,Graham Hill,9,Ret,Ret,10,Ret,Ret,9,5,Ret,Ret,7,2
22,Jean-Pierre Beltoise,,6,Ret,9,7,7,,,,Ret,8,1
—,Jackie Oliver,,,,,,Ret,,9,7,,,0
—,Brian Redman,7,,,,,,,,,,,0
—,Gijs van Lennep,,,,8,,,,,,,DNS,0
—,Jo Bonnier,Ret,,,,,,DNQ,DNS,10,,16,0
—,David Hobbs,,,,,,,,,,,10,0
—,Nanni Galli,,,DNQ,Ret,DNS,11,12,12,Ret,16,Ret,0
—,Helmut Marko,,,,,,,DNS,11,Ret,12,13,0
—,Andrea de Adamich,13,Ret,,,Ret,NC,Ret,,Ret,,11,0
—,Vic Elford,,,,,,,11,,,,,0
—,François Mazet,,,,,13,,,,,,,0
—,John Cannon,,,,,,,,,,,14,0
—,George Eaton,,,,,,,,,,15,,0
—,Mike Beuttler,,,,,,Ret,DSQ,NC,Ret,NC,,0
—,Skip Barber,,,DNQ,NC,,,,,,Ret,NC,0
—,Pete Lovely,,,,,,,,,,NC,NC,0
—,Max Jean,,,,,NC,,,,,,,0
—,Jean-Pierre Jarier,,,,,,,,,NC,,,0
—,Alex Soler-Roig,Ret,Ret,DNQ,Ret,Ret,,,,,,,0
—,Dave Charlton,Ret,,,DNS,,Ret,,,,,,0
—,Chris Craft,,,,,,,,,,DNQ,Ret,0
—,John Love,Ret,,,,,,,,,,,0
—,Jackie Pretorius,Ret,,,,,,,,,,,0
—,David Walker,,,,Ret,,,,,,,,0
—,Derek Bell,,,,,,Ret,,,,,,0
—,Niki Lauda,,,,,,,,Ret,,,,0
—,Silvio Moser,,,,,,,,,Ret,,,0
—,Sam Posey,,,,,,,,,,,Ret,0
—,Peter Revson,,,,,,,,,,,Ret,0
Pos.,Driver,RSA,ESP,MON,NED,FRA,GBR,GER,AUT,ITA,CAN,USA,Pts.
