Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,Argentine Grand Prix,Carlos Reutemann,Jackie Stewart,Jackie Stewart,Tyrrell-Ford,G,Report
2,South African Grand Prix,Jackie Stewart,Mike Hailwood,Denny Hulme,McLaren-Ford,G,Report
3,Spanish Grand Prix,Jacky Ickx,Jacky Ickx,Emerson Fittipaldi,Lotus-Ford,F,Report
4,Monaco Grand Prix,Emerson Fittipaldi,Jean-Pierre Beltoise,Jean-Pierre Beltoise,BRM,F,Report
5,Belgian Grand Prix,Emerson Fittipaldi,Chris Amon,Emerson Fittipaldi,Lotus-Ford,F,Report
6,French Grand Prix,Chris Amon,Chris Amon,Jackie Stewart,Tyrrell-Ford,G,Report
7,British Grand Prix,Jacky Ickx,Jackie Stewart,Emerson Fittipaldi,Lotus-Ford,F,Report
8,German Grand Prix,Jacky Ickx,Jacky Ickx,Jacky Ickx,Ferrari,F,Report
9,Austrian Grand Prix,Emerson Fittipaldi,Denny Hulme,Emerson Fittipaldi,Lotus-Ford,F,Report
10,Italian Grand Prix,Jacky Ickx,Jacky Ickx,Emerson Fittipaldi,Lotus-Ford,F,Report
11,Canadian Grand Prix,Peter Revson,Jackie Stewart,Jackie Stewart,Tyrrell-Ford,G,Report
12,United States Grand Prix,Jackie Stewart,Jackie Stewart,Jackie Stewart,Tyrrell-Ford,G,Report
