Pos,Driver,ARG,RSA,ESP,MON,BEL,FRA,Unnamed: 8,GBR,GER,AUT,ITA,CAN,USA,Points
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,Emerson Fittipaldi,Ret,2,1,3,1,2,1,Ret,1,1,11,Ret,61,
2,Jackie Stewart,1,Ret,Ret,4,,1,2,11,7,Ret,1,1,45,
3,Denny Hulme,2,1,Ret,15,3,7,5,Ret,2,3,3,3,39,
4,Jacky Ickx,3,8,2,2,Ret,11,Ret,1,Ret,Ret,12,5,27,
5,Peter Revson,Ret,3,5,,7,,3,,3,4,2,18,23,
6,François Cevert,Ret,9,Ret,NC,2,4,Ret,10,9,Ret,Ret,2,15,
7,Clay Regazzoni,4,12,3,Ret,Ret,,,2,Ret,Ret,5,8,15,
8,Mike Hailwood,,Ret,Ret,Ret,4,6,Ret,Ret,4,2,,17,13,
9,Ronnie Peterson,6,5,Ret,11,9,5,7,3,12,9,DSQ,4,12,
10,Chris Amon,DNS,15,Ret,6,6,3,4,15,5,Ret,6,15,12,
11,Jean-Pierre Beltoise,,Ret,Ret,1,Ret,15,11,9,8,8,Ret,Ret,9,
12,Mario Andretti,Ret,4,Ret,,,,,,,7,,6,4,
13,Howden Ganley,9,NC,Ret,Ret,8,DNS,,4,6,11,10,Ret,4,
14,Brian Redman,,,,5,,9,,5,,,,Ret,4,
15,Graham Hill,Ret,6,10,12,Ret,10,Ret,6,Ret,5,8,11,4,
16,Carlos Reutemann,7,Ret,,,13,12,8,Ret,Ret,Ret,4,Ret,3,
17,Andrea de Adamich,Ret,NC,4,7,Ret,14,Ret,13,14,Ret,Ret,Ret,3,
18,Carlos Pace,,17,6,17,5,Ret,Ret,NC,NC,Ret,9,Ret,3,
19,Tim Schenken,5,Ret,8,Ret,Ret,17,Ret,14,11,Ret,7,Ret,2,
20,Arturo Merzario,,,,,,,6,12,,,,,1,
21,Peter Gethin,Ret,NC,Ret,Ret,Ret,DNS,Ret,,13,6,Ret,Ret,1,
—,Wilson Fittipaldi,,,7,9,Ret,8,12,7,Ret,Ret,Ret,Ret,0,
—,Niki Lauda,11,7,Ret,16,12,Ret,9,Ret,10,13,DSQ,NC,0,
—,Patrick Depailler,,,,,,NC,,,,,,7,0,
—,Helmut Marko,10,14,,8,10,Ret,,,,,,,0,
—,Mike Beuttler,,,DNQ,13,Ret,19,13,8,Ret,10,NC,13,0,
—,Henri Pescarolo,8,11,11,Ret,NC,DNS,Ret,Ret,DNS,DNQ,13,14,0,
—,David Walker,DSQ,10,9,14,14,18,Ret,Ret,Ret,,,Ret,0,
—,Jody Scheckter,,,,,,,,,,,,9,0,
—,Rolf Stommelen,,13,Ret,10,11,16,10,Ret,15,,,,0,
—,Reine Wisell,Ret,,Ret,Ret,,Ret,,Ret,,12,Ret,10,0,
—,Sam Posey,,,,,,,,,,,,12,0,
—,Nanni Galli,,,,,Ret,13,Ret,,NC,Ret,,,0,
—,Skip Barber,,,,,,,,,,,NC,16,0,
—,John Love,,16,,,,,,,,,,,0,
—,Dave Charlton,,Ret,,,,DNQ,Ret,Ret,,,,,0,
—,Derek Bell,,,,,,DNS,,Ret,,DNQ,DNS,Ret,0,
—,Alex Soler-Roig,Ret,,Ret,,,,,,,,,,0,
—,Jackie Oliver,,,,,,,Ret,,,,,,0,
—,François Migault,,,,,,,DNS,,Ret,,,,0,
—,John Surtees,,,,,,,,,,Ret,,DNS,0,
—,Bill Brack,,,,,,,,,,,Ret,,0,
—,William Ferguson,,DNS,,,,,,,,,,,0,
—,Vern Schuppan,,,,,DNS,,,,,,,,0,
Pos,Driver,ARG,RSA,ESP,MON,BEL,FRA,GBR,GER,AUT,ITA,CAN,USA,Points,
