Pos.,Manufacturer,ARG,RSA,ESP,MON,BEL,FRA,Unnamed: 8,GBR,GER,AUT,ITA,CAN,USA,Pts.[19]
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,Lotus-Ford,Ret,2,1,3,1,2,1,Ret,1,1,11,10,61,
2,Tyrrell-Ford,1,9,Ret,4,2,1,2,10,7,Ret,1,1,51,
3,McLaren-Ford,2,1,5,5,3,7,3,(5),2,3,2,3,47 (49),
4,Ferrari,3,4,2,2,Ret,11,6,1,Ret,7,5,5,33,
5,Surtees-Ford,5,16,4,7,4,6,Ret,13,4,2,7,12,18,
6,March-Ford,6,5,6,11,5,5,7,3,10,9,9,4,15,
7,BRM,9,14,Ret,1,8,15,11,4,6,6,10,Ret,14,
8,Matra,DNS,15,Ret,6,6,3,4,15,5,Ret,6,15,12,
9,Brabham-Ford,7,6,7,9,13,8,8,6,Ret,5,4,11,7,
—,Eifelland-Ford,,13,Ret,10,11,16,10,Ret,15,,,,0,
—,Tecno,,,,,Ret,DNS,Ret,Ret,NC,Ret,DNS,Ret,0,
—,Politoys-Ford,,,,,,,Ret,,,,,,0,
—,Connew-Ford,,,,,,,DNS,,Ret,,,,0,
Pos.,Manufacturer,ARG,RSA,ESP,MON,BEL,FRA,GBR,GER,AUT,ITA,CAN,USA,Pts.,
