0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Pos Driver ARG BRA RSA ESP BEL MON SWE NED FRA GBR GER AUT ITA CAN USA Pts 1  Emerson Fittipaldi 10 1 7 3 1 5 4 3 Ret 2 Ret Ret 2 1 4 55 2  Clay Regazzoni 3 2 Ret 2 4 4 Ret 2 3 4 1 5 Ret 2 11 52 3  Jody Scheckter Ret 13 8 5 3 2 1 5 4 1 2 Ret 3 Ret Ret 45 4  Niki Lauda 2 Ret 16 1 2 Ret Ret 1 2 5 Ret Ret Ret Ret Ret 38 5  Ronnie Peterson 13 6 Ret Ret Ret 1 Ret 8 1 10 4 Ret 1 3 Ret 35 6  Carlos Reutemann 7 7 1 Ret Ret Ret Ret 12 Ret 6 3 1 Ret 9 1 32 7  Denny Hulme 1 12 9 6 6 Ret Ret Ret 6 7 DSQ 2 6 6 Ret 20 8  James Hunt Ret 9 Ret 10 Ret Ret 3 Ret Ret Ret Ret 3 Ret 4 3 15 9  Patrick Depailler 6 8 4 8 Ret 9 2 6 8 Ret Ret Ret 11 5 6 14 10  Mike Hailwood 4 5 3 9 7 Ret Ret 4 7 Ret 15 12 =  Jacky Ickx Ret 3 Ret Ret Ret Ret Ret 11 5 3 5 Ret Ret 13 Ret 12 12  Carlos Pace Ret 4 11 13 Ret Ret Ret DNQ 9 12 Ret 5 8 2 11 13  Jean-Pierre Beltoise 5 10 2 Ret 5 Ret Ret Ret 10 12 Ret Ret Ret NC DNQ 10 14  Jean-Pierre Jarier Ret Ret Ret 13 3 5 Ret 12 Ret 8 8 Ret Ret 10 6 =  John Watson 12 Ret Ret 11 11 6 11 7 16 11 Ret 4 7 Ret 5 6 16  Hans-Joachim Stuck Ret Ret 5 4 Ret Ret Ret DNQ Ret 7 11 Ret Ret DNQ 5 17  Arturo Merzario Ret Ret 6 Ret Ret Ret DNS Ret 9 Ret Ret Ret 4 Ret Ret 4 18  Vittorio Brambilla 10 DNS 9 Ret 10 10 11 Ret 13 6 Ret DNQ Ret 1 =  Graham Hill Ret 11 12 Ret 8 7 6 Ret 13 13 9 12 8 14 8 1 =  Tom Pryce Ret Ret Ret 8 6 Ret 10 Ret NC 1 —  Guy Edwards 11 Ret DNQ 12 8 7 Ret 15 DNQ DNQ 0 —  David Hobbs 7 9 0 —  Jochen Mass Ret 17 Ret Ret Ret Ret Ret Ret 14 Ret 16 7 0 —  Brian Redman 7 18 Ret 0 —  Mario Andretti 7 DSQ 0 —  Howden Ganley 8 Ret DNQ DNQ 0 —  Tom Belsø Ret DNQ 8 DNQ 0 —  Rikky von Opel DNS Ret Ret DNQ 9 9 DNQ 0 —  Henri Pescarolo 9 14 18 12 Ret Ret Ret Ret Ret Ret 10 Ret 0 —  Chris Amon Ret DNS DNQ DNQ NC 9 0 —  Dieter Quester 9 0 —  Tim Schenken 14 10 Ret DNQ Ret DNQ 10 Ret DSQ 0 —  Helmut Koinigg DNQ 10 Ret 0 —  Rolf Stommelen Ret Ret 11 12 0 —  Derek Bell DNQ 11 DNQ DNQ DNQ 0 —  Mark Donohue 12 Ret 0 —  Ian Scheckter 13 DNQ 0 —  François Migault Ret 16 15 Ret 16 Ret Ret 14 NC DNQ Ret 0 —  Ian Ashley 14 NC DNQ DNQ 0 —  Gijs van Lennep 14 DNQ 0 —  Eddie Keizan 14 0 —  Richard Robarts Ret 15 17 DNS 0 —  Vern Schuppan 15 Ret DSQ DSQ DNQ DNQ Ret 0 —  Jacques Laffite Ret NC Ret 15 Ret 0 —  Teddy Pilette 17 0 —  Dave Charlton 19 0 —  Peter Revson Ret Ret 0 —  Leo Kinnunen DNQ Ret DNQ DNQ DNQ DNQ 0 —  Mike Wilds DNQ DNQ DNQ DNQ NC 0 —  Gérard Larrousse Ret DNQ 0 —  Paddy Driver Ret 0 —  Reine Wisell Ret 0 —  Bertil Roos Ret 0 —  Peter Gethin Ret 0 —  Eppie Wietzes Ret 0 —  José Dolhem DNQ DNQ Ret 0 —  Jean-Pierre Jabouille DNQ DNQ 0 —  David Purley DNQ 0 —  Lella Lombardi DNQ 0 —  John Nicholson DNQ 0 —  Larry Perkins DNQ 0 —  Carlo Facetti DNQ 0 Pos Driver ARG BRA RSA ESP BEL MON SWE NED FRA GBR GER AUT ITA CAN USA Pts,"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Did not pre-qualify (DNPQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (cell empty) Text formatting Meaning Bold Pole position Italics Fastest lap",,,,,,,,,,,,,,,,
Pos,Driver,ARG,BRA,RSA,ESP,BEL,MON,SWE,NED,FRA,GBR,GER,AUT,ITA,CAN,USA,Pts
1,Emerson Fittipaldi,10,1,7,3,1,5,4,3,Ret,2,Ret,Ret,2,1,4,55
2,Clay Regazzoni,3,2,Ret,2,4,4,Ret,2,3,4,1,5,Ret,2,11,52
3,Jody Scheckter,Ret,13,8,5,3,2,1,5,4,1,2,Ret,3,Ret,Ret,45
4,Niki Lauda,2,Ret,16,1,2,Ret,Ret,1,2,5,Ret,Ret,Ret,Ret,Ret,38
5,Ronnie Peterson,13,6,Ret,Ret,Ret,1,Ret,8,1,10,4,Ret,1,3,Ret,35
6,Carlos Reutemann,7,7,1,Ret,Ret,Ret,Ret,12,Ret,6,3,1,Ret,9,1,32
7,Denny Hulme,1,12,9,6,6,Ret,Ret,Ret,6,7,DSQ,2,6,6,Ret,20
8,James Hunt,Ret,9,Ret,10,Ret,Ret,3,Ret,Ret,Ret,Ret,3,Ret,4,3,15
9,Patrick Depailler,6,8,4,8,Ret,9,2,6,8,Ret,Ret,Ret,11,5,6,14
10,Mike Hailwood,4,5,3,9,7,Ret,Ret,4,7,Ret,15,,,,,12
=,Jacky Ickx,Ret,3,Ret,Ret,Ret,Ret,Ret,11,5,3,5,Ret,Ret,13,Ret,12
12,Carlos Pace,Ret,4,11,13,Ret,Ret,Ret,,DNQ,9,12,Ret,5,8,2,11
13,Jean-Pierre Beltoise,5,10,2,Ret,5,Ret,Ret,Ret,10,12,Ret,Ret,Ret,NC,DNQ,10
14,Jean-Pierre Jarier,Ret,Ret,,Ret,13,3,5,Ret,12,Ret,8,8,Ret,Ret,10,6
=,John Watson,12,Ret,Ret,11,11,6,11,7,16,11,Ret,4,7,Ret,5,6
16,Hans-Joachim Stuck,Ret,Ret,5,4,Ret,Ret,,Ret,DNQ,Ret,7,11,Ret,Ret,DNQ,5
17,Arturo Merzario,Ret,Ret,6,Ret,Ret,Ret,DNS,Ret,9,Ret,Ret,Ret,4,Ret,Ret,4
