Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Argentine Grand Prix,Jean-Pierre Jarier[a],James Hunt,Emerson Fittipaldi,McLaren-Ford,Report
2,Brazilian Grand Prix,Jean-Pierre Jarier,Jean-Pierre Jarier,Carlos Pace,Brabham-Ford,Report
3,South African Grand Prix,Carlos Pace,Carlos Pace,Jody Scheckter,Tyrrell-Ford,Report
4,Spanish Grand Prix,Niki Lauda,Mario Andretti,Jochen Mass,McLaren-Ford,Report
5,Monaco Grand Prix,Niki Lauda,Patrick Depailler,Niki Lauda,Ferrari,Report
6,Belgian Grand Prix,Niki Lauda,Clay Regazzoni,Niki Lauda,Ferrari,Report
7,Swedish Grand Prix,Vittorio Brambilla,Niki Lauda,Niki Lauda,Ferrari,Report
8,Dutch Grand Prix,Niki Lauda,Niki Lauda,James Hunt,Hesketh-Ford,Report
9,French Grand Prix,Niki Lauda,Jochen Mass,Niki Lauda,Ferrari,Report
10,British Grand Prix,Tom Pryce,Clay Regazzoni,Emerson Fittipaldi,McLaren-Ford,Report
11,German Grand Prix,Niki Lauda,Clay Regazzoni,Carlos Reutemann,Brabham-Ford,Report
12,Austrian Grand Prix,Niki Lauda,Vittorio Brambilla,Vittorio Brambilla,March-Ford,Report
13,Italian Grand Prix,Niki Lauda,Clay Regazzoni,Clay Regazzoni,Ferrari,Report
14,United States Grand Prix,Niki Lauda,Emerson Fittipaldi,Niki Lauda,Ferrari,Report
