Pos,Driver,ARG,BRA,RSA,ESP‡,MON,BEL,SWE,Unnamed: 9,NED,FRA,GBR,GER,AUT‡,ITA,USA,Pts
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,Niki Lauda,6,5,5,Ret,1,1,1,2,1,8,3,6,3,1,64.5,
2,Emerson Fittipaldi,1,2,NC,DNS,2,7,8,Ret,4,1,Ret,9,2,2,45,
3,Carlos Reutemann,3,8,2,3,9,3,2,4,14,Ret,1,14,4,Ret,37,
4,James Hunt,2,6,Ret,Ret,Ret,Ret,Ret,1,2,4,Ret,2,5,4,33,
5,Clay Regazzoni,4,4,16,NC,Ret,5,3,3,Ret,13,Ret,7,1,Ret,25,
6,Carlos Pace,Ret,1,4,Ret,3,8,Ret,5,Ret,2,Ret,Ret,Ret,Ret,24,
7,Jody Scheckter,11,Ret,1,Ret,7,2,7,16,9,3,Ret,8,8,6,20,
8,Jochen Mass,14,3,6,1,6,Ret,Ret,Ret,3,7,Ret,4,Ret,3,20,
9,Patrick Depailler,5,Ret,3,Ret,5,4,12,9,6,9,9,11,7,Ret,12,
10,Tom Pryce,12,Ret,9,Ret,Ret,6,Ret,6,Ret,Ret,4,3,6,NC,8,
11,Vittorio Brambilla,9,Ret,Ret,5,Ret,Ret,Ret,Ret,Ret,6,Ret,1,Ret,7,6.5,
12,Jacques Laffite,Ret,11,NC,,DNQ,Ret,,Ret,11,Ret,2,Ret,Ret,DNS,6,
13,Ronnie Peterson,Ret,15,10,Ret,4,Ret,9,15,10,Ret,Ret,5,Ret,5,6,
14,Mario Andretti,Ret,7,17,Ret,Ret,,4,,5,12,10,Ret,Ret,Ret,5,
15,Mark Donohue,7,Ret,8,Ret,Ret,11,5,8,Ret,5,Ret,DNS,,,4,
16,Jacky Ickx,8,9,12,2,8,Ret,15,Ret,Ret,,,,,,3,
17,Alan Jones,,,,Ret,Ret,Ret,11,13,16,10,5,,,,2,
18,Jean-Pierre Jarier,DNS,Ret,Ret,4,Ret,Ret,Ret,Ret,8,14,Ret,Ret,Ret,Ret,1.5,
19,Tony Brise,,,,7,,Ret,6,7,7,15,Ret,15,Ret,Ret,1,
20,Gijs van Lennep,,,,,,,,10,15,,6,,,,1,
21,Lella Lombardi,,,Ret,6,DNQ,Ret,Ret,14,18,Ret,7,17,Ret,DNS,0.5,
—,Rolf Stommelen,13,14,7,Ret,,,,,,,,16,Ret,,0,
—,John Watson,DSQ,10,Ret,8,Ret,10,16,Ret,13,11,Ret,10,,9,0,
—,Harald Ertl,,,,,,,,,,,8,Ret,9,,0,
—,Hans-Joachim Stuck,,,,,,,,,,Ret,Ret,Ret,Ret,8,0,
—,Bob Evans,,,15,Ret,DNQ,9,13,Ret,17,,,Ret,Ret,,0,
—,Wilson Fittipaldi,Ret,13,DNQ,Ret,DNQ,12,17,11,Ret,19,Ret,DNS,,10,0,
—,Graham Hill,10,12,DNQ,,DNQ,,,,,,,,,,0,
—,Brett Lunger,,,,,,,,,,,,13,10,Ret,0,
—,Torsten Palm,,,,,DNQ,,10,,,,,,,,0,
—,Arturo Merzario,NC,Ret,Ret,Ret,DNQ,Ret,,,,,,,11,,0,
—,Guy Tunmer,,,11,,,,,,,,,,,,0,
—,Chris Amon,,,,,,,,,,,,12,12,,0,
—,Ian Scheckter,,,Ret,,,,Ret,12,,,,,,,0,
—,Jean-Pierre Jabouille,,,,,,,,,12,,,,,,0,
—,Jim Crawford,,,,,,,,,,Ret,,,13,,0,
—,Eddie Keizan,,,13,,,,,,,,,,,,0,
—,Dave Charlton,,,14,,,,,,,,,,,,0,
—,Damien Magee,,,,,,,14,,,,,,,,0,
—,Renzo Zorzi,,,,,,,,,,,,,14,,0,
—,Brian Henton,,,,,,,,,,16,,DNS,,NC,0,
—,John Nicholson,,,,,,,,,,17,,,,,0,
—,Dave Morgan,,,,,,,,,,18,,,,,0,
—,Roelof Wunderink,,,,Ret,DNQ,,,,,DNQ,,NC,DNQ,Ret,0,
