Pos.,Driver,RSA,MEX,BRA,ESP,SMR,MON,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,JPN,AUS,Points
1,Nigel Mansell,1PF,1P,1P,1PF,1P,2PF,Ret,1PF,1PF,1P,2F,2P,RetPF,1P,RetPF,RetP,108
2,Riccardo Patrese,2,2,2F,Ret,2F,3,Ret,2,2,8F†,RetP,3,5,Ret,1,Ret,56
3,Michael Schumacher,4,3,3,2,Ret,4,2,Ret,4,3,Ret,1F,3,7,Ret,2F,53
4,Ayrton Senna,3,Ret,Ret,9†,3,1,RetP,Ret,Ret,2,1,5,1,3F,Ret,Ret,50
5,Gerhard Berger,5,4F,Ret,4,Ret,Ret,1F,Ret,5,Ret,3,Ret,4,2,2,1,49
6,Martin Brundle,Ret,Ret,Ret,Ret,4,5,Ret,3,3,4,5,4,2,4,3,3,38
7,Jean Alesi,Ret,Ret,4,3,Ret,Ret,3,Ret,Ret,5,Ret,Ret,Ret,Ret,5,4,18
8,Mika Häkkinen,9,6,10,Ret,DNQ,Ret,Ret,4,6,Ret,4,6,Ret,5,Ret,7,11
9,Andrea de Cesaris,Ret,5,Ret,Ret,14†,Ret,5,Ret,Ret,Ret,8,8,6,9,4,Ret,8
10,Michele Alboreto,10,13,6,5,5,7,7,7,7,9,7,Ret,7,6,15,Ret,6
11,Érik Comas,7,9,Ret,Ret,9,10,6,5,8,6,Ret,DNQ,Ret,Ret,Ret,Ret,4
12,Karl Wendlinger,Ret,Ret,Ret,8,12,Ret,4,Ret,Ret,16,Ret,11,10,Ret,,,3
13,Ivan Capelli,Ret,Ret,5,10†,Ret,Ret,Ret,Ret,9,Ret,6,Ret,Ret,Ret,,,3
14,Thierry Boutsen,Ret,10,Ret,Ret,Ret,12,10,Ret,10,7,Ret,Ret,Ret,8,Ret,5,2
15,Johnny Herbert,6,7,Ret,Ret,Ret,Ret,Ret,6,Ret,Ret,Ret,13†,Ret,Ret,Ret,13,2
16,Pierluigi Martini,Ret,Ret,Ret,6,6,Ret,8,10,15,11,Ret,Ret,8,Ret,10,Ret,2
17,Stefano Modena,DNQ,Ret,Ret,DNQ,Ret,Ret,Ret,Ret,Ret,DNQ,Ret,15,DNQ,13,7,6,1
18,Christian Fittipaldi,Ret,Ret,Ret,11,Ret,8,13,DNQ,,,,DNQ,DNQ,12,6,9,1
19,Bertrand Gachot,Ret,11,Ret,Ret,Ret,6,DSQ,Ret,Ret,14,Ret,18†,Ret,Ret,Ret,Ret,1
—,Aguri Suzuki,8,DNQ,Ret,7,10,11,DNQ,Ret,12,Ret,Ret,9,Ret,10,8,8,0
—,JJ Lehto,Ret,8,8,Ret,11†,9,9,9,13,10,DNQ,7,11†,Ret,9,Ret,0
—,Gianni Morbidelli,Ret,Ret,7,Ret,Ret,Ret,11,8,17†,12,DNQ,16,Ret,14,14,10,0
—,Maurício Gugelmin,11,Ret,Ret,Ret,7,Ret,Ret,Ret,Ret,15,10,14,Ret,Ret,Ret,Ret,0
—,Olivier Grouillard,Ret,Ret,Ret,Ret,8,Ret,12,11,11,Ret,Ret,Ret,Ret,Ret,Ret,Ret,0
—,Ukyo Katayama,12,12,9,DNQ,Ret,DNPQ,Ret,Ret,Ret,Ret,Ret,17,9†,Ret,11,Ret,0
—,Paul Belmondo,DNQ,DNQ,DNQ,12,13,DNQ,14,DNQ,DNQ,13,9,,,,,,0
—,Eric van de Poele,13,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,Ret,10,Ret,,,,0
—,Emanuele Naspetti,,,,,,,,,,,,12,Ret,11,13,Ret,0
—,Nicola Larini,,,,,,,,,,,,,,,12,11,0
—,Damon Hill,,,,DNQ,DNQ,DNQ,DNQ,DNQ,16,DNQ,11,,,,,,0
—,Jan Lammers,,,,,,,,,,,,,,,Ret,12,0
—,Gabriele Tarquini,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,14,Ret,Ret,Ret,Ret,,,,0
—,Andrea Chiesa,DNQ,Ret,DNQ,Ret,DNQ,DNQ,DNQ,Ret,DNQ,DNQ,,,,,,,0
—,Roberto Moreno,,,DNPQ,DNPQ,DNPQ,Ret,DNPQ,,DNPQ,DNPQ,DNQ,DNQ,,,,,0
—,Alessandro Zanardi,,,,,,,,,DNQ,Ret,DNQ,,,,,,0
—,Giovanna Amati,DNQ,DNQ,DNQ,,,,,,,,,,,,,,0
—,Perry McCarthy,,,EX,DNPQ,DNPQ,DNPQ,DNP,,DNPQ,EX,DNPQ,DNQ,,,,,0
—,Alex Caffi,EX,DNP,,,,,,,,,,,,,,,0
—,Enrico Bertaggia,EX,DNP,,,,,,,,,,,,,,,0
Pos.,Driver,RSA,MEX,BRA,ESP,SMR,MON,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,JPN,AUS,Points
Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15]
