Pos.,Constructor,No.,BRA,ARG,SMR,ESP,MON,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,EUR,PAC,JPN,AUS,Points
1,Benetton-Renault,1,1F[d],3F,RetP,1P,1,5PF,1F,Ret,1F,11†,1,Ret,2,1F,1F,1PF,Ret,137[d]
1,Benetton-Renault,2,Ret,4,7,2,4,Ret,Ret,1,4,4,7,1,7,5,6,3,Ret,137[d]
2,Williams-Renault,5,RetP,1,1,4F,2P,Ret,2P,RetPF,RetP,1PF,2,Ret,3,Ret,3,Ret,1PF,112[d]
2,Williams-Renault,6,2[d],RetP,4,Ret,Ret,Ret,3,3,2,2,RetF,RetP,1PF,3P,2P,Ret,Ret,112[d]
3,Ferrari,27,5,2,2,Ret,RetF,1,5,2,Ret,Ret,Ret,Ret,5,2,5,Ret,Ret,73
3,Ferrari,28,3,6,3F,3,3,11†,12,Ret,3,3,RetP,RetF,4,Ret,4,Ret,Ret,73
4,McLaren-Mercedes,7,6,Ret,10,Ret,5,Ret,11,5,Ret,Ret,5,4,9,Ret,9,7,4,30
4,McLaren-Mercedes,8,4,Ret,5,Ret,Ret,Ret,7,Ret,Ret,Ret,Ret,2,Ret,8,10,2,DNS,30
5,Ligier-Mugen-Honda,25,8,Ret,11,9,Ret,10†,4,Ret,6,Ret,3,Ret,8,7,Ret,DNS,Ret,24
5,Ligier-Mugen-Honda,26,Ret,7,9,6,Ret,4,8,4,Ret,6,9,Ret,Ret,Ret,8,5,2,24
6,Jordan-Peugeot,14,Ret,Ret,Ret,7,Ret,2,6,11†,Ret,7,6,Ret,11,4,Ret,Ret,Ret,21
6,Jordan-Peugeot,15,Ret,Ret,8,5,Ret,3,9,Ret,9†,13†,Ret,Ret,10,6,11,4,Ret,21
7,Sauber-Ford,29,Ret,Ret,Ret,13,8†,Ret,Ret,9,5,10,11,6,12,Ret,Ret,10,Ret,18
7,Sauber-Ford,30,Ret,5,6,8,6,Ret,10,6,Ret,5,4,3,6,Ret,7,8,Ret,18
8,Footwork-Hart,9,Ret,Ret,13,11,9,6,14,Ret,Ret,Ret,Ret,7,Ret,12,Ret,Ret,3,5
8,Footwork-Hart,10,Ret,Ret,Ret,Ret,Ret,9,Ret,Ret,Ret,Ret,12,8,15,Ret,Ret,12,Ret,5
9,Tyrrell-Yamaha,3,Ret,8,Ret,Ret,Ret,Ret,Ret,Ret,7,Ret,Ret,10,Ret,14,14,Ret,Ret,5
9,Tyrrell-Yamaha,4,7,Ret,Ret,10,Ret,7,15,8,Ret,Ret,8,5,13,10,12,6,5,5
10,Minardi-Ford,23,DNS,Ret,12,14,7,Ret,Ret,7,Ret,9,10,Ret,Ret,9,13,11,6,1
10,Minardi-Ford,24,Ret,DNS,14,Ret,Ret,8,13,10,Ret,8,Ret,Ret,14,11,15,9,DNS,1
11,Forti-Ford,21,10,NC,NC,Ret,10,Ret,Ret,Ret,Ret,Ret,13,9,16,13,17,Ret,7,0
11,Forti-Ford,22,Ret,NC,NC,Ret,Ret,Ret,16,Ret,Ret,Ret,14,Ret,17,Ret,16,Ret,Ret,0
12,Pacific-Ford,16,Ret,Ret,Ret,Ret,Ret,Ret,Ret,12,Ret,Ret,Ret,Ret,Ret,15,Ret,Ret,8,0
12,Pacific-Ford,17,9,Ret,Ret,DNS,DSQ,Ret,NC,Ret,8,12,Ret,Ret,Ret,Ret,Ret,Ret,Ret,0
13,Simtek-Ford,11,Ret,9,Ret,15,DNS,,,,,,,,,,,,,0
13,Simtek-Ford,12,Ret,Ret,Ret,12,DNS,,,,,,,,,,,,0,
Pos.,Constructor,No.,BRA,ARG,SMR,ESP,MON,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,EUR,PAC,JPN,AUS,Points
Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79],Source:[79]
