Entrant,Constructor,Chassis,Engine,No.,Driver,Rounds,Unnamed: 7
Scuderia Ferrari,Ferrari,F310,Ferrari Tipo 046 3.0 V10,1,Michael Schumacher,All,
Scuderia Ferrari,Ferrari,F310,Ferrari Tipo 046 3.0 V10,2,Eddie Irvine,All,
Mild Seven Benetton Renault,Benetton-Renault,B196,Renault RS8 3.0 V10,3,Jean Alesi,All,
Mild Seven Benetton Renault,Benetton-Renault,B196,Renault RS8 3.0 V10,4,Gerhard Berger,All,
Rothmans Williams Renault,Williams-Renault,FW18,Renault RS8 3.0 V10,5,Damon Hill,All,
Rothmans Williams Renault,Williams-Renault,FW18,Renault RS8 3.0 V10,6,Jacques Villeneuve,All,
Marlboro McLaren Mercedes,McLaren-Mercedes,MP4/11 MP4/11B,Mercedes FO 110D 3.0 V10,7,Mika Häkkinen,All,
Marlboro McLaren Mercedes,McLaren-Mercedes,MP4/11 MP4/11B,Mercedes FO 110D 3.0 V10,8,David Coulthard,All,
Ligier Gauloises Blondes,Ligier-Mugen-Honda,JS43,Mugen-Honda MF-301HA 3.0 V10,9,Olivier Panis,All,
Ligier Gauloises Blondes,Ligier-Mugen-Honda,JS43,Mugen-Honda MF-301HA 3.0 V10,10,Pedro Diniz,All,
Benson & Hedges Total Jordan Peugeot,Jordan-Peugeot,196,Peugeot A12 3.0 V10,11,Rubens Barrichello,All,
Benson & Hedges Total Jordan Peugeot,Jordan-Peugeot,196,Peugeot A12 3.0 V10,12,Martin Brundle,All,
Red Bull Sauber Ford,Sauber-Ford,C15,Ford JD Zetec-R 3.0 V10,14,Johnny Herbert,All,
Red Bull Sauber Ford,Sauber-Ford,C15,Ford JD Zetec-R 3.0 V10,15,Heinz-Harald Frentzen,All,
Footwork Hart,Footwork-Hart,FA17,Hart 830 3.0 V8,16,Ricardo Rosset,All,
Footwork Hart,Footwork-Hart,FA17,Hart 830 3.0 V8,17,Jos Verstappen,All,
Tyrrell Yamaha,Tyrrell-Yamaha,024,Yamaha OX11A 3.0 V10,18,Ukyo Katayama,All,
Tyrrell Yamaha,Tyrrell-Yamaha,024,Yamaha OX11A 3.0 V10,19,Mika Salo,All,
Minardi Team,Minardi-Ford,M195B,Ford-Cosworth EDM2 3.0 V8 Ford-Cosworth EDM3 3.0 V8,20,Pedro Lamy,All,
Minardi Team,Minardi-Ford,M195B,Ford-Cosworth EDM2 3.0 V8 Ford-Cosworth EDM3 3.0 V8,21,Giancarlo Fisichella,"1, 4–10",
Minardi Team,Minardi-Ford,M195B,Ford-Cosworth EDM2 3.0 V8 Ford-Cosworth EDM3 3.0 V8,21,Tarso Marques,2–3,
Minardi Team,Minardi-Ford,M195B,Ford-Cosworth EDM2 3.0 V8 Ford-Cosworth EDM3 3.0 V8,21,Giovanni Lavaggi,11–16,
Forti Grand Prix[a],Forti-Ford,FG01B FG03,Ford ECA Zetec-R 3.0 V8,22,Luca Badoer,1–10,
Forti Grand Prix[a],Forti-Ford,FG01B FG03,Ford ECA Zetec-R 3.0 V8,23,Andrea Montermini,1–10,
Source:[3][18][21][22],Source:[3][18][21][22],Source:[3][18][21][22],Source:[3][18][21][22],Source:[3][18][21][22],Source:[3][18][21][22],Source:[3][18][21][22],Source:[3][18][21][22]
