Entrant,Constructor,Chassis,Engine,Tyre,No.,Driver,Rounds
Danka Arrows Yamaha,Arrows-Yamaha,A18,Yamaha OX11C/D 3.0 V10,B,1,Damon Hill,All
Danka Arrows Yamaha,Arrows-Yamaha,A18,Yamaha OX11C/D 3.0 V10,B,2,Pedro Diniz,All
Rothmans Williams Renault,Williams-Renault,FW19,Renault RS9 3.0 V10 Renault RS9B 3.0 V10,G,3,Jacques Villeneuve,All
Rothmans Williams Renault,Williams-Renault,FW19,Renault RS9 3.0 V10 Renault RS9B 3.0 V10,G,4,Heinz-Harald Frentzen,All
Scuderia Ferrari Marlboro,Ferrari,F310B,Ferrari Tipo 046/2 3.0 V10,G,5,Michael Schumacher,All
Scuderia Ferrari Marlboro,Ferrari,F310B,Ferrari Tipo 046/2 3.0 V10,G,6,Eddie Irvine,All
Mild Seven Benetton Renault,Benetton-Renault,B197,Renault RS9 3.0 V10 Renault RS9B 3.0 V10,G,7,Jean Alesi,All
Mild Seven Benetton Renault,Benetton-Renault,B197,Renault RS9 3.0 V10 Renault RS9B 3.0 V10,G,8,Gerhard Berger,"1–6, 10–17"
Mild Seven Benetton Renault,Benetton-Renault,B197,Renault RS9 3.0 V10 Renault RS9B 3.0 V10,G,8,Alexander Wurz,7–9
West McLaren Mercedes,McLaren-Mercedes,MP4/12,Mercedes FO110E 3.0 V10 Mercedes FO110F 3.0 V10,G,9,Mika Häkkinen,All
West McLaren Mercedes,McLaren-Mercedes,MP4/12,Mercedes FO110E 3.0 V10 Mercedes FO110F 3.0 V10,G,10,David Coulthard,All
Benson & Hedges Jordan Peugeot,Jordan-Peugeot,197,Peugeot A14 3.0 V10,G,11,Ralf Schumacher,All
Benson & Hedges Jordan Peugeot,Jordan-Peugeot,197,Peugeot A14 3.0 V10,G,12,Giancarlo Fisichella,All
Prost Gauloises Blondes,Prost-Mugen-Honda,JS45,Mugen-Honda MF-301HB 3.0 V10,B,14,Olivier Panis,"1–7, 15–17"
Prost Gauloises Blondes,Prost-Mugen-Honda,JS45,Mugen-Honda MF-301HB 3.0 V10,B,14,Jarno Trulli,8–14
Prost Gauloises Blondes,Prost-Mugen-Honda,JS45,Mugen-Honda MF-301HB 3.0 V10,B,15,Shinji Nakano,All
Red Bull Sauber Petronas,Sauber-Petronas,C16,Petronas SPE-01 3.0 V10,G,16,Johnny Herbert,All
Red Bull Sauber Petronas,Sauber-Petronas,C16,Petronas SPE-01 3.0 V10,G,17,Nicola Larini,1–5
Red Bull Sauber Petronas,Sauber-Petronas,C16,Petronas SPE-01 3.0 V10,G,17,Gianni Morbidelli,"6–7, 11–16"
Red Bull Sauber Petronas,Sauber-Petronas,C16,Petronas SPE-01 3.0 V10,G,17,Norberto Fontana,"8–10, 17"
PIAA Tyrrell Ford,Tyrrell-Ford,025,Ford-Cosworth ED4 3.0 V8 Ford-Cosworth ED5 3.0 V8,G,18,Jos Verstappen,All
PIAA Tyrrell Ford,Tyrrell-Ford,025,Ford-Cosworth ED4 3.0 V8 Ford-Cosworth ED5 3.0 V8,G,19,Mika Salo,All
Minardi Team,Minardi-Hart,M197,Hart 830 3.0 V8,B,20,Ukyo Katayama,All
Minardi Team,Minardi-Hart,M197,Hart 830 3.0 V8,B,21,Jarno Trulli,1–7
Minardi Team,Minardi-Hart,M197,Hart 830 3.0 V8,B,21,Tarso Marques,8–17
HSBC Malaysia Stewart Ford,Stewart-Ford,SF01,Ford VJ Zetec-R 3.0 V10,B,22,Rubens Barrichello,All
HSBC Malaysia Stewart Ford,Stewart-Ford,SF01,Ford VJ Zetec-R 3.0 V10,B,23,Jan Magnussen,All
MasterCard Lola Formula One Racing Team,Lola-Ford,T97/30,Ford ECA Zetec-R 3.0 V8,B,24,Vincenzo Sospiri,1
MasterCard Lola Formula One Racing Team,Lola-Ford,T97/30,Ford ECA Zetec-R 3.0 V8,B,25,Ricardo Rosset,1
Sources:[2][3][4],Sources:[2][3][4],Sources:[2][3][4],Sources:[2][3][4],Sources:[2][3][4],Sources:[2][3][4],Sources:[2][3][4],Sources:[2][3][4]
