Entrant,Constructor,Chassis,Engine†,Tyre,No.,Driver,Rounds
Winfield Williams,Williams-Mecachrome,FW20,Mecachrome GC37-01,G,1,Jacques Villeneuve,All
Winfield Williams,Williams-Mecachrome,FW20,Mecachrome GC37-01,G,2,Heinz-Harald Frentzen,All
Scuderia Ferrari Marlboro,Ferrari,F300,Ferrari 047,G,3,Michael Schumacher,All
Scuderia Ferrari Marlboro,Ferrari,F300,Ferrari 047,G,4,Eddie Irvine,All
Mild Seven Benetton Playlife,Benetton-Playlife,B198,Playlife GC37-01,B,5,Giancarlo Fisichella,All
Mild Seven Benetton Playlife,Benetton-Playlife,B198,Playlife GC37-01,B,6,Alexander Wurz,All
West McLaren Mercedes,McLaren-Mercedes,MP4/13,Mercedes FO110G,B,7,David Coulthard,All
West McLaren Mercedes,McLaren-Mercedes,MP4/13,Mercedes FO110G,B,8,Mika Häkkinen,All
Benson & Hedges Jordan,Jordan-Mugen-Honda,198,Mugen-Honda MF-301HC,G,9,Damon Hill,All
Benson & Hedges Jordan,Jordan-Mugen-Honda,198,Mugen-Honda MF-301HC,G,10,Ralf Schumacher,All
Gauloises Prost Peugeot,Prost-Peugeot,AP01,Peugeot A16,B,11,Olivier Panis,All
Gauloises Prost Peugeot,Prost-Peugeot,AP01,Peugeot A16,B,12,Jarno Trulli,All
Red Bull Sauber Petronas,Sauber-Petronas,C17,Petronas SPE-01D,G,14,Jean Alesi,All
Red Bull Sauber Petronas,Sauber-Petronas,C17,Petronas SPE-01D,G,15,Johnny Herbert,All
Danka Zepter Arrows,Arrows,A19,Arrows T2-F1,B,16,Pedro Diniz,All
Danka Zepter Arrows,Arrows,A19,Arrows T2-F1,B,17,Mika Salo,All
HSBC Stewart Ford,Stewart-Ford,SF02,Ford VJ Zetec-R,B,18,Rubens Barrichello,All
HSBC Stewart Ford,Stewart-Ford,SF02,Ford VJ Zetec-R,B,19,Jan Magnussen,1–7
HSBC Stewart Ford,Stewart-Ford,SF02,Ford VJ Zetec-R,B,19,Jos Verstappen,8–16
PIAA Tyrrell,Tyrrell-Ford,026,Ford JD Zetec-R,G,20,Ricardo Rosset,All
PIAA Tyrrell,Tyrrell-Ford,026,Ford JD Zetec-R,G,21,Toranosuke Takagi,All
Fondmetal Minardi Team,Minardi-Ford,M198,Ford JD Zetec-R,B,22,Shinji Nakano,All
Fondmetal Minardi Team,Minardi-Ford,M198,Ford JD Zetec-R,B,23,Esteban Tuero,All
Sources:[5][6][7],Sources:[5][6][7],Sources:[5][6][7],Sources:[5][6][7],Sources:[5][6][7],Sources:[5][6][7],Sources:[5][6][7],Sources:[5][6][7]
