0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Pos. Driver AUS BRA ARG SMR ESP MON CAN FRA GBR AUT GER HUN BEL ITA LUX JPN Points 1  Mika Häkkinen 1PF 1PF 2 Ret 1PF 1PF Ret 3P 2P 1 1P 6P RetP 4F 1F 1 100 2  Michael Schumacher Ret 3 1 2F 3 10 1F 1 1F 3 5 1F RetF 1P 2P RetPF 86 3  David Coulthard 2 2 6P 1P 2 Ret RetP 6F Ret 2F 2F 2 7 Ret 3 3 56 4  Eddie Irvine 4 8 3 3 Ret 3 3 2 3 4 8 Ret Ret 2 4 2 47 5  Jacques Villeneuve 5 7 Ret 4 6 5 10 4 7 6 3 3 Ret Ret 8 6 21 6  Damon Hill 8 DSQ 8 10† Ret 8 Ret Ret Ret 7 4 4 1 6 9 4 20 7  Heinz-Harald Frentzen 3 5 9 5 8 Ret Ret 15† Ret Ret 9 5 4 7 5 5 17 8  Alexander Wurz 7 4 4F Ret 4 Ret 4 5 4 9 11 16† Ret Ret 7 9 17 9  Giancarlo Fisichella Ret 6 7 Ret Ret 2 2 9 5 RetP 7 8 Ret 8 6 8 16 10  Ralf Schumacher Ret Ret Ret 7 11 Ret Ret 16 6 5 6 9 2 3 Ret Ret 14 11  Jean Alesi Ret 9 5 6 10 12† Ret 7 Ret Ret 10 7 3 5 10 7 9 12  Rubens Barrichello Ret Ret 10 Ret 5 Ret 5 10 Ret Ret Ret Ret DNS 10 11 Ret 4 13  Mika Salo Ret Ret Ret 9 Ret 4 Ret 13 Ret Ret 14 Ret DNS Ret 14 Ret 3 14  Pedro Diniz Ret Ret Ret Ret Ret 6 9 14 Ret Ret Ret 11 5 Ret Ret Ret 3 15  Johnny Herbert 6 11† Ret Ret 7 7 Ret 8 Ret 8 Ret 10 Ret Ret Ret 10 1 16  Jarno Trulli Ret Ret 11 Ret 9 Ret Ret Ret Ret 10 12 Ret 6 13 Ret 12† 1 17  Jan Magnussen Ret 10 Ret Ret 12 Ret 6 1 18  Shinji Nakano Ret Ret 13 Ret 14 9 7 17† 8 11 Ret 15 8 Ret 15 Ret 0 19  Esteban Tuero Ret Ret Ret 8 15 Ret Ret Ret Ret Ret 16 Ret Ret 11 NC Ret 0 20  Ricardo Rosset Ret Ret 14 Ret DNQ DNQ 8 Ret Ret 12 DNQ DNQ DNS 12 Ret DNQ 0 21  Toranosuke Takagi Ret Ret 12 Ret 13 11 Ret Ret 9 Ret 13 14 Ret 9 16 Ret 0 22  Olivier Panis 9 Ret 15† 11† 16† Ret Ret 11 Ret Ret 15 12 DNS Ret 12 11 0 23  Jos Verstappen 12 Ret Ret Ret 13 Ret Ret 13 Ret 0 Pos. Driver AUS BRA ARG SMR ESP MON CAN FRA GBR AUT GER HUN BEL ITA LUX JPN Points Source:[24],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,,,,,,,,,
Pos.,Driver,AUS,BRA,ARG,SMR,ESP,MON,CAN,FRA,GBR,AUT,GER,HUN,BEL,ITA,LUX,JPN,Points,
1,Mika Häkkinen,1PF,1PF,2,Ret,1PF,1PF,Ret,3P,2P,1,1P,6P,RetP,4F,1F,1,100,
2,Michael Schumacher,Ret,3,1,2F,3,10,1F,1,1F,3,5,1F,RetF,1P,2P,RetPF,86,
3,David Coulthard,2,2,6P,1P,2,Ret,RetP,6F,Ret,2F,2F,2,7,Ret,3,3,56,
4,Eddie Irvine,4,8,3,3,Ret,3,3,2,3,4,8,Ret,Ret,2,4,2,47,
5,Jacques Villeneuve,5,7,Ret,4,6,5,10,4,7,6,3,3,Ret,Ret,8,6,21,
6,Damon Hill,8,DSQ,8,10†,Ret,8,Ret,Ret,Ret,7,4,4,1,6,9,4,20,
7,Heinz-Harald Frentzen,3,5,9,5,8,Ret,Ret,15†,Ret,Ret,9,5,4,7,5,5,17,
8,Alexander Wurz,7,4,4F,Ret,4,Ret,4,5,4,9,11,16†,Ret,Ret,7,9,17,
