Round,Grand Prix,Pole position,Fastest lap,Winning driver,Constructor,Report
1,Australian Grand Prix,Mika Häkkinen,Michael Schumacher,Eddie Irvine,Ferrari,Report
2,Brazilian Grand Prix,Mika Häkkinen,Mika Häkkinen,Mika Häkkinen,McLaren-Mercedes,Report
3,San Marino Grand Prix,Mika Häkkinen,Michael Schumacher,Michael Schumacher,Ferrari,Report
4,Monaco Grand Prix,Mika Häkkinen,Mika Häkkinen,Michael Schumacher,Ferrari,Report
5,Spanish Grand Prix,Mika Häkkinen,Michael Schumacher,Mika Häkkinen,McLaren-Mercedes,Report
6,Canadian Grand Prix,Michael Schumacher,Eddie Irvine,Mika Häkkinen,McLaren-Mercedes,Report
7,French Grand Prix,Rubens Barrichello,David Coulthard,Heinz-Harald Frentzen,Jordan-Mugen-Honda,Report
8,British Grand Prix,Mika Häkkinen,Mika Häkkinen,David Coulthard,McLaren-Mercedes,Report
9,Austrian Grand Prix,Mika Häkkinen,Mika Häkkinen,Eddie Irvine,Ferrari,Report
10,German Grand Prix,Mika Häkkinen,David Coulthard,Eddie Irvine,Ferrari,Report
11,Hungarian Grand Prix,Mika Häkkinen,David Coulthard,Mika Häkkinen,McLaren-Mercedes,Report
12,Belgian Grand Prix,Mika Häkkinen,Mika Häkkinen,David Coulthard,McLaren-Mercedes,Report
13,Italian Grand Prix,Mika Häkkinen,Ralf Schumacher,Heinz-Harald Frentzen,Jordan-Mugen-Honda,Report
14,European Grand Prix,Heinz-Harald Frentzen,Mika Häkkinen,Johnny Herbert,Stewart-Ford,Report
15,Malaysian Grand Prix,Michael Schumacher,Michael Schumacher,Eddie Irvine,Ferrari,Report
16,Japanese Grand Prix,Michael Schumacher,Michael Schumacher,Mika Häkkinen,McLaren-Mercedes,Report
Source:[14],Source:[14],Source:[14],Source:[14],Source:[14],Source:[14],Source:[14]
