Entrant,Constructor,Chassis,Engine†,No.,Driver,Rounds,Unnamed: 7
West McLaren Mercedes,McLaren-Mercedes,MP4/15,Mercedes FO110J,1,Mika Häkkinen,All,
West McLaren Mercedes,McLaren-Mercedes,MP4/15,Mercedes FO110J,2,David Coulthard,All,
Scuderia Ferrari Marlboro,Ferrari,F1-2000,Ferrari Tipo 049,3,Michael Schumacher,All,
Scuderia Ferrari Marlboro,Ferrari,F1-2000,Ferrari Tipo 049,4,Rubens Barrichello,All,
Benson & Hedges Jordan,Jordan-Mugen-Honda,EJ10 EJ10B,Mugen-Honda MF-301 HE,5,Heinz-Harald Frentzen,All,
Benson & Hedges Jordan,Jordan-Mugen-Honda,EJ10 EJ10B,Mugen-Honda MF-301 HE,6,Jarno Trulli,All,
HSBC Jaguar Racing F1 Team,Jaguar-Cosworth,R1,Cosworth CR-2,7,Eddie Irvine[a],All,
HSBC Jaguar Racing F1 Team,Jaguar-Cosworth,R1,Cosworth CR-2,7,Luciano Burti,10,
HSBC Jaguar Racing F1 Team,Jaguar-Cosworth,R1,Cosworth CR-2,8,Johnny Herbert,All,
BMW WilliamsF1 Team,Williams-BMW,FW22,BMW E41/4,9,Ralf Schumacher,All,
BMW WilliamsF1 Team,Williams-BMW,FW22,BMW E41/4,10,Jenson Button,All,
Mild Seven Benetton Playlife,Benetton-Playlife,B200,Playlife FB02,11,Giancarlo Fisichella,All,
Mild Seven Benetton Playlife,Benetton-Playlife,B200,Playlife FB02,12,Alexander Wurz,All,
Gauloises Prost Peugeot,Prost-Peugeot,AP03,Peugeot A20,14,Jean Alesi,All,
Gauloises Prost Peugeot,Prost-Peugeot,AP03,Peugeot A20,15,Nick Heidfeld,All,
Red Bull Sauber Petronas,Sauber-Petronas,C19,Petronas SPE 04A,16,Pedro Diniz,All,
Red Bull Sauber Petronas,Sauber-Petronas,C19,Petronas SPE 04A,17,Mika Salo,All,
Arrows F1 Team,Arrows-Supertec,A21,Supertec FB02,18,Pedro de la Rosa,All,
Arrows F1 Team,Arrows-Supertec,A21,Supertec FB02,19,Jos Verstappen,All,
Telefónica Minardi Fondmetal,Minardi-Fondmetal,M02,Fondmetal RV10,20,Marc Gené,All,
Telefónica Minardi Fondmetal,Minardi-Fondmetal,M02,Fondmetal RV10,21,Gastón Mazzacane,All,
Lucky Strike Reynard BAR Honda,BAR-Honda,002,Honda RA000E,22,Jacques Villeneuve,All,
Lucky Strike Reynard BAR Honda,BAR-Honda,002,Honda RA000E,23,Ricardo Zonta,All,
Sources:[1][2][3],Sources:[1][2][3],Sources:[1][2][3],Sources:[1][2][3],Sources:[1][2][3],Sources:[1][2][3],Sources:[1][2][3],Sources:[1][2][3]
