Pos.,Constructor,No.,AUS,BRA,SMR,GBR,ESP,EUR,MON,CAN,FRA,AUT,GER,HUN,BEL,ITA,USA,JPN,MAL,Points
1,Ferrari,3,1,1F,1,3,5P,1F,RetP,1P,RetP,Ret,Ret,2P,2,1P,1P,1P,1P,170
1,Ferrari,4,2F,Ret,4,RetP,3,4,2,2,3,3,1F,4,RetF,Ret,2,4,3,170
2,McLaren-Mercedes,1,RetP,RetP,2PF,2F,1F,2,6F,4F,2,1P[b],2,1F,1P,2F,Ret,2F,4F,152[b]
2,McLaren-Mercedes,2,Ret,DSQ,3,1,2,3P,1,7,1F,2F,3P,3,4,Ret,5F,3,2,152[b]
3,Williams-BMW,9,3,5,Ret,4,4,Ret,Ret,14†,5,Ret,7,5,3,3,Ret,Ret,Ret,36
3,Williams-BMW,10,Ret,6,Ret,5,17†,10†,Ret,11,8,5,4,9,5,Ret,Ret,5,Ret,36
4,Benetton-Playlife,11,5,2,11,7,9,5,3,3,9,Ret,Ret,Ret,Ret,11,Ret,14,9,20
4,Benetton-Playlife,12,7,Ret,9,9,10,12†,Ret,9,Ret,10,Ret,11,13,5,10,Ret,7,20
5,BAR-Honda,22,4,Ret,5,16†,Ret,Ret,7,15†,4,4,8,12,7,Ret,4,6,5,20
5,BAR-Honda,23,6,9,12,Ret,8,Ret,Ret,8,Ret,Ret,Ret,14,12,6,6,9,Ret,20
6,Jordan-Mugen-Honda,5,Ret,3,Ret,17†,6,Ret,10†,Ret,7,Ret,Ret,6,6,Ret,3,Ret,Ret,17
6,Jordan-Mugen-Honda,6,Ret,4,15†,6,12,Ret,Ret,6,6,Ret,9,7,Ret,Ret,Ret,13,12,17
7,Arrows-Supertec,18,Ret,8,Ret,Ret,Ret,6,Ret,Ret,Ret,Ret,6,16,16,Ret,Ret,12,Ret,7
7,Arrows-Supertec,19,Ret,7,14,Ret,Ret,Ret,Ret,5,Ret,Ret,Ret,13,15,4,Ret,Ret,10,7
8,Sauber-Petronas,16,Ret,DNS,8,11,Ret,7,Ret,10,11,9,Ret,Ret,11,8,8,11,Ret,6
8,Sauber-Petronas,17,DSQ,DNS,6,8,7,Ret,5,Ret,10,6,5,10,9,7,Ret,10,8,6
9,Jaguar-Cosworth,7,Ret,Ret,7,13,11,Ret,4,13,13,11,10,8,10,Ret,7,8,6,4
9,Jaguar-Cosworth,8,Ret,Ret,10,12,13,11†,9,Ret,Ret,7,Ret,Ret,8,Ret,11,7,Ret,4
10,Minardi-Fondmetal,20,8,Ret,Ret,14,14,Ret,Ret,16†,15,8,Ret,15,14,9,12,Ret,Ret,0
10,Minardi-Fondmetal,21,Ret,10,13,15,15,8,Ret,12,Ret,12,11,Ret,17,10,Ret,15,13†,0
11,Prost-Peugeot,14,Ret,Ret,Ret,10,Ret,9,Ret,Ret,14,Ret,Ret,Ret,Ret,12,Ret,Ret,11,0
11,Prost-Peugeot,15,9,Ret,Ret,Ret,16,EX,8,Ret,12,Ret,12†,Ret,Ret,Ret,9,Ret,Ret,0
Pos.,Constructor,No.,AUS,BRA,SMR,GBR,ESP,EUR,MON,CAN,FRA,AUT,GER,HUN,BEL,ITA,USA,JPN,MAL,Points
Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18]
