Entrant,Constructor,Chassis,Engine†,Tyre,No.,Driver,Rounds
Scuderia Ferrari Marlboro,Ferrari,F2001,Ferrari Tipo 050,B,1,Michael Schumacher,All
Scuderia Ferrari Marlboro,Ferrari,F2001,Ferrari Tipo 050,B,2,Rubens Barrichello,All
West McLaren Mercedes,McLaren-Mercedes,MP4-16,Mercedes FO110K,B,3,Mika Häkkinen,All
West McLaren Mercedes,McLaren-Mercedes,MP4-16,Mercedes FO110K,B,4,David Coulthard,All
BMW WilliamsF1 Team,Williams-BMW,FW23,BMW P80,M,5,Ralf Schumacher,All
BMW WilliamsF1 Team,Williams-BMW,FW23,BMW P80,M,6,Juan Pablo Montoya,All
Mild Seven Benetton Renault,Benetton-Renault,B201,Renault RS21,M,7,Giancarlo Fisichella,All
Mild Seven Benetton Renault,Benetton-Renault,B201,Renault RS21,M,8,Jenson Button,All
Lucky Strike BAR Honda,BAR-Honda,003,Honda RA001E,B,9,Olivier Panis,All
Lucky Strike BAR Honda,BAR-Honda,003,Honda RA001E,B,10,Jacques Villeneuve,All
Benson & Hedges Jordan Honda,Jordan-Honda,EJ11,Honda RA001E,B,11,Heinz-Harald Frentzen[a],1–11
Benson & Hedges Jordan Honda,Jordan-Honda,EJ11,Honda RA001E,B,11,Ricardo Zonta,"8, 12"
Benson & Hedges Jordan Honda,Jordan-Honda,EJ11,Honda RA001E,B,11,Jarno Trulli,13–17
Benson & Hedges Jordan Honda,Jordan-Honda,EJ11,Honda RA001E,B,12,Jarno Trulli,1–12
Benson & Hedges Jordan Honda,Jordan-Honda,EJ11,Honda RA001E,B,12,Jean Alesi,13–17
Orange Arrows Asiatech,Arrows-Asiatech,A22,Asiatech 001,B,14,Jos Verstappen,All
Orange Arrows Asiatech,Arrows-Asiatech,A22,Asiatech 001,B,15,Enrique Bernoldi,All
Red Bull Sauber Petronas,Sauber-Petronas,C20,Petronas 01A,B,16,Nick Heidfeld,All
Red Bull Sauber Petronas,Sauber-Petronas,C20,Petronas 01A,B,17,Kimi Räikkönen,All
Jaguar Racing F1 Team,Jaguar-Cosworth,R2,Cosworth CR-3,M,18,Eddie Irvine,All
Jaguar Racing F1 Team,Jaguar-Cosworth,R2,Cosworth CR-3,M,19,Luciano Burti,1–4
Jaguar Racing F1 Team,Jaguar-Cosworth,R2,Cosworth CR-3,M,19,Pedro de la Rosa,5–17
European Minardi F1,Minardi-European,PS01 PS01B,European,M,20,Tarso Marques,1–14
European Minardi F1,Minardi-European,PS01 PS01B,European,M,20,Alex Yoong,15–17
European Minardi F1,Minardi-European,PS01 PS01B,European,M,21,Fernando Alonso,All
Prost Acer[3],Prost-Acer,AP04,Acer 01A,M,22,Jean Alesi,1–12
Prost Acer[3],Prost-Acer,AP04,Acer 01A,M,22,Heinz-Harald Frentzen,13–17
Prost Acer[3],Prost-Acer,AP04,Acer 01A,M,23,Gastón Mazzacane,1–4
Prost Acer[3],Prost-Acer,AP04,Acer 01A,M,23,Luciano Burti,5–14
Prost Acer[3],Prost-Acer,AP04,Acer 01A,M,23,Tomáš Enge,15–17
Source:[4],Source:[4],Source:[4],Source:[4],Source:[4],Source:[4],Source:[4],Source:[4]
