Entrant,Constructor,Chassis,Engine†,Tyre,No,Driver,Rounds,Unnamed: 8,Unnamed: 9
Scuderia Ferrari Marlboro,Ferrari,F2004,Ferrari Tipo 053,B,1,Michael Schumacher,All,,
Scuderia Ferrari Marlboro,Ferrari,F2004,Ferrari Tipo 053,B,2,Rubens Barrichello,All,,
BMW WilliamsF1 Team,Williams-BMW,FW26,BMW P84,M,3,Juan Pablo Montoya,All,,
BMW WilliamsF1 Team,Williams-BMW,FW26,BMW P84,M,4,Ralf Schumacher,"1–9, 16–18",,
BMW WilliamsF1 Team,Williams-BMW,FW26,BMW P84,M,4,Marc Gené,10–11,,
BMW WilliamsF1 Team,Williams-BMW,FW26,BMW P84,M,4,Antônio Pizzonia,12–15,,
West McLaren Mercedes,McLaren-Mercedes,MP4-19 MP4-19B,Mercedes FO 110Q,M,5,David Coulthard,All,,
West McLaren Mercedes,McLaren-Mercedes,MP4-19 MP4-19B,Mercedes FO 110Q,M,6,Kimi Räikkönen,All,,
Mild Seven Renault F1 Team,Renault,R24 R24B,Renault RS24,M,7,Jarno Trulli,1–15,,
Mild Seven Renault F1 Team,Renault,R24 R24B,Renault RS24,M,7,Jacques Villeneuve,16–18,,
Mild Seven Renault F1 Team,Renault,R24 R24B,Renault RS24,M,8,Fernando Alonso,All,,
Lucky Strike BAR Honda,BAR-Honda,006,Honda RA004E,M,9,Jenson Button,All,,
Lucky Strike BAR Honda,BAR-Honda,006,Honda RA004E,M,10,Takuma Sato,All,,
Sauber Petronas,Sauber-Petronas,C23,Petronas 04A,B,11,Giancarlo Fisichella,All,,
Sauber Petronas,Sauber-Petronas,C23,Petronas 04A,B,12,Felipe Massa,All,,
Jaguar Racing,Jaguar-Cosworth,R5 R5B,Cosworth CR-6,M,14,Mark Webber,All,,
Jaguar Racing,Jaguar-Cosworth,R5 R5B,Cosworth CR-6,M,15,Christian Klien,All,,
Panasonic Toyota Racing,Toyota,TF104 TF104B,Toyota RVX-04,M,16,Cristiano da Matta,1–12,,
Panasonic Toyota Racing,Toyota,TF104 TF104B,Toyota RVX-04,M,16,Ricardo Zonta,13–16,,
Panasonic Toyota Racing,Toyota,TF104 TF104B,Toyota RVX-04,M,16,Jarno Trulli,17–18,,
Panasonic Toyota Racing,Toyota,TF104 TF104B,Toyota RVX-04,M,17,Olivier Panis,1–17,,
Panasonic Toyota Racing,Toyota,TF104 TF104B,Toyota RVX-04,M,17,Ricardo Zonta,18,,
Jordan Ford,Jordan-Ford,EJ14,Ford RS2,B,18,Nick Heidfeld,All,,
Jordan Ford,Jordan-Ford,EJ14,Ford RS2,B,19,Giorgio Pantano[a],1–15,,
Jordan Ford,Jordan-Ford,EJ14,Ford RS2,B,19,Timo Glock,"8, 16–18",,
Minardi Cosworth[b],Minardi-Cosworth,PS04B,Cosworth CR-3L,B,20,Gianmaria Bruni,All,,
Minardi Cosworth[b],Minardi-Cosworth,PS04B,Cosworth CR-3L,B,21,Zsolt Baumgartner,All,,
Sources:[5][6],Sources:[5][6],Sources:[5][6],Sources:[5][6],Sources:[5][6],Sources:[5][6],Sources:[5][6],Sources:[5][6],Sources:[5][6],Sources:[5][6]
