Pos.,Constructor,No.,AUS,MAL,BHR,SMR,ESP,MON,EUR,CAN,USA‡,FRA,GBR,GER,HUN,TUR,ITA,BEL,BRA,JPN,CHN,Points
1,Renault,5,3F,1P,1P,1,2,4,1F,Ret,DNS,1P,2P,1,11,2,2,2,3P,3,1P,191
1,Renault,6,1P,Ret,Ret,Ret,5F,12,6,Ret,DNS,6,4,4,9,4,3,Ret,5,2,4,191
2,McLaren-Mercedes,9,8,9F,3,RetP,1P,1P,11†,1F,DNS,2F,3F,RetPF,1F,1P,4F,1,2F,1F,2F,182
2,McLaren-Mercedes,10,6,4,5F,3,7,5,7,DSQ,DNS,Ret,1,2,Ret,3F,1P,14P†,1,Ret,Ret,182
3,Ferrari,1,Ret,7,Ret,2F,Ret,7F,5,2,1F,3,6,5,2P,Ret,10,Ret,4,7,Ret,100
3,Ferrari,2,2,Ret,9,Ret,9,8,3,3,2,9,7,10,10,10,12,5,6,11,12,100
4,Toyota,16,9,2,2,5,3,10,8,Ret,DNSP,5,9,14†,4,6,5,Ret,13†,Ret,15,88
4,Toyota,17,12,5,4,9,4,6,Ret,6,DNS,7,8,6,3,12,6,7F,8,8P,3,88
5,Williams-BMW,7,5,Ret,6,7,6,3,Ret,5,DNS,12,11,NC,7,Ret,14,4,NC,4,7,66
5,Williams-BMW,8,Ret,3,Ret,6,10,2,2P,Ret,DNS,14,12,11,6,Ret,7,15†,Ret,Ret,13†,66
6,BAR-Honda,3,11†,Ret,Ret,DSQ,EX,EX,10,RetP,DNS,4,5,3,5,5,8,3,7,5,8,38
6,BAR-Honda,4,14†,Ret,Ret,DSQ,EX,EX,12,Ret,DNS,11,16,12,8,9,16,Ret,10,DSQ,Ret,38
7,Red Bull-Cosworth,14,4,6,8,11,8,Ret,4,7,DNS,10,13,7,Ret,7,15,Ret,Ret,6,9,34
7,Red Bull-Cosworth,15,7,8,DNS,8,Ret,Ret,9,8,DNS,Ret,15,9,Ret,8,13,9,9,9,5,34
8,Sauber-Petronas,11,13,Ret,11†,4,Ret,11,13,9,DNS,8,14,15,Ret,11,11,6,12,12,10,20
8,Sauber-Petronas,12,10,10,7,10,11†,9,14,4,DNS,Ret,10,8,14,Ret,9,10,11,10,6,20
9,Jordan-Toyota,18,16,12,10,13,12,13,15,10,3,13,17,17,13,15,17,8,Ret,13,11,12
9,Jordan-Toyota,19,15,11,Ret,12,13,Ret,16,Ret,4,15,Ret,16,12,14,20,11,15,15,Ret,12
10,Minardi-Cosworth,20,17,Ret,12,Ret,Ret,Ret,18,Ret,6,Ret,19,18,Ret,13,18,13,Ret,14,14†,7
10,Minardi-Cosworth,21,Ret,13,13,Ret,Ret,14,17,11,5,Ret,18,13,NC,Ret,19,12,14,16,16†,7
Pos.,Constructor,No.,AUS,MAL,BHR,SMR,ESP,MON,EUR,CAN,USA‡,FRA,GBR,GER,HUN,TUR,ITA,BEL,BRA,JPN,CHN,Points
Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17],Source:[18][17]
