Entrant,Constructor,Chassis,Engine,Tyre,No.,Race drivers,Rounds,Unnamed: 8,Unnamed: 9
Mild Seven Renault F1 Team,Renault,R26,Renault RS26 2.4 V8,M,1,Fernando Alonso,All,,
Mild Seven Renault F1 Team,Renault,R26,Renault RS26 2.4 V8,M,2,Giancarlo Fisichella,All,,
Team McLaren Mercedes,McLaren-Mercedes,MP4-21,Mercedes FO 108S 2.4 V8,M,3,Kimi Räikkönen,All,,
Team McLaren Mercedes,McLaren-Mercedes,MP4-21,Mercedes FO 108S 2.4 V8,M,4,Juan Pablo Montoya,1–10,,
Team McLaren Mercedes,McLaren-Mercedes,MP4-21,Mercedes FO 108S 2.4 V8,M,4,Pedro de la Rosa,11–18,,
Scuderia Ferrari Marlboro,Ferrari,248 F1,Ferrari 056 2.4 V8,B,5,Michael Schumacher,All,,
Scuderia Ferrari Marlboro,Ferrari,248 F1,Ferrari 056 2.4 V8,B,6,Felipe Massa,All,,
Panasonic Toyota Racing,Toyota,TF106 TF106B,Toyota RVX-06 2.4 V8,B,7,Ralf Schumacher,All,,
Panasonic Toyota Racing,Toyota,TF106 TF106B,Toyota RVX-06 2.4 V8,B,8,Jarno Trulli,All,,
Williams F1 Team,Williams-Cosworth,FW28,Cosworth CA2006 2.4 V8,B,9,Mark Webber,All,,
Williams F1 Team,Williams-Cosworth,FW28,Cosworth CA2006 2.4 V8,B,10,Nico Rosberg,All,,
Lucky Strike Honda Racing F1 Team,Honda,RA106,Honda RA806E 2.4 V8,M,11,Rubens Barrichello,All,,
Lucky Strike Honda Racing F1 Team,Honda,RA106,Honda RA806E 2.4 V8,M,12,Jenson Button,All,,
Red Bull Racing[a],Red Bull-Ferrari,RB2,Ferrari 056 2.4 V8,M,14,David Coulthard,All,,
Red Bull Racing[a],Red Bull-Ferrari,RB2,Ferrari 056 2.4 V8,M,15,Christian Klien,1–15,,
Red Bull Racing[a],Red Bull-Ferrari,RB2,Ferrari 056 2.4 V8,M,15,Robert Doornbos,16–18,,
BMW Sauber F1 Team,BMW Sauber,F1.06,BMW P86 2.4 V8,M,16,Nick Heidfeld,All,,
BMW Sauber F1 Team,BMW Sauber,F1.06,BMW P86 2.4 V8,M,17,Jacques Villeneuve,1–12,,
BMW Sauber F1 Team,BMW Sauber,F1.06,BMW P86 2.4 V8,M,17,Robert Kubica,13–18,,
MF1 Racing[b],MF1-Toyota,M16,Toyota RVX-06 2.4 V8,B,18,Tiago Monteiro,All,,
MF1 Racing[b],MF1-Toyota,M16,Toyota RVX-06 2.4 V8,B,19,Christijan Albers,All,,
Scuderia Toro Rosso,Toro Rosso-Cosworth,STR1,Cosworth TJ2005 3.0 V10,M,20,Vitantonio Liuzzi,All,,
Scuderia Toro Rosso,Toro Rosso-Cosworth,STR1,Cosworth TJ2005 3.0 V10,M,21,Scott Speed,All,,
Super Aguri F1 Team,Super Aguri-Honda,SA05 SA06,Honda RA806E 2.4 V8,B,22,Takuma Sato,All,,
Super Aguri F1 Team,Super Aguri-Honda,SA05 SA06,Honda RA806E 2.4 V8,B,23,Yuji Ide,1–4,,
Super Aguri F1 Team,Super Aguri-Honda,SA05 SA06,Honda RA806E 2.4 V8,B,23,Franck Montagny,5–11,,
Super Aguri F1 Team,Super Aguri-Honda,SA05 SA06,Honda RA806E 2.4 V8,B,23,Sakon Yamamoto,12–18,,
Sources:[7][8][9],Sources:[7][8][9],Sources:[7][8][9],Sources:[7][8][9],Sources:[7][8][9],Sources:[7][8][9],Sources:[7][8][9],Sources:[7][8][9],Sources:[7][8][9],Sources:[7][8][9]
