Entrant,Constructor,Chassis,Engine,No.,Race drivers,Rounds,Unnamed: 7,Unnamed: 8
Vodafone McLaren Mercedes,McLaren-Mercedes,MP4-22,Mercedes FO 108T,1,Fernando Alonso,All,,
Vodafone McLaren Mercedes,McLaren-Mercedes,MP4-22,Mercedes FO 108T,2,Lewis Hamilton,All,,
ING Renault F1 Team,Renault,R27,Renault RS27,3,Giancarlo Fisichella,All,,
ING Renault F1 Team,Renault,R27,Renault RS27,4,Heikki Kovalainen,All,,
Scuderia Ferrari Marlboro,Ferrari,F2007,Ferrari 056 2007,5,Felipe Massa,All,,
Scuderia Ferrari Marlboro,Ferrari,F2007,Ferrari 056 2007,6,Kimi Räikkönen,All,,
Honda Racing F1 Team,Honda,RA107,Honda RA807E,7,Jenson Button,All,,
Honda Racing F1 Team,Honda,RA107,Honda RA807E,8,Rubens Barrichello,All,,
BMW Sauber F1 Team,BMW Sauber,F1.07,BMW P86/7,9,Nick Heidfeld,All,,
BMW Sauber F1 Team,BMW Sauber,F1.07,BMW P86/7,10,Robert Kubica,"1–6, 8–17",,
BMW Sauber F1 Team,BMW Sauber,F1.07,BMW P86/7,10,Sebastian Vettel,7,,
Panasonic Toyota Racing,Toyota,TF107,Toyota RVX-07,11,Ralf Schumacher,All,,
Panasonic Toyota Racing,Toyota,TF107,Toyota RVX-07,12,Jarno Trulli,All,,
Red Bull Racing,Red Bull-Renault,RB3,Renault RS27,14,David Coulthard,All,,
Red Bull Racing,Red Bull-Renault,RB3,Renault RS27,15,Mark Webber,All,,
AT&T Williams,Williams-Toyota,FW29,Toyota RVX-07,16,Nico Rosberg,All,,
AT&T Williams,Williams-Toyota,FW29,Toyota RVX-07,17,Alexander Wurz,1–16,,
AT&T Williams,Williams-Toyota,FW29,Toyota RVX-07,17,Kazuki Nakajima,17,,
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR2,Ferrari 056 2006,18,Vitantonio Liuzzi,All,,
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR2,Ferrari 056 2006,19,Scott Speed,1–10,,
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR2,Ferrari 056 2006,19,Sebastian Vettel,11–17,,
Etihad Aldar Spyker F1 Team,Spyker-Ferrari,F8-VII F8-VIIB,Ferrari 056 2006,20,Adrian Sutil,All,,
Etihad Aldar Spyker F1 Team,Spyker-Ferrari,F8-VII F8-VIIB,Ferrari 056 2006,21,Christijan Albers,1–9,,
Etihad Aldar Spyker F1 Team,Spyker-Ferrari,F8-VII F8-VIIB,Ferrari 056 2006,21,Markus Winkelhock,10,,
Etihad Aldar Spyker F1 Team,Spyker-Ferrari,F8-VII F8-VIIB,Ferrari 056 2006,21,Sakon Yamamoto,11–17,,
Super Aguri F1 Team,Super Aguri-Honda,SA07,Honda RA807E,22,Takuma Sato,All,,
Super Aguri F1 Team,Super Aguri-Honda,SA07,Honda RA807E,23,Anthony Davidson,All,,
Source:[10][11][12],Source:[10][11][12],Source:[10][11][12],Source:[10][11][12],Source:[10][11][12],Source:[10][11][12],Source:[10][11][12],Source:[10][11][12],Source:[10][11][12]
