Entrant,Constructor,Chassis,Engine†,No.,Race drivers,Rounds
Scuderia Ferrari,Ferrari,F2008[5],Ferrari 056 2008,1,Kimi Räikkönen[6],All
Scuderia Ferrari,Ferrari,F2008[5],Ferrari 056 2008,2,Felipe Massa[7],All
BMW Sauber F1 Team,BMW Sauber,F1.08[8],BMW P86/8,3,Nick Heidfeld[9],All
BMW Sauber F1 Team,BMW Sauber,F1.08[8],BMW P86/8,4,Robert Kubica[9],All
ING Renault F1 Team,Renault,R28[10],Renault RS27,5,Fernando Alonso[11],All
ING Renault F1 Team,Renault,R28[10],Renault RS27,6,Nelson Piquet Jr.[11],All
AT&T Williams,Williams-Toyota,FW30[12],Toyota RVX-08[13],7,Nico Rosberg[14],All
AT&T Williams,Williams-Toyota,FW30[12],Toyota RVX-08[13],8,Kazuki Nakajima[14],All
Red Bull Racing,Red Bull-Renault,RB4[15],Renault RS27,9,David Coulthard[16],All
Red Bull Racing,Red Bull-Renault,RB4[15],Renault RS27,10,Mark Webber[17],All
Panasonic Toyota Racing,Toyota,TF108[18],Toyota RVX-08,11,Jarno Trulli[19],All
Panasonic Toyota Racing,Toyota,TF108[18],Toyota RVX-08,12,Timo Glock[20],All
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR2B[21] STR3[22],Ferrari 056 2007,14,Sébastien Bourdais[23],All
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR2B[21] STR3[22],Ferrari 056 2007,15,Sebastian Vettel[24],All
Honda Racing F1 Team,Honda,RA108[25],Honda RA808E,16,Jenson Button[26],All
Honda Racing F1 Team,Honda,RA108[25],Honda RA808E,17,Rubens Barrichello[27],All
Super Aguri F1 Team,Super Aguri-Honda,SA08[28],Honda RA808E,18,Takuma Sato[3],1–4[N 1]
Super Aguri F1 Team,Super Aguri-Honda,SA08[28],Honda RA808E,19,Anthony Davidson[3],1–4[N 1]
Force India F1 Team,Force India-Ferrari,VJM01[31],Ferrari 056 2007[32],20,Adrian Sutil[33],All
Force India F1 Team,Force India-Ferrari,VJM01[31],Ferrari 056 2007[32],21,Giancarlo Fisichella[33],All
Vodafone McLaren Mercedes,McLaren-Mercedes,MP4-23[34],Mercedes FO108V,22,Lewis Hamilton[35],All
Vodafone McLaren Mercedes,McLaren-Mercedes,MP4-23[34],Mercedes FO108V,23,Heikki Kovalainen[36],All
