0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Pos. Constructor No. AUS MAL BHR ESP TUR MON CAN FRA GBR GER HUN EUR BEL ITA SIN JPN CHN BRA Points 1  Ferrari 1 8† 1 2 1PF 3F 9F RetF 2PF 4F 6 3F Ret 18F† 9F 15F† 3 3 3 172 2 Ret RetP 1 2 1P 3P 5 1 13 3 17† 1PF 1 6 13P 7F 2 1PF 2  McLaren-Mercedes 22 1P 5 13 3 2 1 RetP 10 1 1P 5P 2 3P 7 3 12P 1PF 5 151 23 5F 3 5F Ret 12 8 9 4 5P 5 1 4 10 2 10 Ret Ret 7 3  BMW Sauber 3 2 6F 4 9 5 14 2 13 2 4F 10 9 2 5 6 9 5 10 135 4 Ret 2 3P 4 4 2 1 5 Ret 7 8 3 6 3 11 2 6 11 4  Renault 5 4 8 10 Ret 6 10 Ret 8 6 11 4 Ret 4 4 1 1 4 2 80 6 Ret 11 Ret Ret 15 Ret Ret 7 Ret 2 6 11 Ret 10 Ret 4 8 Ret 5  Toyota 11 Ret 4 6 8 10 13 6 3 7 9 7 5 16 13 Ret 5 Ret 8 56 12 Ret Ret 9 11 13 12 4 11 12 Ret 2 7 9 11 4 Ret 7 6 6  Toro Rosso-Ferrari 14 7† Ret 15 Ret Ret Ret 13 17 11 12 18 10 7 18 12 10 13 14 39 15 Ret Ret Ret Ret 17 5 8 12 Ret 8 Ret 6 5 1P 5 6 9 4 7  Red Bull-Renault 9 Ret 9 18 12 9 Ret 3 9 Ret 13 11 17 11 16 7 Ret 10 Ret 29 10 Ret 7 7 5 7 4 12 6 10 Ret 9 12 8 8 Ret 8 14 9 8  Williams-Toyota 7 3 14 8 Ret 8 Ret 10 16 9 10 14 8 12 14 2 11 15 12 26 8 6 17 14 7 Ret 7 Ret 15 8 14 13 15 14 12 8 15 12 17 9  Honda 16 Ret 10 Ret 6 11 11 11 Ret Ret 17 12 13 15 15 9 14 16 13 14 17 DSQ 13 11 Ret 14 6 7 14 3 Ret 16 16 Ret 17 Ret 13 11 15 10  Force India-Ferrari 20 Ret Ret 19 Ret 16 Ret Ret 19 Ret 15 Ret Ret 13 19 Ret Ret Ret 16 0 21 Ret 12 12 10 Ret Ret Ret 18 Ret 16 15 14 17 Ret 14 Ret 17 18 11  Super Aguri-Honda[N 1] 18 Ret 16 17 13 0 19 Ret 15 16 Ret Pos. Constructor No. AUS MAL BHR ESP TUR MON CAN FRA GBR GER HUN EUR BEL ITA SIN JPN CHN BRA Points Source:[79],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,,,,,,,,,,,
Pos.,Constructor,No.,AUS,MAL,BHR,ESP,TUR,MON,CAN,FRA,GBR,GER,HUN,EUR,BEL,ITA,SIN,JPN,CHN,BRA,Points
1,Ferrari,1,8†,1,2,1PF,3F,9F,RetF,2PF,4F,6,3F,Ret,18F†,9F,15F†,3,3,3,172
1,Ferrari,2,Ret,RetP,1,2,1P,3P,5,1,13,3,17†,1PF,1,6,13P,7F,2,1PF,172
2,McLaren-Mercedes,22,1P,5,13,3,2,1,RetP,10,1,1P,5P,2,3P,7,3,12P,1PF,5,151
2,McLaren-Mercedes,23,5F,3,5F,Ret,12,8,9,4,5P,5,1,4,10,2,10,Ret,Ret,7,151
3,BMW Sauber,3,2,6F,4,9,5,14,2,13,2,4F,10,9,2,5,6,9,5,10,135
3,BMW Sauber,4,Ret,2,3P,4,4,2,1,5,Ret,7,8,3,6,3,11,2,6,11,135
4,Renault,5,4,8,10,Ret,6,10,Ret,8,6,11,4,Ret,4,4,1,1,4,2,80
4,Renault,6,Ret,11,Ret,Ret,15,Ret,Ret,7,Ret,2,6,11,Ret,10,Ret,4,8,Ret,80
5,Toyota,11,Ret,4,6,8,10,13,6,3,7,9,7,5,16,13,Ret,5,Ret,8,56
5,Toyota,12,Ret,Ret,9,11,13,12,4,11,12,Ret,2,7,9,11,4,Ret,7,6,56
6,Toro Rosso-Ferrari,14,7†,Ret,15,Ret,Ret,Ret,13,17,11,12,18,10,7,18,12,10,13,14,39
6,Toro Rosso-Ferrari,15,Ret,Ret,Ret,Ret,17,5,8,12,Ret,8,Ret,6,5,1P,5,6,9,4,39
7,Red Bull-Renault,9,Ret,9,18,12,9,Ret,3,9,Ret,13,11,17,11,16,7,Ret,10,Ret,29
7,Red Bull-Renault,10,Ret,7,7,5,7,4,12,6,10,Ret,9,12,8,8,Ret,8,14,9,29
8,Williams-Toyota,7,3,14,8,Ret,8,Ret,10,16,9,10,14,8,12,14,2,11,15,12,26
8,Williams-Toyota,8,6,17,14,7,Ret,7,Ret,15,8,14,13,15,14,12,8,15,12,17,26
9,Honda,16,Ret,10,Ret,6,11,11,11,Ret,Ret,17,12,13,15,15,9,14,16,13,14
9,Honda,17,DSQ,13,11,Ret,14,6,7,14,3,Ret,16,16,Ret,17,Ret,13,11,15,14
10,Force India-Ferrari,20,Ret,Ret,19,Ret,16,Ret,Ret,19,Ret,15,Ret,Ret,13,19,Ret,Ret,Ret,16,0
10,Force India-Ferrari,21,Ret,12,12,10,Ret,Ret,Ret,18,Ret,16,15,14,17,Ret,14,Ret,17,18,0
11,Super Aguri-Honda[N 1],18,Ret,16,17,13,,,,,,,,,,,,,,,0
11,Super Aguri-Honda[N 1],19,Ret,15,16,Ret,,,,,,,,,,,,,,,0
Pos.,Constructor,No.,AUS,MAL,BHR,ESP,TUR,MON,CAN,FRA,GBR,GER,HUN,EUR,BEL,ITA,SIN,JPN,CHN,BRA,Points
