Entrant,Constructor,Chassis,Engine,No.,Race Drivers,Rounds
Vodafone McLaren Mercedes,McLaren-Mercedes,MP4-24,Mercedes FO 108W,1,Lewis Hamilton[7],All
Vodafone McLaren Mercedes,McLaren-Mercedes,MP4-24,Mercedes FO 108W,2,Heikki Kovalainen[8],All
Scuderia Ferrari Marlboro,Ferrari,F60,Ferrari 056,3,Felipe Massa[9],1–10
Scuderia Ferrari Marlboro,Ferrari,F60,Ferrari 056,3,Luca Badoer[10],11–12
Scuderia Ferrari Marlboro,Ferrari,F60,Ferrari 056,3,Giancarlo Fisichella[11],13–17
Scuderia Ferrari Marlboro,Ferrari,F60,Ferrari 056,4,Kimi Räikkönen[12],All
BMW Sauber F1 Team,BMW-Sauber,F1.09,BMW P86/9,5,Robert Kubica[13],All
BMW Sauber F1 Team,BMW-Sauber,F1.09,BMW P86/9,6,Nick Heidfeld[13],All
Renault F1 Team[a],Renault,R29,Renault RS27,7,Fernando Alonso[6],All
Renault F1 Team[a],Renault,R29,Renault RS27,8,Nelson Piquet Jr.[6],1–10
Renault F1 Team[a],Renault,R29,Renault RS27,8,Romain Grosjean[15],11–17
Panasonic Toyota Racing,Toyota,TF109,Toyota RVX-09,9,Jarno Trulli[16],All
Panasonic Toyota Racing,Toyota,TF109,Toyota RVX-09,10,Timo Glock[17],1–15
Panasonic Toyota Racing,Toyota,TF109,Toyota RVX-09,10,Kamui Kobayashi[18],16–17
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR4,Ferrari 056,11,Sébastien Bourdais[19],1–9
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR4,Ferrari 056,11,Jaime Alguersuari[20],10–17
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR4,Ferrari 056,12,Sébastien Buemi[21],All
Red Bull Racing,Red Bull-Renault,RB5,Renault RS27,14,Mark Webber[22],All
Red Bull Racing,Red Bull-Renault,RB5,Renault RS27,15,Sebastian Vettel[23],All
AT&T Williams Racing,Williams-Toyota,FW31,Toyota RVX-09,16,Nico Rosberg[24],All
AT&T Williams Racing,Williams-Toyota,FW31,Toyota RVX-09,17,Kazuki Nakajima[24],All
Force India F1 Team,Force India-Mercedes,VJM02,Mercedes FO 108W,20,Adrian Sutil[6],All
Force India F1 Team,Force India-Mercedes,VJM02,Mercedes FO 108W,21,Giancarlo Fisichella[6],1–12
Force India F1 Team,Force India-Mercedes,VJM02,Mercedes FO 108W,21,Vitantonio Liuzzi[25],13–17
Brawn GP Formula 1 Team,Brawn-Mercedes,BGP 001,Mercedes FO 108W,22,Jenson Button[6],All
Brawn GP Formula 1 Team,Brawn-Mercedes,BGP 001,Mercedes FO 108W,23,Rubens Barrichello[6],All
