0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Pos. Constructor No. AUS MAL‡ CHN BHR ESP MON TUR GBR GER HUN EUR BEL ITA SIN JPN BRA ABU Points 1  Brawn-Mercedes 22 1P 1PF 3 1 1P 1P 1F 6 5 7 7 Ret 2 5 8 5 3 172 23 2 5 4F 5 2F 2 Ret 3 6 10 1 7 1 6 7 8P 4 2  Red Bull-Renault 14 12 6 2 11 3 5 2 2 1P 3F 9 9 Ret Ret 17F 1F 2 153.5 15 13† 15† 1P 2 4 Ret 3P 1PF 2 Ret Ret 3F 8 4 1P 4 1F 3  McLaren-Mercedes 1 DSQ 7 6 4 9 12 13 16 18 1 2P Ret 12P† 1P 3 3 RetP 71 2 Ret Ret 5 12 Ret Ret 14 Ret 8 5 4 6 6 7 11 12 11 4  Ferrari 3 Ret 9 Ret 14 6 4F 6 4 3 DNS 17 14 9 13 12 10 16 70 4 15† 14 10 6 Ret 3 9 8 Ret 2 3 1 3 10 4 6 12 5  Toyota 9 3 4 Ret 3PF Ret 13 4 7 17 8 13 Ret 14 12 2 Ret 7 59.5 10 4 3 7 7 10 10 8 9 9 6 14F 10 11 2 DNS 9 6 6  BMW Sauber 5 14† Ret 13 18 11 Ret 7 13 14 13 8 4 Ret 8 9 2 10 36 6 10 2 12 19 7 11 11 15 10 11 11 5 7 Ret 6 Ret 5 7  Williams-Toyota 16 6F 8 15 9 8 6 5 5 4 4 5 8 16 11 5 Ret 9 34.5 17 Ret 12 Ret Ret 13 15† 12 11 12 9 18 13 10 9 15 Ret 13 8  Renault 7 5 11 9 8 5 7 10 14 7F RetP 6 Ret 5 3F 10 Ret 14 26 8 Ret 13 16 10 12 Ret 16 12 13 12 15 Ret 15 Ret 16 13 18 9  Force India-Mercedes 20 9 17 17† 16 Ret 14 17 17 15 Ret 10 11 4F Ret 13 Ret 17 13 21 11 18† 14 15 14 9 Ret 10 11 14 12 2P Ret 14 14 11 15 10  Toro Rosso-Ferrari 11 8 10 11 13 Ret 8 18 Ret Ret 15 16 Ret Ret Ret Ret 14 Ret 8 12 7 16† 8 17 Ret Ret 15 18 16 16 Ret 12 13† Ret Ret 7 8 Pos. Constructor No. AUS MAL‡ CHN BHR ESP MON TUR GBR GER HUN EUR BEL ITA SIN JPN BRA ABU Points Source:[98],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,,,,,,,,,,
Pos.,Constructor,No.,AUS,MAL‡,CHN,BHR,ESP,MON,TUR,GBR,GER,HUN,EUR,BEL,ITA,SIN,JPN,BRA,ABU,Points
1,Brawn-Mercedes,22,1P,1PF,3,1,1P,1P,1F,6,5,7,7,Ret,2,5,8,5,3,172
1,Brawn-Mercedes,23,2,5,4F,5,2F,2,Ret,3,6,10,1,7,1,6,7,8P,4,172
2,Red Bull-Renault,14,12,6,2,11,3,5,2,2,1P,3F,9,9,Ret,Ret,17F,1F,2,153.5
2,Red Bull-Renault,15,13†,15†,1P,2,4,Ret,3P,1PF,2,Ret,Ret,3F,8,4,1P,4,1F,153.5
3,McLaren-Mercedes,1,DSQ,7,6,4,9,12,13,16,18,1,2P,Ret,12P†,1P,3,3,RetP,71
3,McLaren-Mercedes,2,Ret,Ret,5,12,Ret,Ret,14,Ret,8,5,4,6,6,7,11,12,11,71
4,Ferrari,3,Ret,9,Ret,14,6,4F,6,4,3,DNS,17,14,9,13,12,10,16,70
4,Ferrari,4,15†,14,10,6,Ret,3,9,8,Ret,2,3,1,3,10,4,6,12,70
