Pos.,Driver,AUS,MAL‡,CHN,BHR,ESP,MON,TUR,GBR,GER,HUN,EUR,BEL,ITA,SIN,JPN,BRA,ABU,Points
1,Jenson Button,1P,1PF,3,1,1P,1P,1F,6,5,7,7,Ret,2,5,8,5,3,95
2,Sebastian Vettel,13†,15†,1P,2,4,Ret,3P,1PF,2,Ret,Ret,3F,8,4,1P,4,1F,84
3,Rubens Barrichello,2,5,4F,5,2F,2,Ret,3,6,10,1,7,1,6,7,8P,4,77
4,Mark Webber,12,6,2,11,3,5,2,2,1P,3F,9,9,Ret,Ret,17F,1F,2,69.5
5,Lewis Hamilton,DSQ,7,6,4,9,12,13,16,18,1,2P,Ret,12P†,1P,3,3,RetP,49
6,Kimi Räikkönen,15†,14,10,6,Ret,3,9,8,Ret,2,3,1,3,10,4,6,12,48
7,Nico Rosberg,6F,8,15,9,8,6,5,5,4,4,5,8,16,11,5,Ret,9,34.5
8,Jarno Trulli,3,4,Ret,3PF,Ret,13,4,7,17,8,13,Ret,14,12,2,Ret,7,32.5
9,Fernando Alonso,5,11,9,8,5,7,10,14,7F,RetP,6,Ret,5,3F,10,Ret,14,26
10,Timo Glock,4,3,7,7,10,10,8,9,9,6,14F,10,11,2,DNS,,,24
11,Felipe Massa,Ret,9,Ret,14,6,4F,6,4,3,DNS,,,,,,,,22
12,Heikki Kovalainen,Ret,Ret,5,12,Ret,Ret,14,Ret,8,5,4,6,6,7,11,12,11,22
13,Nick Heidfeld,10,2,12,19,7,11,11,15,10,11,11,5,7,Ret,6,Ret,5,19
14,Robert Kubica,14†,Ret,13,18,11,Ret,7,13,14,13,8,4,Ret,8,9,2,10,17
15,Giancarlo Fisichella,11,18†,14,15,14,9,Ret,10,11,14,12,2P,9,13,12,10,16,8
16,Sébastien Buemi,7,16†,8,17,Ret,Ret,15,18,16,16,Ret,12,13†,Ret,Ret,7,8,6
17,Adrian Sutil,9,17,17†,16,Ret,14,17,17,15,Ret,10,11,4F,Ret,13,Ret,17,5
18,Kamui Kobayashi,,,,,,,,,,,,,,,,9,6,3
19,Sébastien Bourdais,8,10,11,13,Ret,8,18,Ret,Ret,,,,,,,,,2
20,Kazuki Nakajima,Ret,12,Ret,Ret,13,15†,12,11,12,9,18†,13,10,9,15,Ret,13,0
21,Nelson Piquet Jr.,Ret,13,16,10,12,Ret,16,12,13,12,,,,,,,,0
22,Vitantonio Liuzzi,,,,,,,,,,,,,Ret,14,14,11,15,0
23,Romain Grosjean,,,,,,,,,,,15,Ret,15,Ret,16,13,18,0
24,Jaime Alguersuari,,,,,,,,,,15,16,Ret,Ret,Ret,Ret,14,Ret,0
25,Luca Badoer,,,,,,,,,,,17,14,,,,,,0
Pos.,Driver,AUS,MAL‡,CHN,BHR,ESP,MON,TUR,GBR,GER,HUN,EUR,BEL,ITA,SIN,JPN,BRA,ABU,Points
Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98]
