Championship leader table[336],Championship leader table[336],Championship leader table[336]
Grand Prix,Championship leader,Lead
Australia,Jenson Button,7
Malaysia,Fernando Alonso,5
China,Lewis Hamilton,2
Bahrain,Sebastian Vettel,4
Spain,Sebastian Vettel,0
Monaco,Fernando Alonso,3
Canada,Lewis Hamilton,2
Europe,Fernando Alonso,20
Great Britain,Fernando Alonso,13
Germany,Fernando Alonso,34
Hungary,Fernando Alonso,40
Belgium,Fernando Alonso,24
Italy,Fernando Alonso,37
Singapore,Fernando Alonso,29
Japan,Fernando Alonso,4
Korea,Sebastian Vettel,6
India,Sebastian Vettel,13
Abu Dhabi,Sebastian Vettel,10
United States,Sebastian Vettel,13
Brazil,Sebastian Vettel,3
