Entrant,Constructor,Chassis,Engine,No.,Race drivers,Rounds
Infiniti Red Bull Racing Renault,Red Bull Racing-Renault,RB9,Renault RS27-2013,1,Sebastian Vettel[13],All
Infiniti Red Bull Racing Renault,Red Bull Racing-Renault,RB9,Renault RS27-2013,2,Mark Webber[14],All
Scuderia Ferrari,Ferrari,F138,Ferrari Type 056,3,Fernando Alonso[15],All
Scuderia Ferrari,Ferrari,F138,Ferrari Type 056,4,Felipe Massa[16],All
Vodafone McLaren Mercedes,McLaren-Mercedes,MP4-28,Mercedes FO 108F,5,Jenson Button[17],All
Vodafone McLaren Mercedes,McLaren-Mercedes,MP4-28,Mercedes FO 108F,6,Sergio Pérez[18],All
Lotus F1 Team,Lotus-Renault,E21,Renault RS27-2013,7,Kimi Räikkönen[19],1–17
Lotus F1 Team,Lotus-Renault,E21,Renault RS27-2013,7,Heikki Kovalainen[20],18–19
Lotus F1 Team,Lotus-Renault,E21,Renault RS27-2013,8,Romain Grosjean[21],All
Mercedes AMG Petronas F1 Team,Mercedes,F1 W04,Mercedes FO 108F[22],9,Nico Rosberg[23],All
Mercedes AMG Petronas F1 Team,Mercedes,F1 W04,Mercedes FO 108F[22],10,Lewis Hamilton[24],All
Sauber F1 Team,Sauber-Ferrari,C32,Ferrari Type 056,11,Nico Hülkenberg[25],All
Sauber F1 Team,Sauber-Ferrari,C32,Ferrari Type 056,12,Esteban Gutiérrez[26],All
Sahara Force India F1 Team,Force India-Mercedes,VJM06,Mercedes FO 108F,14,Paul di Resta[27],All
Sahara Force India F1 Team,Force India-Mercedes,VJM06,Mercedes FO 108F,15,Adrian Sutil[28],All
Williams F1 Team,Williams-Renault,FW35,Renault RS27-2013,16,Pastor Maldonado[29],All
Williams F1 Team,Williams-Renault,FW35,Renault RS27-2013,17,Valtteri Bottas[29],All
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR8,Ferrari Type 056,18,Jean-Éric Vergne[30],All
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR8,Ferrari Type 056,19,Daniel Ricciardo[30],All
Caterham F1 Team,Caterham-Renault,CT03,Renault RS27-2013,20,Charles Pic[31],All
Caterham F1 Team,Caterham-Renault,CT03,Renault RS27-2013,21,Giedo van der Garde[32],All
Marussia F1 Team,Marussia-Cosworth,MR02,Cosworth CA2013,22,Jules Bianchi[33],All
Marussia F1 Team,Marussia-Cosworth,MR02,Cosworth CA2013,23,Max Chilton[34],All
