Round,Grand Prix,Circuit,Date,Unnamed: 4,Unnamed: 5,Unnamed: 6
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",17 March,,,
2,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",24 March,,,
3,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",14 April,,,
4,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",21 April,,,
5,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",12 May,,,
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",26 May,,,
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",9 June,,,
8,British Grand Prix,"Silverstone Circuit, Silverstone",30 June,,,
9,German Grand Prix,"Nürburgring, Nürburg",7 July,,,
10,Hungarian Grand Prix,"Hungaroring, Mogyoród",28 July,,,
11,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",25 August,,,
12,Italian Grand Prix,"Autodromo Nazionale Monza, Monza",8 September,,,
13,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",22 September,,,
14,Korean Grand Prix,"Korea International Circuit, Yeongam",6 October,,,
15,Japanese Grand Prix,"Suzuka Circuit, Suzuka",13 October,,,
16,Indian Grand Prix,"Buddh International Circuit, Greater Noida",27 October,,,
17,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",3 November,,,
18,United States Grand Prix,"Circuit of the Americas, Austin, Texas",17 November,,,
19,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",24 November,,,
Sources:[85][86][87],Sources:[85][86][87],Sources:[85][86][87],Sources:[85][86][87],Sources:[85][86][87],Sources:[85][86][87],Sources:[85][86][87]
