Entrant,Constructor,Chassis,Power unit,No.,Race drivers,Rounds,Unnamed: 7,Unnamed: 8,Unnamed: 9
Caterham F1 Team,Caterham-Renault,CT05[5],Renault Energy F1-2014[6][7],9 46 10 45,Marcus Ericsson[8]  Will Stevens[9]  Kamui Kobayashi[8][10]  André Lotterer[11][12],"1–16 19 1–11, 13–16, 19 12",,,
Scuderia Ferrari,Ferrari,F14 T[13],Ferrari 059/3[14],7 14,Kimi Räikkönen[15]  Fernando Alonso[16],All All,,,
Sahara Force India F1 Team,Force India-Mercedes,VJM07[17],Mercedes PU106A Hybrid[18][19],11 27,Sergio Pérez[20]  Nico Hülkenberg[21],All All,,,
Lotus F1 Team,Lotus-Renault,E22[22],Renault Energy F1-2014[7][23],8 13,Romain Grosjean[24]  Pastor Maldonado[24],All All,,,
Marussia F1 Team,Marussia-Ferrari,MR03[25],Ferrari 059/3[14][26],4 42 17 42,Max Chilton[27]  Alexander Rossi[28]  Jules Bianchi[29]  Alexander Rossi[30],1–16 12[a] 1–15 16[b],,,
McLaren Mercedes[31],McLaren-Mercedes,MP4-29[32],Mercedes PU106A Hybrid[19][33],20 22,Kevin Magnussen[34]  Jenson Button[35],All All,,,
Mercedes AMG Petronas F1 Team,Mercedes,F1 W05 Hybrid[36],Mercedes PU106A Hybrid[19],6 44,Nico Rosberg[37]  Lewis Hamilton[38],All All,,,
Infiniti Red Bull Racing Renault,Red Bull-Renault,RB10[39],Renault Energy F1-2014[7][40],1 3,Sebastian Vettel[41]  Daniel Ricciardo[42],All All,,,
Sauber F1 Team,Sauber-Ferrari,C33[43],Ferrari 059/3[14][44],21 99,Esteban Gutiérrez[45]  Adrian Sutil[46],All All,,,
Scuderia Toro Rosso,Toro Rosso-Renault,STR9[47],Renault Energy F1-2014[7][40],25 26,Jean-Éric Vergne[48]  Daniil Kvyat[48],All All,,,
Williams Martini Racing[49],Williams-Mercedes,FW36[50],Mercedes PU106A Hybrid[19][51],19 77,Felipe Massa[52]  Valtteri Bottas[52],All All,,,
Sources:[53][54][55],Sources:[53][54][55],Sources:[53][54][55],Sources:[53][54][55],Sources:[53][54][55],Sources:[53][54][55],Sources:[53][54][55],Sources:[53][54][55],Sources:[53][54][55],Sources:[53][54][55]
