Entrant,Constructor,Chassis,Power unit,No.,Race drivers,Rounds,Unnamed: 7
Scuderia Ferrari,Ferrari,SF15-T,Ferrari 060[5],5 7,Sebastian Vettel  Kimi Räikkönen,All All,
Sahara Force India F1 Team,Force India-Mercedes,VJM08 VJM08B[6],Mercedes PU106B Hybrid,11 27,Sergio Pérez  Nico Hülkenberg,All All,
Lotus F1 Team,Lotus-Mercedes,E23 Hybrid,Mercedes PU106B Hybrid,8 13,Romain Grosjean  Pastor Maldonado,All All,
Manor Marussia F1 Team,Marussia-Ferrari,MR03B[7][8],Ferrari 059/3[9][10],28 98 53,Will Stevens  Roberto Merhi  Alexander Rossi,"All[a] 1[a]–12, 15, 19 13–14, 16–18",
McLaren Honda,McLaren-Honda,MP4-30,Honda RA615H,20 14 22,Kevin Magnussen  Fernando Alonso  Jenson Button,1 2–19 All,
Mercedes AMG Petronas F1 Team,Mercedes,F1 W06 Hybrid,Mercedes PU106B Hybrid,6 44,Nico Rosberg  Lewis Hamilton,All All,
Infiniti Red Bull Racing Renault,Red Bull-Renault,RB11,Renault Energy F1-2015,3 26,Daniel Ricciardo  Daniil Kvyat,All All,
Sauber F1 Team,Sauber-Ferrari,C34,Ferrari 060[5],9 12,Marcus Ericsson  Felipe Nasr,All All,
Scuderia Toro Rosso,Toro Rosso-Renault,STR10,Renault Energy F1-2015,33 55,Max Verstappen  Carlos Sainz Jr.,All All,
Williams Martini Racing,Williams-Mercedes,FW37,Mercedes PU106B Hybrid,19 77,Felipe Massa  Valtteri Bottas,All All,
Sources:[3][11][12][13][14][15],Sources:[3][11][12][13][14][15],Sources:[3][11][12][13][14][15],Sources:[3][11][12][13][14][15],Sources:[3][11][12][13][14][15],Sources:[3][11][12][13][14][15],Sources:[3][11][12][13][14][15],Sources:[3][11][12][13][14][15]
