Round,Grand Prix,Circuit,Date,Unnamed: 4
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",15 March,
2,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",29 March,
3,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",12 April,
4,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",19 April,
5,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",10 May,
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",24 May,
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",7 June,
8,Austrian Grand Prix,"Red Bull Ring, Spielberg",21 June,
9,British Grand Prix,"Silverstone Circuit, Silverstone",5 July,
10,Hungarian Grand Prix,"Hungaroring, Mogyoród",26 July,
11,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",23 August,
12,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",6 September,
13,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",20 September,
14,Japanese Grand Prix,"Suzuka Circuit, Suzuka",27 September,
15,Russian Grand Prix,"Sochi Autodrom, Sochi",11 October,
16,United States Grand Prix,"Circuit of the Americas, Austin, Texas",25 October,
17,Mexican Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",1 November,
18,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",15 November,
19,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",29 November,
Sources:[43][44],Sources:[43][44],Sources:[43][44],Sources:[43][44],Sources:[43][44]
