Round,Grand Prix,Circuit,Date,Unnamed: 4
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",20 March,
2,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",3 April,
3,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",17 April,
4,Russian Grand Prix,"Sochi Autodrom, Sochi",1 May,
5,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",15 May,
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",29 May,
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",12 June,
8,European Grand Prix,"Baku City Circuit, Baku",19 June,
9,Austrian Grand Prix,"Red Bull Ring, Spielberg",3 July,
10,British Grand Prix,"Silverstone Circuit, Silverstone",10 July,
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",24 July,
12,German Grand Prix,"Hockenheimring, Hockenheim",31 July,
13,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",28 August,
14,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",4 September,
15,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",18 September,
16,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",2 October,
17,Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",9 October,
18,United States Grand Prix,"Circuit of the Americas, Austin, Texas",23 October,
19,Mexican Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",30 October,
20,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",13 November,
21,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",27 November,
Source:[1],Source:[1],Source:[1],Source:[1],Source:[1]
