Entrant,Constructor,Chassis,Power unit,Race drivers,Race drivers,Race drivers
Entrant,Constructor,Chassis,Power unit,No.,Driver name,Rounds
Alfa Romeo Racing,Alfa Romeo Racing-Ferrari,C38,Ferrari 064,7 99,Kimi Räikkönen  Antonio Giovinazzi,All All
Scuderia Ferrari[a],Ferrari,SF90,Ferrari 064,5 16,Sebastian Vettel  Charles Leclerc,All All
Haas F1 Team[b],Haas-Ferrari,VF-19,Ferrari 064,8 20,Romain Grosjean  Kevin Magnussen,All All
McLaren F1 Team,McLaren-Renault,MCL34,Renault E-Tech 19,4 55,Lando Norris  Carlos Sainz Jr.,All All
Mercedes AMG Petronas Motorsport,Mercedes,F1 W10 EQ Power+,Mercedes M10 EQ Power+,44 77,Lewis Hamilton  Valtteri Bottas,All All
SportPesa Racing Point F1 Team,Racing Point-BWT Mercedes,RP19,BWT Mercedes[c],11 18,Sergio Pérez  Lance Stroll,All All
Aston Martin Red Bull Racing,Red Bull Racing-Honda,RB15,Honda RA619H,10 23 33,Pierre Gasly  Alexander Albon  Max Verstappen,1–12 13–21 All
Renault F1 Team,Renault,R.S.19,Renault E-Tech 19,3 27,Daniel Ricciardo  Nico Hülkenberg,All All
Red Bull Toro Rosso Honda,Scuderia Toro Rosso-Honda,STR14,Honda RA619H,23 10 26,Alexander Albon  Pierre Gasly  Daniil Kvyat,1–12 13–21 All
ROKiT Williams Racing,Williams-Mercedes,FW42,Mercedes M10 EQ Power+,63 88,George Russell  Robert Kubica,All All
Sources:[7][5][8][9][10][11][12][13][14][15],Sources:[7][5][8][9][10][11][12][13][14][15],Sources:[7][5][8][9][10][11][12][13][14][15],Sources:[7][5][8][9][10][11][12][13][14][15],Sources:[7][5][8][9][10][11][12][13][14][15],Sources:[7][5][8][9][10][11][12][13][14][15],Sources:[7][5][8][9][10][11][12][13][14][15]
