Entrant,Constructor,Chassis,Power unit,Race drivers,Race drivers,Race drivers,Unnamed: 7_level_0,Unnamed: 8_level_0
Entrant,Constructor,Chassis,Power unit,No.,Driver name,Rounds,Unnamed: 7_level_1,Unnamed: 8_level_1
Alfa Romeo Racing Orlen[7],Alfa Romeo Racing-Ferrari,C39[7],Ferrari 065,7 99,Kimi Räikkönen  Antonio Giovinazzi,All All,,
Scuderia AlphaTauri Honda,AlphaTauri-Honda,AT01[8],Honda RA620H[9],10 26,Pierre Gasly  Daniil Kvyat,All All,,
Scuderia Ferrari,Ferrari,SF1000[10],Ferrari 065[11],5 16,Sebastian Vettel  Charles Leclerc,All All,,
Haas F1 Team,Haas-Ferrari,VF-20[12],Ferrari 065,8 51 20,Romain Grosjean  Pietro Fittipaldi  Kevin Magnussen,1–15 16–17 All,,
McLaren F1 Team,McLaren-Renault,MCL35[13],Renault E-Tech 20[14],4 55,Lando Norris  Carlos Sainz Jr.,All All,,
Mercedes-AMG Petronas F1 Team,Mercedes,F1 W11[15],Mercedes-AMG F1 M11[16],44 63 77,Lewis Hamilton  George Russell  Valtteri Bottas,"1–15, 17 16 All",,
BWT Racing Point F1 Team[17],Racing Point-BWT Mercedes,RP20[18],BWT Mercedes[a],11 27 18 27,Sergio Pérez  Nico Hülkenberg  Lance Stroll  Nico Hülkenberg[b],"1–4, 6–17[c] 4–5 All[d] 11",,
Aston Martin Red Bull Racing Honda,Red Bull Racing-Honda,RB16[21],Honda RA620H,23 33,Alexander Albon  Max Verstappen,All All,,
Renault DP World F1 Team[22],Renault,R.S.20[23],Renault E-Tech 20[24],3 31,Daniel Ricciardo  Esteban Ocon,All All,,
Williams Racing[25][e],Williams-Mercedes,FW43[27],Mercedes-AMG F1 M11[28],6 63 89,Nicholas Latifi  George Russell  Jack Aitken,"All 1–15, 17 16",,
Sources:[23][29],Sources:[23][29],Sources:[23][29],Sources:[23][29],Sources:[23][29],Sources:[23][29],Sources:[23][29],Sources:[23][29],Sources:[23][29]
