Grand Prix,Circuit,Scheduled date,Unnamed: 3
Australian Grand Prix,"Albert Park Circuit, Melbourne",15 March,
Vietnamese Grand Prix,"Hanoi Circuit, Hanoi",5 April,
Chinese Grand Prix,"Shanghai International Circuit, Shanghai",19 April,
Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",3 May,
Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",24 May,
Azerbaijan Grand Prix,"Baku City Circuit, Baku",7 June,
Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",14 June,
French Grand Prix,"Circuit Paul Ricard, Le Castellet",28 June,
Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",20 September,
Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",11 October,
United States Grand Prix,"Circuit of the Americas, Austin, Texas",25 October,
Mexico City Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",1 November,
Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",15 November,
Sources:[55][56][57][58][59][60],Sources:[55][56][57][58][59][60],Sources:[55][56][57][58][59][60],Sources:[55][56][57][58][59][60]
