Round,Grand Prix[p],Pole position[q],Fastest lap,Winning driver,Winning constructor,Report
1,Bahrain Grand Prix,Max Verstappen,Valtteri Bottas,Lewis Hamilton,Mercedes,Report
2,Emilia Romagna Grand Prix,Lewis Hamilton,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda,Report
3,Portuguese Grand Prix,Valtteri Bottas,Valtteri Bottas,Lewis Hamilton,Mercedes,Report
4,Spanish Grand Prix,Lewis Hamilton,Max Verstappen,Lewis Hamilton,Mercedes,Report
5,Monaco Grand Prix,Charles Leclerc[r],Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda,Report
6,Azerbaijan Grand Prix,Charles Leclerc,Max Verstappen,Sergio Pérez,Red Bull Racing-Honda,Report
7,French Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda,Report
8,Styrian Grand Prix,Max Verstappen,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda,Report
9,Austrian Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda,Report
10,British Grand Prix,Max Verstappen,Sergio Pérez,Lewis Hamilton,Mercedes,Report
11,Hungarian Grand Prix,Lewis Hamilton,Pierre Gasly,Esteban Ocon,Alpine-Renault,Report
12,Belgian Grand Prix,Max Verstappen,None recognised[276],Max Verstappen,Red Bull Racing-Honda,Report
13,Dutch Grand Prix,Max Verstappen,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda,Report
14,Italian Grand Prix,Max Verstappen[s],Daniel Ricciardo,Daniel Ricciardo,McLaren-Mercedes,Report
15,Russian Grand Prix,Lando Norris,Lando Norris,Lewis Hamilton,Mercedes,Report
16,Turkish Grand Prix,Valtteri Bottas[t],Valtteri Bottas,Valtteri Bottas,Mercedes,Report
17,United States Grand Prix,Max Verstappen,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda,Report
18,Mexico City Grand Prix,Valtteri Bottas,Valtteri Bottas,Max Verstappen,Red Bull Racing-Honda,Report
19,São Paulo Grand Prix,Valtteri Bottas,Sergio Pérez,Lewis Hamilton,Mercedes,Report
20,Qatar Grand Prix,Lewis Hamilton,Max Verstappen,Lewis Hamilton,Mercedes,Report
21,Saudi Arabian Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
22,Abu Dhabi Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda,Report
Source:[280],Source:[280],Source:[280],Source:[280],Source:[280],Source:[280],Source:[280]
