Entrant,Constructor,Chassis,Power unit,Race drivers,Race drivers,Race drivers
Entrant,Constructor,Chassis,Power unit,No.,Driver name,Rounds
Alfa Romeo Racing Orlen,Alfa Romeo Racing-Ferrari,C41[15],Ferrari 065/6[16],7 88 99,Kimi Räikkönen  Robert Kubica  Antonio Giovinazzi,"1–13, 15–22[a] 13–14 All"
Scuderia AlphaTauri Honda,AlphaTauri-Honda,AT02[17],Honda RA621H[18],10 22,Pierre Gasly  Yuki Tsunoda,All All
Alpine F1 Team[19],Alpine-Renault,A521[20],Renault E-Tech 20B[21],14 31,Fernando Alonso  Esteban Ocon,All All
Aston Martin Cognizant F1 Team[22],Aston Martin-Mercedes,AMR21[23],Mercedes-AMG F1 M12[24],5 18,Sebastian Vettel  Lance Stroll,All All
Scuderia Ferrari Mission Winnow[b],Ferrari,SF21[26],Ferrari 065/6[27],16 55,Charles Leclerc  Carlos Sainz Jr.,All All
Uralkali Haas F1 Team[28],Haas-Ferrari,VF-21[29],Ferrari 065/6[30],9 47,Nikita Mazepin[c]  Mick Schumacher,All[d] All
McLaren F1 Team,McLaren-Mercedes,MCL35M[32],Mercedes-AMG F1 M12[33],3 4,Daniel Ricciardo  Lando Norris,All All
Mercedes-AMG Petronas F1 Team,Mercedes,F1 W12[34],Mercedes-AMG F1 M12[35],44 77,Lewis Hamilton  Valtteri Bottas,All All
Red Bull Racing Honda,Red Bull Racing-Honda,RB16B[36],Honda RA621H[37],11 33,Sergio Pérez  Max Verstappen,All All
Williams Racing,Williams-Mercedes,FW43B[38],Mercedes-AMG F1 M12[39],6 63,Nicholas Latifi  George Russell,All All
Sources:[40][25][41],Sources:[40][25][41],Sources:[40][25][41],Sources:[40][25][41],Sources:[40][25][41],Sources:[40][25][41],Sources:[40][25][41]
