Key,Key
Colour,Result
Gold,Winner
Silver,2nd place
Bronze,3rd place
Green,Other points position
Blue,Other classified position
Blue,"Not classified, finished (NC)"
Purple,"Not classified, retired (Ret)"
Red,Did not qualify (DNQ)
Red,Did not pre-qualify (DNPQ)
Black,Disqualified (DSQ)
White,Did not start (DNS)
White,Race cancelled (C)
Blank,Did not practice (DNP)
Blank,Excluded (EX)
Blank,Did not arrive (DNA)
Blank,Withdrawn (WD)
Annotation,Meaning
Superscript number,Points-scoring position in sprint qualifying
P,Pole position
F,Fastest lap
