Constructor,Practice drivers,Practice drivers,Practice drivers
Constructor,No.,Driver name,Rounds
Alfa Romeo-Ferrari[c],88 98,Robert Kubica[d]  Théo Pourchaire,"6, 12–13, 22 19"
AlphaTauri-RBPT,40,Liam Lawson,"14, 20"
Alpine-Renault,82,Jack Doohan,"20, 22"
Aston Martin Aramco-Mercedes,34,Nyck de Vries  Felipe Drugovich,16 22
Ferrari,39,/ Robert Shwartzman[e],"19, 22"
Haas-Ferrari,99 51,Antonio Giovinazzi[d]  Pietro Fittipaldi,"16, 19 20, 22"
McLaren-Mercedes,28,Álex Palou  Patricio O'Ward,19 22
Mercedes,19,Nyck de Vries,"12, 20"
Red Bull Racing-RBPT,36,Jüri Vips  Liam Lawson,6 22
Williams-Mercedes,45,Nyck de Vries  Logan Sargeant,6 19–22
Source:[34],Source:[34],Source:[34],Source:[34]
